,단어명,사설 빈도수
429,정의,7
430,트렌드,7
431,반대,7
432,대강,7
433,차이,7
434,핵실험,7
435,우린,7
436,할머니,7
437,문학,7
438,외국인,7
439,사퇴,7
440,아래,7
441,지방,7
442,국군,7
443,도전,7
444,업체,7
445,호황,7
446,한미,7
447,풍경,7
448,기무사,7
449,바로,7
450,집권,7
451,교체,7
452,취소,7
453,여름,7
454,장사,7
455,환상,7
456,확인,7
457,국정원,7
458,지지,7
459,이벤트,7
460,의사,7
461,부실,7
462,난민,7
463,까닭,7
464,공장,7
465,기간,7
466,참여,7
467,대비,7
468,공짜,7
469,금감원,7
470,등장,7
471,경호,7
472,도심,6
473,압수,6
474,싸움,6
475,사과,6
476,서민,6
477,목소리,6
478,공연,6
479,퇴짜,6
480,서비스,6
481,공화국,6
482,갈등,6
483,입장,6
484,반드시,6
485,냉면,6
486,아무,6
487,통일,6
488,경영,6
489,끼리,6
490,논쟁,6
491,붕괴,6
492,희망,6
493,작전,6
494,처벌,6
495,입시,6
496,도입,6
497,잔치,6
498,김경준,6
499,탐구,6
500,자동차,6
501,반복,6
502,지능,6
503,공공기관,6
504,고령,6
505,대처,6
506,대상,6
507,겨울,6
508,김윤덕,6
509,줌마,6
510,사법부,6
511,고양이,6
512,주장,6
513,간다,6
514,주민,6
515,통해,6
516,진보,6
517,취급,6
518,개방,6
519,박수,6
520,바보,6
521,국제,6
522,추석,6
523,주목,6
524,생활,6
525,인식,6
526,인기,6
527,도로,6
528,버스,6
529,병력,6
530,포스코,6
531,쓰레기,6
532,탈출,6
533,요구,6
534,처음,6
535,시민,6
536,품격,6
537,글로벌,6
538,방식,6
539,집단,6
540,앞서,6
541,지지율,6
542,눈물,6
543,사상,6
544,담배,6
545,뭔가,6
546,필요,6
547,소통,6
548,김경수,6
549,탈북자,6
550,안희정,6
551,열병,6
552,공동,6
553,방문,6
554,독일,6
555,코드,6
556,대사,6
557,개입,6
558,남자,6
559,공세,6
560,차량,6
561,제왕,6
562,개정,6
563,보호,6
564,보험,6
565,실리콘밸리,6
566,폭행,6
567,총리,6
568,친구,6
569,로봇,6
570,탈북,6
571,오디오,6
572,김여정,6
573,정현,6
574,의지,5
575,도덕,5
576,홍보,5
577,화해,5
578,복지,5
579,실험,5
580,공정,5
581,영호,5
582,여기,5
583,연금,5
584,다리,5
585,관광,5
586,무기,5
587,연기,5
588,세력,5
589,사이,5
590,이익,5
591,당신,5
592,발견,5
593,목구멍,5
594,퍼시픽,5
595,프리즘,5
596,나선,5
597,군대,5
598,얘기,5
599,연설,5
600,진찰,5
601,방어,5
602,허물,5
603,탄생,5
604,줄줄이,5
605,신화,5
606,명문,5
607,교황,5
608,황제,5
609,축복,5
610,이전,5
611,확산,5
612,축제,5
613,로고,5
614,소리,5
615,강조,5
616,중국인,5
617,세습,5
618,냄새,5
619,보이,5
620,임명,5
621,유현준,5
622,환자,5
623,파괴,5
624,고민,5
625,보도,5
626,공작,5
627,본질,5
628,담당,5
629,김성윤,5
630,박정희,5
631,권리,5
632,장기,5
633,모델,5
634,천일야화,5
635,경계,5
636,노벨상,5
637,민주,5
638,번지,5
639,조인원,5
640,몰카,5
641,차례,5
642,재앙,5
643,소상,5
644,공인,5
645,규모,5
646,우리말,5
647,포커스,5
648,연합,5
649,영국,5
650,강행,5
651,감옥,5
652,마크,5
653,박아,5
654,플라스틱,5
655,목숨,5
656,김헌,5
657,기준,5
658,노동,5
659,부부,5
660,로남불,5
661,청구,5
662,산다,5
663,절대,5
664,윤대현,5
665,조선,5
666,결혼,5
667,한현우,5
668,컬처,5
669,치매,5
670,초상화,5
671,대륙,5
672,기록,5
673,아버지,5
674,업자,5
675,책임,5
676,관료,5
677,상징,5
678,기대,5
679,성과,5
680,결과,5
681,왜곡,5
682,의무,5
683,아들,5
684,호소,5
685,리더,5
686,고집,5
687,상봉,5
688,가치,5
689,거꾸로,5
690,배려,5
691,순간,5
692,용기,5
693,열차,5
694,긍정,5
695,국회의원,5
696,대가,5
697,행사,5
698,휴가,5
699,사장,5
700,박근혜,5
701,축소,5
702,낙하산,5
703,왕자,5
704,여자,5
705,교장,5
706,역대,5
707,서로,5
708,방법,5
709,인재,5
710,공원,5
711,남편,5
712,집중,5
713,흡연,5
714,서도,5
715,패싱,5
716,대열,5
717,주한,5
718,대법관,5
719,공항,5
720,활용,5
721,구조조정,5
722,매력,5
723,부활,5
724,담판,5
725,호텔,5
726,부처,5
727,스님,5
728,수당,5
729,외교부,5
730,자전거,5
731,사드,5
732,징역,5
733,충격,5
734,새해,5
735,무능,4
736,유튜브,4
737,공간,4
738,방해,4
739,불통,4
740,주말,4
741,김태훈,4
742,판결,4
743,해고,4
744,비난,4
745,그냥,4
746,시절,4
747,구속,4
748,임종석,4
749,햇볕,4
750,무덤,4
751,로마,4
752,제한,4
753,직전,4
754,유엔,4
755,공부,4
756,독재,4
757,새만금,4
758,이방,4
759,설마,4
760,의료,4
761,전방,4
762,주력,4
763,부대,4
764,스웨덴,4
765,과속,4
766,민족,4
767,의미,4
768,상치,4
769,제일,4
770,최효찬,4
771,가의,4
772,단지,4
773,위장전입,4
774,흐름,4
775,일방,4
776,요금,4
777,부족,4
778,감당,4
779,안내,4
780,직원,4
781,알바,4
782,설명,4
783,정규직,4
784,실무,4
785,잘못,4
786,여권,4
787,유혹,4
788,간부,4
789,적자,4
790,과정,4
791,주기,4
792,속도,4
793,과대,4
794,매일,4
795,최유식,4
796,소년,4
797,전화,4
798,배제,4
799,총장,4
800,대형,4
801,적극,4
802,검사,4
803,생산,4
804,투쟁,4
805,악화,4
806,위반,4
807,실종,4
808,사법,4
809,해제,4
810,절반,4
811,국내,4
812,마을,4
813,절차,4
814,전달,4
815,고령자,4
816,시험,4
817,그때,4
818,스마트폰,4
819,괴담,4
820,시도,4
821,교훈,4
822,시민단체,4
823,박해,4
824,혼자,4
825,출산,4
826,혜택,4
827,유지,4
828,수색,4
829,비자,4
830,압수수색,4
831,배출,4
832,아메리카,4
833,동아시아,4
834,침대,4
835,불황,4
836,충성,4
837,비행기,4
838,되풀이,4
839,위험천만,4
840,선전,4
841,장하,4
842,화가,4
843,보유,4
844,부자,4
845,테러,4
846,외국,4
847,깜깜,4
848,보상,4
849,교육청,4
850,협박,4
851,발상,4
852,어른,4
853,경력,4
854,예상,4
855,거절,4
856,김동연,4
857,임기,4
858,중간,4
859,열풍,4
860,베트남,4
861,범죄,4
862,감소,4
863,민간,4
864,특권,4
865,간판,4
866,입맛,4
867,숫자,4
868,통계청장,4
869,남정욱,4
