,단어명,사회 빈도수
430,김지은,31
431,임종헌,30
432,형사,30
433,폐지,30
434,사용,30
435,모든,30
436,보수,30
437,국민연금,30
438,운전,30
439,폭발,30
440,요청,30
441,전문가,30
442,협력,30
443,마음,30
444,경북,30
445,신임,30
446,시도,30
447,전달,30
448,연구,30
449,전문,29
450,연금,29
451,특혜,29
452,과거,29
453,위원회,29
454,필요,29
455,남북,29
456,합의,29
457,시인,29
458,설치,29
459,다른,29
460,상습,29
461,부모,29
462,개발,29
463,핵심,29
464,노회찬,29
465,걱정,29
466,솔릭,29
467,역사,28
468,시험,28
469,서비스,28
470,도로,28
471,가짜,28
472,예술,28
473,동료,28
474,구하라,28
475,운행,28
476,마리,28
477,진술,28
478,서도,28
479,가을,28
480,교차,28
481,성범죄,28
482,행사,28
483,전쟁,28
484,기준,28
485,공모,28
486,결과,28
487,변호인,28
488,아버지,28
489,가수,28
490,올림픽,28
491,인상,27
492,카페,27
493,회원,27
494,감형,27
495,나라,27
496,인터넷,27
497,운전자,27
498,인생,27
499,통보,27
500,어디,27
501,과학기술,27
502,선물,27
503,가능,27
504,세대,27
505,확보,27
506,비상,27
507,명예훼손,27
508,분노,27
509,투자,27
510,승객,27
511,촬영,27
512,문재인,27
513,확산,27
514,여배우,27
515,이틀,27
516,처음,27
517,부당,27
518,김흥국,27
519,참사,26
520,선정,26
521,마스크,26
522,투신,26
523,수사권,26
524,특수,26
525,대부분,26
526,대책,26
527,공범,26
528,다음,26
529,주인,26
530,업무,26
531,아동,26
532,하정훈,26
533,뽀삐,26
534,라돈,26
535,일당,26
536,장애,26
537,법적,26
538,해외,26
539,김기춘,26
540,보물,26
541,조민기,26
542,운영,25
543,생각,25
544,종로,25
545,얼굴,25
546,경찰서,25
547,판단,25
548,공단,25
549,소방,25
550,진흥,25
551,마을,25
552,첫째,25
553,사찰,25
554,고양,25
555,실장,25
556,기관,25
557,축제,25
558,치매,25
559,사법부,25
560,지방,25
561,발자취,25
562,안해,25
563,지휘,25
564,보좌,25
565,법정구속,25
566,대학생,25
567,집유,25
568,아시아,25
569,적용,25
570,붕괴,25
571,유해,25
572,권력,25
573,양예원,25
574,외국인,25
575,군산,25
576,개혁,24
577,본사,24
578,사위,24
579,교통,24
580,광화문,24
581,제천,24
582,철거,24
583,난동,24
584,훈련,24
585,소환조사,24
586,종교,24
587,남친,24
588,사이,24
589,수당,24
590,보석,24
591,가지,24
592,까닭,24
593,세상,24
594,파기,24
595,대형,24
596,구치소,24
597,공동,24
598,강도,24
599,쿠키,24
600,예멘,24
601,르포,24
602,작가,24
603,가구,24
604,김명수,24
605,경제,24
606,입장,24
607,무료,24
608,전직,24
609,무더위,24
610,행정권,23
611,예정,23
612,징역형,23
613,회복,23
614,세금,23
615,선거,23
616,국회의원,23
617,자료,23
618,시설,23
619,동생,23
620,베트남,23
621,정치자금,23
622,강화,23
623,차별,23
624,조정,23
625,수수,23
626,축구,23
627,스타,23
628,서지현,23
629,이름,23
630,사퇴,23
631,결론,23
632,측근,23
633,차장,23
634,법관,23
635,기간,23
636,자살,23
637,홍대,23
638,자녀,23
639,히말라야,23
640,마트,23
641,외압,23
642,롯데,23
643,머리,23
644,여행,23
645,전복,23
646,태극기,23
647,경찰관,22
648,징용,22
649,복지,22
650,청장,22
651,쓰레기,22
652,탈북,22
653,발부,22
654,모델,22
655,폭언,22
656,탈출,22
657,양심,22
658,훈장,22
659,반박,22
