,단어명,경제 빈도수
431,민간,85
432,기재부,85
433,원장,85
434,혜택,85
435,폭탄,85
436,폭염,85
437,맥주,84
438,항공,84
439,착수,84
440,기능,84
441,유가,84
442,체제,84
443,매장,84
444,확인,83
445,약세,83
446,상향,83
447,채권,83
448,시간,83
449,복합,83
450,세대,82
451,시설,82
452,모두,82
453,허가,82
454,여행,82
455,노사,82
456,물산,82
457,사업자,82
458,대한항공,81
459,리스크,81
460,하향,81
461,승인,81
462,과학,81
463,유치,81
464,추천,81
465,인천공항,81
466,중소,81
467,이재용,81
468,소송,81
469,주도,80
470,전문가,80
471,공유,80
472,전용,80
473,연장,80
474,오픈,79
475,비중,79
476,지방,79
477,임원,79
478,핵심,79
479,문화,79
480,효성,79
481,해결,79
482,과징금,79
483,기부,78
484,순이익,78
485,솔루션,77
486,식품,77
487,보고서,77
488,방문,77
489,희망,76
490,이사,76
491,보안,76
492,소비,76
493,반등,76
494,단축,76
495,무료,75
496,달성,75
497,넷마블,75
498,가스,75
499,톡톡,75
500,발행,75
501,보증,74
502,투입,74
503,차량,74
504,장비,74
505,빅데이터,74
506,동기,74
507,누적,73
508,대한민국,73
509,인력,73
510,현금,73
511,특별,73
512,페이,72
513,케미칼,72
514,가계,72
515,미세먼지,72
516,투자자,72
517,부사,72
518,비상,72
519,감사,71
520,인프라,71
521,재단,71
522,아이,71
523,지배구조,71
524,아시아,71
525,분할,71
526,협의,70
527,가전,70
528,절반,70
529,제조업,70
530,참가,70
531,우리은행,70
532,통해,70
533,사이언스,70
534,인천,70
535,경쟁력,70
536,반대,70
537,스피커,70
538,비용,69
539,신라,69
540,기록,69
541,때문,69
542,통화,69
543,아시아나,69
544,상선,69
545,장기,69
546,외인,69
547,공시,69
548,근로시간,69
549,일부,69
550,근로자,68
551,교체,68
552,이사회,68
553,주간,68
554,공식,68
555,위험,68
556,완료,68
557,사외이사,68
558,장사,68
559,전월,68
560,판매량,68
561,여성,68
562,체험,68
563,러시아,67
564,세상,67
565,지구,67
566,가맹,67
567,압박,67
568,푸드,67
569,한수원,67
570,군산,67
571,개시,66
572,마감,66
573,직스,66
574,기금,66
575,페이스북,66
576,제한,66
577,식약처,66
578,가지,66
579,취임,66
580,재개,66
581,전달,66
582,드론,66
583,매도,66
584,수익률,66
585,구조조정,66
586,기간,65
587,녹십자,65
588,방송,65
589,기회,65
590,미니,65
591,매수,65
592,주류,65
593,엔진,64
594,소상,64
595,코오롱,64
596,보유,64
597,결과,64
598,조치,64
599,해양,64
600,신용,64
601,휘발유,64
602,대우조선,64
603,세금,64
604,검찰,64
605,고발,64
606,사람,63
607,인도네시아,63
608,걱정,63
609,이틀,63
610,책임,63
611,설비,63
612,퇴직,63
613,활동,63
614,이벤트,62
615,업종,62
616,신고,62
617,연내,62
618,주의,62
619,성과,62
620,취득,62
621,획득,62
622,사실,62
623,부친상,62
624,맞춤,62
625,독일,62
626,약품,62
627,재정,62
628,다음,61
629,본부장,61
630,임대,61
631,계속,61
632,카페,61
633,브로드밴드,61
634,기념,61
635,분야,61
636,개혁,61
637,조기,61
638,본부,61
639,사태,61
640,철수,61
641,악화,60
642,파크,60
643,이노베이션,60
644,미래에셋,60
645,리더,60
646,출신,60
647,심사,60
648,프로젝트,60
649,육성,60
650,설치,60
651,불법,60
652,분리,60
653,세트,60
654,위원회,60
655,평창,60
656,지주사,59
657,조회,59
658,차세대,59
659,이노,59
660,월드,59
661,윤석,59
662,반발,59
663,산업혁명,59
664,의무,59
665,고민,59
666,금제,59
667,총수,58
668,구매,58
669,방지,58
670,우수,58
671,수도권,58
672,프로그램,58
673,김상조,58
674,최태원,58
675,어린이,58
676,나선,58
677,의견,58
678,화웨이,58
679,아이폰,58
680,디자인,58
681,담보,58
682,임대주택,58
683,모비스,58
684,모터쇼,58
685,종목,57
686,소재,57
687,폐지,57
688,업자,57
689,항암제,57
690,유전자,57
691,조직,57
692,금주,57
693,헬스,57
694,금지,57
