,사설단어
1128,"('푼', 4)"
1129,"('화재', 4)"
1130,"('덫', 4)"
1131,"('지층', 4)"
1132,"('중심', 4)"
1133,"('부동산', 4)"
1134,"('유해', 4)"
1135,"('가정', 4)"
1136,"('예멘', 4)"
1137,"('점검', 4)"
1138,"('위선', 4)"
1139,"('생존', 4)"
1140,"('범', 4)"
1141,"('보물', 4)"
1142,"('재벌', 4)"
1143,"('감축', 4)"
1144,"('별', 4)"
1145,"('백지', 4)"
1146,"('노회찬', 4)"
1147,"('장', 4)"
1148,"('반성', 4)"
1149,"('모제', 4)"
1150,"('전해', 4)"
1151,"('률', 4)"
1152,"('벌써', 4)"
1153,"('해석', 4)"
1154,"('단축', 4)"
1155,"('통화', 4)"
1156,"('낙마', 4)"
1157,"('근로', 4)"
1158,"('시스템', 4)"
1159,"('혼란', 4)"
1160,"('사기', 4)"
1161,"('지하철', 4)"
1162,"('일화', 4)"
1163,"('근로시간', 4)"
1164,"('고용부', 4)"
1165,"('거품', 4)"
1166,"('재고', 4)"
1167,"('질책', 4)"
1168,"('주인공', 4)"
1169,"('무분별', 4)"
1170,"('노래', 4)"
1171,"('의식', 4)"
1172,"('가나', 4)"
1173,"('단기간', 4)"
1174,"('섬', 4)"
1175,"('환경부', 4)"
1176,"('엄벌', 4)"
1177,"('여론조사', 4)"
1178,"('쪽', 4)"
1179,"('증거', 4)"
1180,"('군산', 4)"
1181,"('어머니', 4)"
1182,"('역설', 4)"
1183,"('종업원', 4)"
1184,"('처리', 4)"
1185,"('음식', 4)"
1186,"('네이버', 4)"
1187,"('충돌', 4)"
1188,"('일제', 4)"
1189,"('젊은이', 4)"
1190,"('부산', 4)"
1191,"('디지털', 4)"
1192,"('대로', 4)"
1193,"('전국', 4)"
1194,"('기억', 4)"
1195,"('악몽', 4)"
1196,"('비극', 4)"
1197,"('피해자', 4)"
1198,"('시인', 4)"
1199,"('빅터', 4)"
1200,"('초등', 4)"
1201,"('미세먼지', 4)"
1202,"('분산', 4)"
1203,"('만들기', 4)"
1204,"('분노', 4)"
1205,"('부통령', 4)"
1206,"('성공', 4)"
1207,"('한겨울', 4)"
1208,"('모자라', 3)"
1209,"('부정', 3)"
1210,"('의심', 3)"
1211,"('강제', 3)"
1212,"('모금', 3)"
1213,"('기지', 3)"
1214,"('점령', 3)"
1215,"('경제부총리', 3)"
1216,"('해이', 3)"
1217,"('홀로', 3)"
1218,"('이란', 3)"
1219,"('부작용', 3)"
1220,"('시행', 3)"
1221,"('응원', 3)"
1222,"('경기', 3)"
1223,"('관람', 3)"
1224,"('역주행', 3)"
1225,"('현금', 3)"
1226,"('스타', 3)"
1227,"('휴대폰', 3)"
1228,"('찬양', 3)"
1229,"('노동계', 3)"
1230,"('파업', 3)"
1231,"('국익', 3)"
1232,"('과장', 3)"
1233,"('무죄', 3)"
1234,"('센터', 3)"
1235,"('기피', 3)"
1236,"('약화', 3)"
1237,"('귀', 3)"
1238,"('결단', 3)"
1239,"('허위', 3)"
1240,"('복지부', 3)"
1241,"('반발', 3)"
1242,"('한번', 3)"
1243,"('카풀', 3)"
1244,"('공유', 3)"
1245,"('사회주의', 3)"
1246,"('제발', 3)"
1247,"('찬성', 3)"
1248,"('날개', 3)"
1249,"('막말', 3)"
1250,"('도서관', 3)"
1251,"('교사', 3)"
1252,"('배치', 3)"
1253,"('처', 3)"
1254,"('중소기업', 3)"
1255,"('분열', 3)"
1256,"('노동당', 3)"
1257,"('창업', 3)"
1258,"('나이', 3)"
1259,"('폭우', 3)"
1260,"('농성', 3)"
1261,"('스포츠', 3)"
1262,"('유발', 3)"
1263,"('자제', 3)"
1264,"('부회장', 3)"
1265,"('공포', 3)"
1266,"('운동권', 3)"
1267,"('기반', 3)"
1268,"('찬', 3)"
1269,"('연봉', 3)"
1270,"('양심', 3)"
1271,"('농단', 3)"
1272,"('침체', 3)"
1273,"('법관', 3)"
1274,"('인정', 3)"
1275,"('경질', 3)"
1276,"('흙', 3)"
1277,"('제조업', 3)"
1278,"('봉쇄', 3)"
1279,"('마', 3)"
1280,"('폐해', 3)"
1281,"('반란', 3)"
1282,"('총수', 3)"
1283,"('계산', 3)"
1284,"('거짓', 3)"
1285,"('통신', 3)"
1286,"('직업', 3)"
1287,"('한강', 3)"
1288,"('구조', 3)"
1289,"('대하', 3)"
1290,"('시급', 3)"
1291,"('기도', 3)"
1292,"('내용', 3)"
1293,"('무조건', 3)"
1294,"('그늘', 3)"
1295,"('인척', 3)"
1296,"('난장판', 3)"
1297,"('란', 3)"
1298,"('남녀', 3)"
1299,"('찾기', 3)"
1300,"('겸', 3)"
1301,"('유행', 3)"
1302,"('전선', 3)"
1303,"('함', 3)"
1304,"('재난', 3)"
1305,"('추억', 3)"
1306,"('정당', 3)"
1307,"('꼰대', 3)"
1308,"('전체', 3)"
1309,"('급식', 3)"
1310,"('공조', 3)"
1311,"('탈북민', 3)"
1312,"('교통', 3)"
1313,"('접촉', 3)"
1314,"('스타일', 3)"
1315,"('기원', 3)"
1316,"('취임', 3)"
1317,"('량', 3)"
1318,"('수학', 3)"
1319,"('선생님', 3)"
1320,"('눈치', 3)"
1321,"('유감', 3)"
1322,"('악용', 3)"
1323,"('취재', 3)"
1324,"('덕분', 3)"
1325,"('실업률', 3)"
1326,"('예고', 3)"
1327,"('이해찬', 3)"
1328,"('관함', 3)"
1329,"('이미지', 3)"
1330,"('살기', 3)"
1331,"('개선', 3)"
1332,"('불편', 3)"
1333,"('핵보유국', 3)"
1334,"('사찰', 3)"
1335,"('핵탄두', 3)"
1336,"('금', 3)"
1337,"('운전면허', 3)"
1338,"('고기', 3)"
1339,"('외국어', 3)"
1340,"('남용', 3)"
1341,"('저', 3)"
1342,"('셀카', 3)"
1343,"('주문', 3)"
1344,"('위원', 3)"
1345,"('지도', 3)"
1346,"('실질', 3)"
1347,"('면죄부', 3)"
1348,"('증가', 3)"
1349,"('신호', 3)"
1350,"('진리', 3)"
1351,"('변신', 3)"
1352,"('차라리', 3)"
1353,"('스스로', 3)"
1354,"('부총리', 3)"
1355,"('대폭', 3)"
1356,"('고수', 3)"
1357,"('롱', 3)"
1358,"('요원', 3)"
1359,"('해도', 3)"
1360,"('기사', 3)"
1361,"('런던', 3)"
1362,"('억지', 3)"
1363,"('전직', 3)"
1364,"('근본', 3)"
1365,"('꿀', 3)"
1366,"('구', 3)"
1367,"('카메라', 3)"
1368,"('무장', 3)"
1369,"('며', 3)"
1370,"('고교', 3)"
1371,"('교재', 3)"
1372,"('국산', 3)"
1373,"('로켓', 3)"
1374,"('상처', 3)"
1375,"('차기', 3)"
1376,"('수석', 3)"
1377,"('순', 3)"
1378,"('자랑', 3)"
1379,"('김민철', 3)"
1380,"('석', 3)"
1381,"('해양', 3)"
1382,"('둘', 3)"
1383,"('공직자', 3)"
1384,"('안시성', 3)"
1385,"('생명', 3)"
1386,"('로또', 3)"
1387,"('궁', 3)"
1388,"('확보', 3)"
1389,"('비타민', 3)"
1390,"('사령관', 3)"
1391,"('사', 3)"
1392,"('제동', 3)"
1393,"('기념', 3)"
1394,"('뉴욕', 3)"
1395,"('강남', 3)"
1396,"('즉각', 3)"
1397,"('진심', 3)"
1398,"('남쪽', 3)"
1399,"('다큐', 3)"
1400,"('리스트', 3)"
1401,"('불가능', 3)"
1402,"('수퍼', 3)"
1403,"('도구', 3)"
1404,"('과일', 3)"
1405,"('수용', 3)"
1406,"('마주', 3)"
1407,"('방', 3)"
1408,"('창작', 3)"
1409,"('봉인', 3)"
1410,"('리스크', 3)"
1411,"('자화상', 3)"
1412,"('독립', 3)"
1413,"('한국어', 3)"
1414,"('무시', 3)"
1415,"('행태', 3)"
1416,"('원인', 3)"
1417,"('충전', 3)"
1418,"('여야', 3)"
1419,"('투', 3)"
1420,"('언어', 3)"
1421,"('노무현', 3)"
1422,"('감사', 3)"
1423,"('자격', 3)"
1424,"('광풍', 3)"
1425,"('자서전', 3)"
1426,"('편의', 3)"
1427,"('독도', 3)"
1428,"('뇌물', 3)"
1429,"('발급', 3)"
1430,"('투기', 3)"
1431,"('더니', 3)"
1432,"('과학자', 3)"
1433,"('해명', 3)"
1434,"('국회의장', 3)"
1435,"('제안', 3)"
1436,"('절', 3)"
1437,"('호랑이', 3)"
1438,"('에코', 3)"
1439,"('전망', 3)"
1440,"('낼', 3)"
1441,"('유족', 3)"
1442,"('았', 3)"
1443,"('활성화', 3)"
1444,"('쌀', 3)"
1445,"('사이버', 3)"
1446,"('인프라', 3)"
1447,"('완전', 3)"
1448,"('충고', 3)"
1449,"('전원', 3)"
1450,"('개인', 3)"
1451,"('기후변화', 3)"
1452,"('명예', 3)"
1453,"('계획', 3)"
1454,"('매케인', 3)"
1455,"('첨단', 3)"
1456,"('주의자', 3)"
1457,"('의자', 3)"
1458,"('하나로', 3)"
1459,"('제기', 3)"
1460,"('이스라엘', 3)"
1461,"('광화문', 3)"
1462,"('전환', 3)"
1463,"('기조', 3)"
1464,"('실수', 3)"
1465,"('모임', 3)"
1466,"('자영', 3)"
1467,"('지도자', 3)"
1468,"('무산', 3)"
1469,"('교수', 3)"
1470,"('법외', 3)"
1471,"('오리', 3)"
1472,"('강', 3)"
1473,"('유물', 3)"
1474,"('목표', 3)"
1475,"('양극화', 3)"
1476,"('메달', 3)"
1477,"('동네', 3)"
1478,"('뿌리', 3)"
1479,"('특활비', 3)"
1480,"('층', 3)"
1481,"('일단', 3)"
1482,"('터', 3)"
1483,"('존재', 3)"
1484,"('라며', 3)"
1485,"('진화', 3)"
1486,"('수사권', 3)"
1487,"('눈높이', 3)"
1488,"('부상', 3)"
1489,"('직', 3)"
1490,"('영장', 3)"
1491,"('변화', 3)"
1492,"('추가', 3)"
1493,"('표기', 3)"
1494,"('저녁', 3)"
1495,"('바위', 3)"
1496,"('뭘', 3)"
1497,"('향', 3)"
1498,"('양산', 3)"
1499,"('발등', 3)"
1500,"('어린이', 3)"
1501,"('정', 3)"
1502,"('뿐', 3)"
1503,"('그림자', 3)"
1504,"('도쿄', 3)"
1505,"('네덜란드', 3)"
1506,"('가야', 3)"
1507,"('월성', 3)"
1508,"('가게', 3)"
1509,"('갑옷', 3)"
1510,"('연애', 3)"
1511,"('재개', 3)"
1512,"('과시', 3)"
1513,"('역시', 3)"
1514,"('조직', 3)"
1515,"('개편', 3)"
1516,"('지사', 3)"
1517,"('고백', 3)"
1518,"('단추', 3)"
1519,"('핵물질', 3)"
1520,"('지향', 3)"
1521,"('넉', 3)"
1522,"('내부', 3)"
1523,"('땐', 3)"
1524,"('당부', 3)"
1525,"('대입', 3)"
1526,"('영업', 3)"
1527,"('이과', 3)"
1528,"('곧', 3)"
1529,"('창', 3)"
1530,"('선생', 3)"
1531,"('러시아', 3)"
1532,"('경찰청장', 3)"
1533,"('지구', 3)"
1534,"('저출산', 3)"
1535,"('설치', 3)"
1536,"('사임', 3)"
1537,"('각오', 3)"
1538,"('비대', 3)"
1539,"('정치가', 3)"
1540,"('우선', 3)"
1541,"('농촌', 3)"
1542,"('위안부', 3)"
1543,"('질문', 3)"
1544,"('여', 3)"
1545,"('유일', 3)"
1546,"('합법', 3)"
1547,"('막무가내', 3)"
1548,"('가동', 3)"
1549,"('벼랑', 3)"
1550,"('철강', 3)"
1551,"('상태', 3)"
1552,"('유가족', 3)"
1553,"('푸틴', 3)"
1554,"('올해', 3)"
1555,"('은폐', 3)"
1556,"('목', 3)"
1557,"('손님', 3)"
1558,"('재건축', 3)"
1559,"('계엄', 3)"
1560,"('김관진', 3)"
1561,"('체계', 3)"
1562,"('송환', 3)"
1563,"('적용', 3)"
1564,"('탄핵', 3)"
1565,"('토론', 3)"
1566,"('흑인', 3)"
1567,"('건보', 3)"
1568,"('축구', 3)"
1569,"('병원', 3)"
1570,"('한글', 3)"
1571,"('최근', 3)"
1572,"('교실', 3)"
1573,"('퇴장', 3)"
1574,"('전투기', 3)"
1575,"('진압했다', 3)"
1576,"('자살', 3)"
1577,"('역전', 3)"
1578,"('쓰기', 3)"
1579,"('당', 3)"
1580,"('이틀', 3)"
1581,"('옷', 3)"
1582,"('집필', 3)"
1583,"('사망', 3)"
1584,"('운영', 3)"
1585,"('흥정', 3)"
1586,"('드론', 3)"
1587,"('드라마', 3)"
1588,"('개미', 3)"
1589,"('문자', 3)"
1590,"('조정', 3)"
1591,"('탑', 3)"
1592,"('전기차', 3)"
1593,"('이념', 3)"
1594,"('코스', 3)"
1595,"('총선', 3)"
1596,"('이혼', 3)"
1597,"('구두', 3)"
1598,"('대회', 3)"
1599,"('가능성', 3)"
1600,"('라디오', 3)"
1601,"('조율', 3)"
1602,"('파문', 3)"
1603,"('투표', 3)"
1604,"('아내', 3)"
1605,"('명단', 3)"
1606,"('동반', 3)"
1607,"('방울', 3)"
1608,"('유전자', 3)"
1609,"('린', 3)"
1610,"('올인', 3)"
1611,"('장식', 3)"
1612,"('하자', 3)"
1613,"('보장', 3)"
1614,"('채취', 3)"
1615,"('차별', 3)"
1616,"('보기', 3)"
1617,"('대규모', 3)"
1618,"('가구', 3)"
1619,"('크기', 3)"
1620,"('확성기', 3)"
1621,"('그녀', 3)"
1622,"('리비아', 3)"
1623,"('폭풍', 3)"
1624,"('새벽', 3)"
1625,"('던', 3)"
1626,"('일로', 3)"
1627,"('진상', 3)"
1628,"('공감', 3)"
1629,"('정시', 3)"
1630,"('선발', 3)"
1631,"('이해', 3)"
1632,"('유권자', 3)"
1633,"('광고', 3)"
1634,"('검증', 3)"
1635,"('갑자기', 3)"
1636,"('봄날', 3)"
1637,"('원금', 3)"
1638,"('아이돌', 3)"
1639,"('개최', 3)"
1640,"('청원', 3)"
1641,"('문턱', 3)"
1642,"('대접', 3)"
1643,"('지진', 3)"
1644,"('봉', 3)"
1645,"('이희호', 3)"
1646,"('여사', 3)"
1647,"('다툼', 3)"
1648,"('나혜석', 3)"
1649,"('방안', 3)"
1650,"('아저씨', 3)"
1651,"('참여연대', 3)"
1652,"('우유', 3)"
1653,"('청탁', 3)"
1654,"('단계', 3)"
1655,"('수학여행', 3)"
1656,"('자율', 3)"
1657,"('행차', 3)"
1658,"('겨냥', 3)"
1659,"('사다리', 3)"
1660,"('폭침', 3)"
1661,"('금호', 3)"
1662,"('타이어', 3)"
1663,"('특단', 3)"
1664,"('격', 3)"
1665,"('워', 3)"
1666,"('끌', 3)"
1667,"('제언', 3)"
1668,"('펜스', 3)"
1669,"('장악', 3)"
1670,"('금메달', 3)"
1671,"('이윤택', 3)"
1672,"('동계올림픽', 3)"
1673,"('아베', 3)"
1674,"('자유민주', 3)"
1675,"('금강산', 3)"
1676,"('밀양', 3)"
1677,"('해피', 3)"
1678,"('신년사', 3)"
1679,"('상대로', 2)"
1680,"('농어촌', 2)"
1681,"('기금', 2)"
1682,"('확충', 2)"
1683,"('방과', 2)"
1684,"('한창', 2)"
1685,"('종로', 2)"
1686,"('휴대전화', 2)"
1687,"('사탕', 2)"
1688,"('령', 2)"
1689,"('개정안', 2)"
1690,"('철회', 2)"
1691,"('도부', 2)"
1692,"('친박', 2)"
1693,"('비박', 2)"
1694,"('숙명여고', 2)"
1695,"('다이어트', 2)"
1696,"('전설', 2)"
1697,"('체포', 2)"
1698,"('활개', 2)"
1699,"('덜', 2)"
1700,"('마술', 2)"
1701,"('하원의원', 2)"
1702,"('열강', 2)"
1703,"('도움', 2)"
1704,"('배상', 2)"
1705,"('강사', 2)"
1706,"('체육', 2)"
1707,"('방탄소년단', 2)"
1708,"('내란', 2)"
1709,"('음모', 2)"
1710,"('난리', 2)"
1711,"('일자', 2)"
1712,"('애국', 2)"
1713,"('동북아', 2)"
1714,"('신발', 2)"
1715,"('양말', 2)"
1716,"('업계', 2)"
1717,"('아야', 2)"
1718,"('전자담배', 2)"
1719,"('기만', 2)"
1720,"('홍종학', 2)"
1721,"('보라', 2)"
1722,"('유신', 2)"
1723,"('메르켈', 2)"
1724,"('사서', 2)"
1725,"('대체', 2)"
1726,"('시찰', 2)"
1727,"('중진', 2)"
1728,"('영국인', 2)"
1729,"('칭찬', 2)"
1730,"('한국인', 2)"
1731,"('세계대전', 2)"
1732,"('사연', 2)"
1733,"('그린', 2)"
1734,"('인류', 2)"
1735,"('문명', 2)"
1736,"('표', 2)"
1737,"('변명', 2)"
1738,"('청사', 2)"
1739,"('천막', 2)"
1740,"('시골', 2)"
1741,"('힌트', 2)"
1742,"('지자체', 2)"
1743,"('분위기', 2)"
1744,"('정체', 2)"
1745,"('억대', 2)"
1746,"('해체', 2)"
1747,"('몰락', 2)"
1748,"('치료', 2)"
1749,"('천사', 2)"
1750,"('그림', 2)"
1751,"('부재', 2)"
1752,"('자부심', 2)"
1753,"('민주화', 2)"
1754,"('자원', 2)"
1755,"('사례', 2)"
1756,"('돌파', 2)"
1757,"('징용', 2)"
1758,"('파고', 2)"
1759,"('정치권', 2)"
1760,"('등산로', 2)"
1761,"('굴욕', 2)"
1762,"('패널', 2)"
1763,"('모욕', 2)"
1764,"('운동장', 2)"
1765,"('연속', 2)"
1766,"('학습', 2)"
1767,"('중독', 2)"
1768,"('화장', 2)"
1769,"('으름장', 2)"
1770,"('광주', 2)"
1771,"('헌법재판관', 2)"
1772,"('매우', 2)"
1773,"('자금', 2)"
1774,"('불꽃', 2)"
1775,"('통행', 2)"
1776,"('포인트', 2)"
1777,"('결제', 2)"
1778,"('부진', 2)"
1779,"('실력', 2)"
1780,"('몫', 2)"
1781,"('메이', 2)"
1782,"('빵집', 2)"
1783,"('베이비부머', 2)"
1784,"('자락', 2)"
1785,"('내내', 2)"
1786,"('속인', 2)"
1787,"('독서', 2)"
1788,"('덴마크', 2)"
1789,"('옥스퍼드', 2)"
1790,"('꼬리', 2)"
1791,"('편견', 2)"
1792,"('감시', 2)"
1793,"('철밥통', 2)"
1794,"('미혼', 2)"
1795,"('짝', 2)"
1796,"('종말', 2)"
1797,"('초기', 2)"
1798,"('살인', 2)"
1799,"('통계청', 2)"
1800,"('공통점', 2)"
1801,"('부잣집', 2)"
1802,"('극복', 2)"
1803,"('종부세', 2)"
1804,"('저항', 2)"
1805,"('순방', 2)"
1806,"('급증', 2)"
1807,"('싹', 2)"
1808,"('동남아', 2)"
1809,"('본인', 2)"
1810,"('운행', 2)"
1811,"('선거구', 2)"
1812,"('획정', 2)"
1813,"('영향력', 2)"
1814,"('깃', 2)"
1815,"('차일피일', 2)"
1816,"('비정규직', 2)"
1817,"('제로', 2)"
1818,"('함정', 2)"
1819,"('진정', 2)"
1820,"('만드', 2)"
1821,"('천지', 2)"
1822,"('상담', 2)"
1823,"('카시트', 2)"
1824,"('보급', 2)"
1825,"('취준생', 2)"
1826,"('침해', 2)"
1827,"('총대', 2)"
1828,"('서울대', 2)"
1829,"('유', 2)"
1830,"('잡', 2)"
1831,"('버섯', 2)"
1832,"('어깨', 2)"
1833,"('너머', 2)"
1834,"('편의점', 2)"
1835,"('비만', 2)"
1836,"('국책', 2)"
1837,"('연구', 2)"
1838,"('한수원', 2)"
1839,"('대국', 2)"
1840,"('데이터', 2)"
1841,"('김상조', 2)"
1842,"('태풍', 2)"
1843,"('후의', 2)"
1844,"('낙관', 2)"
1845,"('우표', 2)"
1846,"('보조금', 2)"
1847,"('수소차', 2)"
1848,"('경관', 2)"
1849,"('주거', 2)"
1850,"('대장', 2)"
1851,"('사우디', 2)"
1852,"('벵골', 2)"
1853,"('불덩이', 2)"
1854,"('테니스', 2)"
1855,"('사면', 2)"
1856,"('정찰', 2)"
1857,"('무효', 2)"
1858,"('비평', 2)"
1859,"('조합', 2)"
1860,"('학점', 2)"
1861,"('파', 2)"
1862,"('발목', 2)"
1863,"('증원', 2)"
1864,"('절박', 2)"
1865,"('지명', 2)"
1866,"('간호사', 2)"
1867,"('근무', 2)"
1868,"('여건', 2)"
1869,"('유력', 2)"
1870,"('엄마', 2)"
1871,"('국보법', 2)"
1872,"('국가보훈처', 2)"
1873,"('실현', 2)"
1874,"('초청', 2)"
1875,"('허용', 2)"
1876,"('상자', 2)"
1877,"('계절', 2)"
1878,"('물질', 2)"
1879,"('방산', 2)"
1880,"('채택', 2)"
1881,"('제주도', 2)"
1882,"('미술', 2)"
1883,"('파마', 2)"
1884,"('진영', 2)"
1885,"('내일', 2)"
1886,"('김정일', 2)"
1887,"('이웃', 2)"
1888,"('다스', 2)"
1889,"('도발', 2)"
1890,"('흔적', 2)"
1891,"('영양', 2)"
1892,"('수장', 2)"
1893,"('러', 2)"
1894,"('역행', 2)"
1895,"('글쓰기', 2)"
1896,"('불공정', 2)"
1897,"('이동', 2)"
1898,"('대출', 2)"
1899,"('이면', 2)"
1900,"('덕', 2)"
1901,"('헌법', 2)"
1902,"('누비', 2)"
1903,"('스팸', 2)"
1904,"('세트', 2)"
1905,"('학', 2)"
1906,"('예절', 2)"
1907,"('캠코더', 2)"
1908,"('감투', 2)"
1909,"('신입생', 2)"
1910,"('가도', 2)"
1911,"('도둑', 2)"
1912,"('기름', 2)"
1913,"('폭발', 2)"
1914,"('주택가', 2)"
1915,"('심재철', 2)"
1916,"('업무', 2)"
1917,"('폭로', 2)"
1918,"('해킹', 2)"
1919,"('아기', 2)"
1920,"('예수', 2)"
1921,"('벌레', 2)"
1922,"('보행', 2)"
1923,"('전단', 2)"
1924,"('공공', 2)"
1925,"('선비', 2)"
1926,"('수상자', 2)"
1927,"('아예', 2)"
1928,"('선동', 2)"
1929,"('쐐기', 2)"
1930,"('엔진', 2)"
1931,"('우주', 2)"
1932,"('탈락', 2)"
1933,"('외신', 2)"
1934,"('강성', 2)"
1935,"('자동', 2)"
1936,"('열기', 2)"
1937,"('격의', 2)"
1938,"('제국', 2)"
1939,"('연령', 2)"
1940,"('범인', 2)"
1941,"('수도권', 2)"
1942,"('법원행정처', 2)"
1943,"('의전', 2)"
1944,"('샤갈', 2)"
1945,"('온갖', 2)"
1946,"('반론', 2)"
1947,"('소', 2)"
1948,"('영변', 2)"
1949,"('백두산', 2)"
1950,"('청문회', 2)"
1951,"('조국', 2)"
1952,"('머스크', 2)"
1953,"('타임캡슐', 2)"
1954,"('유공', 2)"
1955,"('발음', 2)"
1956,"('육사', 2)"
1957,"('실세', 2)"
1958,"('고분', 2)"
1959,"('비행', 2)"
1960,"('둘째', 2)"
1961,"('첫째', 2)"
1962,"('전부', 2)"
1963,"('추월', 2)"
1964,"('구상', 2)"
1965,"('펀드', 2)"
1966,"('방지', 2)"
1967,"('특례', 2)"
1968,"('제정', 2)"
1969,"('긴급', 2)"
1970,"('상승', 2)"
1971,"('복직', 2)"
1972,"('하인', 2)"
1973,"('최치원', 2)"
1974,"('크게', 2)"
1975,"('경찰관', 2)"
1976,"('조롱', 2)"
1977,"('유세', 2)"
1978,"('편이', 2)"
1979,"('대안', 2)"
1980,"('판단', 2)"
1981,"('말로', 2)"
1982,"('소설', 2)"
1983,"('컴퓨터', 2)"
1984,"('계단', 2)"
1985,"('빵', 2)"
1986,"('무궁화호', 2)"
1987,"('걸작', 2)"
1988,"('파트너', 2)"
1989,"('노후', 2)"
1990,"('실업', 2)"
1991,"('현대', 2)"
1992,"('인건비', 2)"
1993,"('대론', 2)"
1994,"('누드', 2)"
1995,"('접근', 2)"
1996,"('확증', 2)"
1997,"('희생', 2)"
1998,"('세탁기', 2)"
1999,"('표적', 2)"
2000,"('절망', 2)"
2001,"('용국', 2)"
2002,"('일이', 2)"
2003,"('종이', 2)"
2004,"('혼밥', 2)"
2005,"('폐단', 2)"
2006,"('민낯', 2)"
2007,"('명령', 2)"
2008,"('밀무역', 2)"
2009,"('연가', 2)"
2010,"('해소', 2)"
2011,"('부모', 2)"
2012,"('깜짝', 2)"
2013,"('건국', 2)"
2014,"('천재', 2)"
2015,"('정의용', 2)"
2016,"('김명수', 2)"
2017,"('예술가', 2)"
2018,"('성향', 2)"
2019,"('영양실조', 2)"
2020,"('신세대', 2)"
2021,"('귀부인', 2)"
2022,"('오기', 2)"
2023,"('마다', 2)"
2024,"('선박', 2)"
2025,"('과목', 2)"
2026,"('화장실', 2)"
2027,"('할아버지', 2)"
2028,"('파견', 2)"
2029,"('국면', 2)"
2030,"('묶인', 2)"
2031,"('간첩', 2)"
2032,"('분리', 2)"
2033,"('상공', 2)"
2034,"('박항서', 2)"
2035,"('합', 2)"
2036,"('등록금', 2)"
2037,"('한류', 2)"
2038,"('숨통', 2)"
2039,"('회귀', 2)"
2040,"('상상', 2)"
2041,"('독', 2)"
2042,"('자해', 2)"
2043,"('저주', 2)"
2044,"('절실', 2)"
2045,"('국정원장', 2)"
2046,"('측근', 2)"
2047,"('공모', 2)"
2048,"('재산', 2)"
2049,"('권익위', 2)"
2050,"('공백', 2)"
2051,"('그게', 2)"
2052,"('연일', 2)"
2053,"('장학', 2)"
2054,"('자본', 2)"
2055,"('밤하늘', 2)"
2056,"('고장', 2)"
2057,"('존중', 2)"
2058,"('질병', 2)"
2059,"('반영', 2)"
2060,"('삭제', 2)"
2061,"('헛돈', 2)"
2062,"('전모', 2)"
2063,"('심기', 2)"
2064,"('존엄', 2)"
2065,"('빛', 2)"
2066,"('속출', 2)"
2067,"('유적', 2)"
2068,"('전면', 2)"
2069,"('그대로', 2)"
2070,"('천덕', 2)"
2071,"('꾸러기', 2)"
2072,"('조각품', 2)"
2073,"('실버', 2)"
2074,"('발생', 2)"
2075,"('기각', 2)"
2076,"('법정', 2)"
2077,"('시안', 2)"
2078,"('중계방송', 2)"
2079,"('좌표', 2)"
2080,"('찍기', 2)"
2081,"('베이징', 2)"
2082,"('임금', 2)"
2083,"('폭', 2)"
2084,"('통째', 2)"
2085,"('지식', 2)"
2086,"('홈피', 2)"
2087,"('식사', 2)"
2088,"('과제', 2)"
2089,"('선심', 2)"
2090,"('존경', 2)"
2091,"('세척', 2)"
2092,"('생일', 2)"
2093,"('날짜', 2)"
2094,"('마린', 2)"
2095,"('연대', 2)"
2096,"('하락', 2)"
2097,"('귀환', 2)"
2098,"('고문', 2)"
2099,"('신경', 2)"
2100,"('보험료', 2)"
2101,"('퍼부을', 2)"
2102,"('콘텐츠', 2)"
2103,"('평가', 2)"
2104,"('리카싱', 2)"
2105,"('포로', 2)"
2106,"('누진', 2)"
2107,"('더위', 2)"
2108,"('가라', 2)"
2109,"('샤넬', 2)"
2110,"('꼼수', 2)"
2111,"('답지', 2)"
2112,"('돼지', 2)"
2113,"('세운', 2)"
2114,"('무릅쓰', 2)"
2115,"('엉망', 2)"
2116,"('신석기', 2)"
2117,"('장터', 2)"
2118,"('친선', 2)"
2119,"('혹시', 2)"
2120,"('도루묵', 2)"
2121,"('기쁨', 2)"
2122,"('블록', 2)"
2123,"('정착', 2)"
2124,"('비상', 2)"
2125,"('일상', 2)"
2126,"('신세', 2)"
2127,"('전격', 2)"
2128,"('부임', 2)"
2129,"('근절', 2)"
2130,"('무리수', 2)"
2131,"('짝퉁', 2)"
2132,"('차원', 2)"
2133,"('청장', 2)"
2134,"('인증', 2)"
2135,"('관광객', 2)"
2136,"('좌석', 2)"
2137,"('안전띠', 2)"
2138,"('생활화', 2)"
2139,"('전담', 2)"
2140,"('작품', 2)"
2141,"('백년', 2)"
2142,"('선풍기', 2)"
2143,"('한여름', 2)"
2144,"('참석', 2)"
2145,"('출국', 2)"
2146,"('대란', 2)"
2147,"('국방부', 2)"
2148,"('여러분', 2)"
2149,"('테스트', 2)"
2150,"('파리', 2)"
2151,"('본분', 2)"
2152,"('수익률', 2)"
2153,"('헬멧', 2)"
2154,"('홍수', 2)"
2155,"('때로는', 2)"
2156,"('걷기', 2)"
2157,"('인문학', 2)"
2158,"('호기', 2)"
2159,"('엑소더스', 2)"
2160,"('성범죄', 2)"
2161,"('군림', 2)"
2162,"('전력', 2)"
2163,"('주식', 2)"
2164,"('능', 2)"
2165,"('구전', 2)"
2166,"('공식', 2)"
