,정치단어
2525,"('추구', 5)"
2526,"('년', 5)"
2527,"('휴일', 5)"
2528,"('불패', 5)"
2529,"('손해', 5)"
2530,"('입성', 5)"
2531,"('주석', 5)"
2532,"('전기요금', 5)"
2533,"('당국자', 5)"
2534,"('천지', 5)"
2535,"('서울대', 5)"
2536,"('무단', 5)"
2537,"('기념관', 5)"
2538,"('벌금', 5)"
2539,"('차로', 5)"
2540,"('지은', 5)"
2541,"('자존심', 5)"
2542,"('용기', 5)"
2543,"('난타', 5)"
2544,"('과도', 5)"
2545,"('프레', 5)"
2546,"('집무실', 5)"
2547,"('음악', 5)"
2548,"('대학', 5)"
2549,"('꽃', 5)"
2550,"('카메라', 5)"
2551,"('느낌', 5)"
2552,"('연출', 5)"
2553,"('시내', 5)"
2554,"('투어', 5)"
2555,"('톤', 5)"
2556,"('결함', 5)"
2557,"('다롄', 5)"
2558,"('장서', 5)"
2559,"('시리아', 5)"
2560,"('평택', 5)"
2561,"('시기상조', 5)"
2562,"('선제', 5)"
2563,"('크게', 5)"
2564,"('택지', 5)"
2565,"('지선', 5)"
2566,"('북핵문제', 5)"
2567,"('행렬', 5)"
2568,"('슬로건', 5)"
2569,"('대남', 5)"
2570,"('남성', 5)"
2571,"('모욕', 5)"
2572,"('출근', 5)"
2573,"('분배', 5)"
2574,"('반격', 5)"
2575,"('과열', 5)"
2576,"('책동', 5)"
2577,"('본토', 5)"
2578,"('방사청', 5)"
2579,"('높이', 5)"
2580,"('위서', 5)"
2581,"('모', 5)"
2582,"('일자', 5)"
2583,"('프레임', 5)"
2584,"('가시', 5)"
2585,"('흐름', 5)"
2586,"('월드컵', 5)"
2587,"('이슈', 5)"
2588,"('과태료', 5)"
2589,"('확', 5)"
2590,"('친노', 5)"
2591,"('양극화', 5)"
2592,"('간첩', 5)"
2593,"('전과자', 5)"
2594,"('트위터', 5)"
2595,"('특별법', 5)"
2596,"('대란', 5)"
2597,"('개국', 5)"
2598,"('명분', 5)"
2599,"('동생', 5)"
2600,"('특단', 5)"
2601,"('남편', 5)"
2602,"('목록', 5)"
2603,"('밀고', 5)"
2604,"('철책', 5)"
2605,"('납북자', 5)"
2606,"('음모', 5)"
2607,"('인선', 5)"
2608,"('개편안', 5)"
2609,"('배신', 5)"
2610,"('희생', 5)"
2611,"('코리아', 5)"
2612,"('네', 5)"
2613,"('가닥', 5)"
2614,"('장애', 5)"
2615,"('토지', 5)"
2616,"('늑장', 5)"
2617,"('지난해', 5)"
2618,"('논리', 5)"
2619,"('가구', 5)"
2620,"('열기', 5)"
2621,"('경위', 5)"
2622,"('음해', 5)"
2623,"('좌', 5)"
2624,"('파일', 5)"
2625,"('자율', 5)"
2626,"('소설', 5)"
2627,"('입건', 5)"
2628,"('조사해', 5)"
2629,"('메모', 5)"
2630,"('광', 5)"
2631,"('근간', 5)"
2632,"('합격', 5)"
2633,"('골프', 5)"
2634,"('관여', 5)"
2635,"('충격', 5)"
2636,"('비보', 5)"
2637,"('후회', 5)"
2638,"('동안', 5)"
2639,"('물어', 5)"
2640,"('부자', 5)"
2641,"('안팎', 5)"
2642,"('악재', 5)"
2643,"('신속', 5)"
2644,"('영수회담', 5)"
2645,"('석유', 5)"
2646,"('금품', 5)"
2647,"('군축', 5)"
2648,"('바로', 5)"
2649,"('불안', 5)"
2650,"('김세연', 5)"
2651,"('아픔', 5)"
2652,"('가덕도', 5)"
2653,"('안상수', 5)"
2654,"('혼돈', 5)"
2655,"('우물', 5)"
2656,"('스위스', 5)"
2657,"('남자', 5)"
2658,"('기득권', 5)"
2659,"('앤드루', 5)"
2660,"('페이스북', 5)"
2661,"('모색', 5)"
2662,"('권성동', 5)"
2663,"('은퇴', 5)"
2664,"('여개', 5)"
2665,"('충청', 5)"
2666,"('진심', 5)"
2667,"('가을', 5)"
2668,"('조선신보', 5)"
2669,"('동지', 5)"
2670,"('목', 5)"
2671,"('이종석', 5)"
2672,"('한중일', 5)"
2673,"('총동원', 5)"
2674,"('별개', 5)"
2675,"('선의', 5)"
2676,"('우위', 5)"
2677,"('아이', 5)"
2678,"('이재정', 5)"
2679,"('조희연', 5)"
2680,"('충북도', 5)"
2681,"('박선영', 5)"
2682,"('세인트', 5)"
2683,"('지스', 5)"
2684,"('기표', 5)"
2685,"('거점', 5)"
2686,"('마침표', 5)"
2687,"('눈길', 5)"
2688,"('장면', 5)"
2689,"('진통', 5)"
2690,"('항공기', 5)"
2691,"('사표', 5)"
2692,"('과시', 5)"
2693,"('공략', 5)"
2694,"('창원', 5)"
2695,"('투기', 5)"
2696,"('부각', 5)"
2697,"('잡음', 5)"
2698,"('두테르테', 5)"
2699,"('서울역', 5)"
2700,"('중점', 5)"
2701,"('성남시장', 5)"
2702,"('무료', 5)"
2703,"('블랙리스트', 5)"
2704,"('트집', 5)"
2705,"('비방', 5)"
2706,"('번개', 5)"
2707,"('방명록', 5)"
2708,"('김계관', 5)"
2709,"('아무', 5)"
2710,"('집행', 5)"
2711,"('연수', 5)"
2712,"('내정자', 5)"
2713,"('쓰레기', 5)"
2714,"('관철', 5)"
2715,"('타협', 5)"
2716,"('이벤트', 5)"
2717,"('포털', 5)"
2718,"('고리', 5)"
2719,"('결선', 5)"
2720,"('원단', 5)"
2721,"('충남지사', 5)"
2722,"('더미', 5)"
2723,"('로비', 5)"
2724,"('레드', 5)"
2725,"('반영', 5)"
2726,"('갑자기', 5)"
2727,"('리제', 5)"
2728,"('문무', 5)"
2729,"('수렴', 5)"
2730,"('바라카', 5)"
2731,"('맥', 5)"
2732,"('매스', 5)"
2733,"('아이스하키팀', 5)"
2734,"('아트', 5)"
2735,"('중임', 5)"
2736,"('반대파', 5)"
2737,"('리종혁', 4)"
2738,"('김성혜', 4)"
2739,"('추적', 4)"
2740,"('아세안', 4)"
2741,"('뭔가', 4)"
2742,"('이자', 4)"
2743,"('사무실', 4)"
2744,"('상상', 4)"
2745,"('송이버섯', 4)"
2746,"('유기', 4)"
2747,"('김해', 4)"
2748,"('엄마', 4)"
2749,"('를', 4)"
2750,"('외통', 4)"
2751,"('폭력', 4)"
2752,"('법제처', 4)"
2753,"('결위', 4)"
2754,"('윤창', 4)"
2755,"('경제성장', 4)"
2756,"('전례', 4)"
2757,"('조강', 4)"
2758,"('드릴', 4)"
2759,"('불평등', 4)"
2760,"('경쟁력', 4)"
2761,"('대권', 4)"
2762,"('과장', 4)"
2763,"('최후', 4)"
2764,"('박용만', 4)"
2765,"('놀란', 4)"
2766,"('병진', 4)"
2767,"('권구훈', 4)"
2768,"('겉', 4)"
2769,"('다해', 4)"
2770,"('교역', 4)"
2771,"('동력', 4)"
2772,"('우파', 4)"
2773,"('발탁', 4)"
2774,"('선글라스', 4)"
2775,"('사령탑', 4)"
2776,"('체감', 4)"
2777,"('독일', 4)"
2778,"('미군기지', 4)"
2779,"('자극', 4)"
2780,"('발끈', 4)"
2781,"('대동', 4)"
2782,"('책임감', 4)"
2783,"('초당', 4)"
2784,"('선호', 4)"
2785,"('휴대전화', 4)"
2786,"('청소년', 4)"
2787,"('와중', 4)"
2788,"('고성', 4)"
2789,"('사실관계', 4)"
2790,"('퍼스트레이디', 4)"
2791,"('퍼', 4)"
2792,"('마중', 4)"
2793,"('원조', 4)"
2794,"('군인', 4)"
2795,"('국정감사', 4)"
2796,"('위조', 4)"
2797,"('활용', 4)"
2798,"('아야', 4)"
2799,"('짜증', 4)"
2800,"('압력', 4)"
2801,"('휴식', 4)"
2802,"('상향', 4)"
2803,"('신경', 4)"
2804,"('컨', 4)"
2805,"('보이콧', 4)"
2806,"('프로젝트', 4)"
2807,"('공관', 4)"
2808,"('청구권', 4)"
2809,"('남아', 4)"
2810,"('명도', 4)"
2811,"('새만금', 4)"
2812,"('선포', 4)"
2813,"('요즘', 4)"
2814,"('패닉', 4)"
2815,"('혁명', 4)"
2816,"('공범', 4)"
2817,"('고립', 4)"
2818,"('성범죄', 4)"
2819,"('운', 4)"
2820,"('기동', 4)"
2821,"('괌', 4)"
2822,"('고삐', 4)"
2823,"('기정', 4)"
2824,"('연말', 4)"
2825,"('맞춤', 4)"
2826,"('금은', 4)"
2827,"('기도', 4)"
2828,"('점점', 4)"
2829,"('점화', 4)"
2830,"('향후', 4)"
2831,"('설립', 4)"
2832,"('유일', 4)"
2833,"('생색', 4)"
2834,"('충분', 4)"
2835,"('페이', 4)"
2836,"('무장해제', 4)"
2837,"('생전', 4)"
2838,"('면전', 4)"
2839,"('마이웨이', 4)"
2840,"('부친', 4)"
2841,"('특례', 4)"
2842,"('순서', 4)"
2843,"('자주포', 4)"
2844,"('신규', 4)"
2845,"('감사원장', 4)"
2846,"('재팬', 4)"
2847,"('정규직', 4)"
2848,"('방제', 4)"
2849,"('한병도', 4)"
2850,"('계약서', 4)"
2851,"('보조금', 4)"
2852,"('면회', 4)"
2853,"('인생', 4)"
2854,"('상납', 4)"
2855,"('김학용', 4)"
2856,"('부국', 4)"
2857,"('태권도', 4)"
2858,"('종편', 4)"
2859,"('단기', 4)"
2860,"('수락', 4)"
2861,"('동거', 4)"
2862,"('완충', 4)"
2863,"('강요', 4)"
2864,"('숙제', 4)"
2865,"('끝장', 4)"
2866,"('결제', 4)"
2867,"('격상', 4)"
2868,"('헌재', 4)"
2869,"('홍장표', 4)"
2870,"('소지', 4)"
2871,"('조선일보', 4)"
2872,"('보호', 4)"
2873,"('체류', 4)"
2874,"('김용태', 4)"
2875,"('재위', 4)"
2876,"('몸', 4)"
2877,"('광복절', 4)"
2878,"('차질', 4)"
2879,"('착공', 4)"
2880,"('포옹', 4)"
2881,"('노무현재단', 4)"
2882,"('급증', 4)"
2883,"('담당', 4)"
2884,"('해안', 4)"
2885,"('피로', 4)"
2886,"('결례', 4)"
2887,"('팝', 4)"
2888,"('주변', 4)"
2889,"('군기', 4)"
2890,"('주관', 4)"
2891,"('할아버지', 4)"
2892,"('효성', 4)"
2893,"('라며', 4)"
2894,"('경전', 4)"
2895,"('차단', 4)"
2896,"('개정안', 4)"
2897,"('열자', 4)"
2898,"('국무', 4)"
2899,"('자녀', 4)"
2900,"('국적', 4)"
2901,"('망치', 4)"
2902,"('도시재생', 4)"
2903,"('징역', 4)"
2904,"('선고', 4)"
2905,"('사필귀정', 4)"
2906,"('축제', 4)"
2907,"('전세계', 4)"
2908,"('사이트', 4)"
2909,"('모스크바', 4)"
2910,"('과학', 4)"
2911,"('실종', 4)"
2912,"('시신', 4)"
2913,"('북단', 4)"
2914,"('격차', 4)"
2915,"('당일치기', 4)"
2916,"('클릭', 4)"
2917,"('경유', 4)"
2918,"('국무총리', 4)"
2919,"('안심', 4)"
2920,"('쌀', 4)"
2921,"('분열', 4)"
2922,"('국군의날', 4)"
2923,"('법적대응', 4)"
2924,"('취해', 4)"
2925,"('식량', 4)"
2926,"('여지', 4)"
2927,"('규정', 4)"
2928,"('임금', 4)"
2929,"('수뇌부', 4)"
2930,"('내내', 4)"
2931,"('동아시아', 4)"
2932,"('보위', 4)"
2933,"('인하', 4)"
2934,"('온도', 4)"
2935,"('기원', 4)"
2936,"('주최', 4)"
2937,"('마약', 4)"
2938,"('물꼬', 4)"
2939,"('귀', 4)"
2940,"('유남석', 4)"
2941,"('밀담', 4)"
2942,"('봉', 4)"
2943,"('차별', 4)"
2944,"('신호탄', 4)"
2945,"('찬', 4)"
2946,"('점심', 4)"
2947,"('경제특구', 4)"
2948,"('옹호', 4)"
2949,"('집단체조', 4)"
2950,"('실시간', 4)"
2951,"('소년', 4)"
2952,"('육성', 4)"
2953,"('전역', 4)"
2954,"('노광철', 4)"
2955,"('외화', 4)"
2956,"('박수', 4)"
2957,"('청사', 4)"
2958,"('보안', 4)"
2959,"('태양', 4)"
2960,"('퍼레이드', 4)"
2961,"('드라마', 4)"
2962,"('총괄', 4)"
2963,"('북남관계', 4)"
2964,"('관전', 4)"
2965,"('동대문', 4)"
2966,"('부의', 4)"
2967,"('항로', 4)"
2968,"('장기', 4)"
2969,"('전종수', 4)"
2970,"('증세', 4)"
2971,"('물품', 4)"
2972,"('교착', 4)"
2973,"('운전', 4)"
2974,"('리잔수', 4)"
2975,"('평', 4)"
2976,"('세종시', 4)"
2977,"('파트너', 4)"
2978,"('묵묵', 4)"
2979,"('정국', 4)"
2980,"('감옥', 4)"
2981,"('욱', 4)"
2982,"('회의론', 4)"
2983,"('계산', 4)"
2984,"('배려', 4)"
2985,"('권고', 4)"
2986,"('확약', 4)"
2987,"('강성', 4)"
2988,"('종', 4)"
2989,"('당혹', 4)"
2990,"('매일', 4)"
2991,"('상무', 4)"
2992,"('대가', 4)"
2993,"('올드보이', 4)"
2994,"('성찰', 4)"
2995,"('운행', 4)"
2996,"('시선', 4)"
2997,"('정현', 4)"
2998,"('유임', 4)"
2999,"('수위', 4)"
3000,"('심리', 4)"
3001,"('총재', 4)"
3002,"('건가', 4)"
3003,"('상정', 4)"
3004,"('행정청', 4)"
3005,"('지목', 4)"
3006,"('구분', 4)"
3007,"('연방제', 4)"
3008,"('이승만', 4)"
3009,"('단행', 4)"
3010,"('모멘텀', 4)"
3011,"('능', 4)"
3012,"('형제', 4)"
3013,"('성적표', 4)"
3014,"('해고', 4)"
3015,"('대적', 4)"
3016,"('소방', 4)"
3017,"('금주', 4)"
3018,"('이미지', 4)"
3019,"('신축', 4)"
3020,"('나이', 4)"
3021,"('경영', 4)"
3022,"('식사', 4)"
3023,"('일관', 4)"
3024,"('옥탑방', 4)"
3025,"('꼴', 4)"
3026,"('봉쇄', 4)"
3027,"('진룽호', 4)"
3028,"('민영', 4)"
3029,"('실어', 4)"
3030,"('익범', 4)"
3031,"('동료', 4)"
3032,"('축구', 4)"
3033,"('구애', 4)"
3034,"('농', 4)"
3035,"('러시', 4)"
3036,"('겸허', 4)"
3037,"('업체', 4)"
3038,"('첩보', 4)"
3039,"('재앙', 4)"
3040,"('소명', 4)"
3041,"('호칭', 4)"
3042,"('전선', 4)"
3043,"('무니', 4)"
3044,"('무게', 4)"
3045,"('요인', 4)"
3046,"('누진', 4)"
3047,"('예외', 4)"
3048,"('끌', 4)"
3049,"('악의', 4)"
3050,"('수주', 4)"
3051,"('자화자찬', 4)"
3052,"('무근', 4)"
3053,"('열망', 4)"
3054,"('온라인', 4)"
3055,"('부활', 4)"
3056,"('청해부대', 4)"
3057,"('허가', 4)"
3058,"('즉시', 4)"
3059,"('몰래', 4)"
3060,"('옵션', 4)"
3061,"('준공', 4)"
3062,"('지성호', 4)"
3063,"('자살', 4)"
3064,"('직권', 4)"
3065,"('단순', 4)"
3066,"('꿈', 4)"
3067,"('이정표', 4)"
3068,"('어선', 4)"
3069,"('라오스', 4)"
3070,"('무엇', 4)"
3071,"('고양', 4)"
3072,"('구간', 4)"
3073,"('애국', 4)"
3074,"('민갑룡', 4)"
3075,"('노사', 4)"
3076,"('장례', 4)"
3077,"('유가족', 4)"
3078,"('존경', 4)"
3079,"('대진표', 4)"
3080,"('관건', 4)"
3081,"('그냥', 4)"
3082,"('압도', 4)"
3083,"('독재자', 4)"
3084,"('통한', 4)"
3085,"('문의', 4)"
3086,"('김대식', 4)"
3087,"('항공', 4)"
3088,"('감안', 4)"
3089,"('하반기', 4)"
3090,"('심정', 4)"
3091,"('출전', 4)"
3092,"('전망대', 4)"
3093,"('탄자니아', 4)"
3094,"('민정수', 4)"
3095,"('독립', 4)"
3096,"('정진석', 4)"
3097,"('직위', 4)"
3098,"('숭늉', 4)"
3099,"('신호', 4)"
3100,"('부임', 4)"
3101,"('쿠바', 4)"
3102,"('남북통일', 4)"
3103,"('확장', 4)"
3104,"('과로', 4)"
3105,"('질책', 4)"
3106,"('대리', 4)"
3107,"('식수', 4)"
3108,"('매진', 4)"
3109,"('분과', 4)"
3110,"('종일', 4)"
3111,"('경쟁률', 4)"
3112,"('구가', 4)"
3113,"('포스코', 4)"
3114,"('세운', 4)"
3115,"('정해진', 4)"
3116,"('원내', 4)"
3117,"('주역', 4)"
3118,"('추후', 4)"
3119,"('주요', 4)"
3120,"('길이', 4)"
3121,"('정안', 4)"
3122,"('비례', 4)"
3123,"('린다', 4)"
3124,"('직항', 4)"
3125,"('문턱', 4)"
3126,"('자치', 4)"
3127,"('공존', 4)"
3128,"('역풍', 4)"
3129,"('패배', 4)"
3130,"('검경', 4)"
3131,"('분주', 4)"
3132,"('무릎', 4)"
3133,"('과반', 4)"
3134,"('경청', 4)"
3135,"('부여', 4)"
3136,"('호응', 4)"
3137,"('충남도지사', 4)"
3138,"('최초', 4)"
3139,"('찬양', 4)"
3140,"('김천', 4)"
3141,"('보선', 4)"
3142,"('박종훈', 4)"
3143,"('전북도', 4)"
3144,"('이규희', 4)"
3145,"('방법', 4)"
3146,"('레', 4)"
3147,"('결집', 4)"
3148,"('도의', 4)"
3149,"('단어', 4)"
3150,"('핵보유국', 4)"
3151,"('어차피', 4)"
3152,"('송', 4)"
3153,"('원론', 4)"
3154,"('불륜', 4)"
3155,"('일당', 4)"
3156,"('통지', 4)"
3157,"('잠', 4)"
3158,"('김칫국', 4)"
3159,"('끈', 4)"
3160,"('올인', 4)"
3161,"('입구', 4)"
3162,"('샹그릴라', 4)"
3163,"('한미정상', 4)"
3164,"('데드라인', 4)"
3165,"('공지영', 4)"
3166,"('기고', 4)"
3167,"('안동시장', 4)"
3168,"('연정', 4)"
3169,"('모금', 4)"
3170,"('평행선', 4)"
3171,"('야합', 4)"
3172,"('관행', 4)"
3173,"('난리', 4)"
3174,"('명예훼손', 4)"
3175,"('총기', 4)"
3176,"('자해', 4)"
3177,"('술수', 4)"
3178,"('며', 4)"
3179,"('아사히', 4)"
3180,"('영남', 4)"
3181,"('일가', 4)"
3182,"('무능', 4)"
3183,"('회원', 4)"
3184,"('컨트롤', 4)"
3185,"('출정', 4)"
3186,"('강길부', 4)"
3187,"('당한', 4)"
3188,"('대변', 4)"
3189,"('상여금', 4)"
3190,"('방사', 4)"
3191,"('데리', 4)"
3192,"('통일대교', 4)"
3193,"('재고', 4)"
3194,"('용의', 4)"
3195,"('회견', 4)"
3196,"('염동열', 4)"
3197,"('등판', 4)"
3198,"('루치', 4)"
3199,"('가해자', 4)"
3200,"('세비', 4)"
3201,"('반납', 4)"
3202,"('피습', 4)"
3203,"('실검', 4)"
3204,"('리커창', 4)"
3205,"('고통', 4)"
3206,"('운전기사', 4)"
3207,"('일시', 4)"
3208,"('표준', 4)"
3209,"('사우디', 4)"
3210,"('전남지사', 4)"
3211,"('교통사고', 4)"
3212,"('제스처', 4)"
3213,"('발령', 4)"
3214,"('사업가', 4)"
3215,"('월경', 4)"
3216,"('임신', 4)"
3217,"('쓰기', 4)"
3218,"('성주', 4)"
3219,"('통행', 4)"
3220,"('수리', 4)"
3221,"('출판', 4)"
3222,"('이완', 4)"
3223,"('흠결', 4)"
3224,"('유성', 4)"
3225,"('준용', 4)"
3226,"('어버이날', 4)"
3227,"('땡처리', 4)"
3228,"('걸그룹', 4)"
3229,"('벨벳', 4)"
3230,"('흥행', 4)"
3231,"('국민투표', 4)"
3232,"('김앤장', 4)"
3233,"('고용부', 4)"
3234,"('빅매치', 4)"
3235,"('일과', 4)"
3236,"('사냥개', 4)"
3237,"('복수', 4)"
3238,"('윤상', 4)"
3239,"('김윤옥', 4)"
3240,"('이석연', 4)"
3241,"('잡', 4)"
3242,"('획정', 4)"
3243,"('도구로', 4)"
3244,"('친북', 4)"
3245,"('종목', 4)"
3246,"('삼지', 4)"
3247,"('묵호항', 4)"
3248,"('혼선', 4)"
3249,"('스키', 4)"
3250,"('아마추어', 4)"
3251,"('밴쿠버', 4)"
3252,"('악단', 4)"
3253,"('호봉', 4)"
3254,"('이우현', 4)"
3255,"('단추', 4)"
3256,"('비박', 3)"
3257,"('착륙', 3)"
3258,"('풍산개', 3)"
3259,"('고양이', 3)"
3260,"('일반', 3)"
3261,"('핑퐁', 3)"
3262,"('호법', 3)"
3263,"('양호', 3)"
3264,"('전주', 3)"
3265,"('헌병', 3)"
3266,"('진영', 3)"
3267,"('정밀', 3)"
3268,"('여대', 3)"
3269,"('엄포', 3)"
3270,"('박승춘', 3)"
3271,"('고수', 3)"
3272,"('우롱', 3)"
3273,"('도출', 3)"
3274,"('설계자', 3)"
3275,"('워킹', 3)"
3276,"('착각', 3)"
3277,"('열정', 3)"
3278,"('압수', 3)"
3279,"('저출산', 3)"
3280,"('당사자', 3)"
3281,"('워터파크', 3)"
3282,"('자력', 3)"
3283,"('총리실', 3)"
3284,"('눈높이', 3)"
3285,"('순', 3)"
3286,"('전염병', 3)"
3287,"('공고', 3)"
3288,"('민주화', 3)"
3289,"('제소', 3)"
3290,"('탈취', 3)"
3291,"('추측', 3)"
3292,"('구속기소', 3)"
3293,"('동무', 3)"
3294,"('수퍼', 3)"
3295,"('너', 3)"
3296,"('저격', 3)"
3297,"('묵인', 3)"
3298,"('아동', 3)"
3299,"('안나', 3)"
3300,"('해안포', 3)"
3301,"('우라늄', 3)"
3302,"('사수', 3)"
3303,"('깃발', 3)"
3304,"('정협', 3)"
3305,"('작심', 3)"
3306,"('중독', 3)"
3307,"('조위', 3)"
3308,"('감서', 3)"
3309,"('포문', 3)"
3310,"('고장', 3)"
3311,"('전진', 3)"
3312,"('찾기', 3)"
3313,"('재무부', 3)"
3314,"('뻔', 3)"
3315,"('장마당', 3)"
3316,"('전해', 3)"
3317,"('심해', 3)"
3318,"('곤', 3)"
3319,"('과외', 3)"
3320,"('일요일', 3)"
3321,"('자정', 3)"
3322,"('산물', 3)"
3323,"('도구', 3)"
3324,"('승소', 3)"
3325,"('상소리', 3)"
3326,"('물리', 3)"
3327,"('소요', 3)"
3328,"('무기한', 3)"
3329,"('지상파', 3)"
3330,"('역주행', 3)"
3331,"('방공', 3)"
3332,"('고용노동부', 3)"
3333,"('끝내', 3)"
3334,"('자신감', 3)"
3335,"('황제', 3)"
3336,"('가처분', 3)"
3337,"('구경', 3)"
3338,"('점수', 3)"
3339,"('착', 3)"
3340,"('관료', 3)"
3341,"('비토', 3)"
3342,"('중립', 3)"
3343,"('증인', 3)"
3344,"('침대', 3)"
3345,"('수거', 3)"
3346,"('수혜자', 3)"
3347,"('낫다', 3)"
3348,"('트리', 3)"
3349,"('폭언', 3)"
3350,"('공립', 3)"
3351,"('신', 3)"
3352,"('무조건', 3)"
3353,"('얼마나', 3)"
3354,"('달인', 3)"
3355,"('군비', 3)"
3356,"('풀이', 3)"
3357,"('손자', 3)"
3358,"('무리수', 3)"
3359,"('자의', 3)"
3360,"('몰락', 3)"
3361,"('사절', 3)"
3362,"('일각', 3)"
3363,"('월간', 3)"
3364,"('괴물', 3)"
3365,"('중소기업', 3)"
3366,"('아셈', 3)"
3367,"('공영', 3)"
3368,"('인용', 3)"
3369,"('편성', 3)"
3370,"('여러', 3)"
3371,"('전념', 3)"
3372,"('연쇄', 3)"
3373,"('주선', 3)"
3374,"('정민', 3)"
3375,"('구비', 3)"
3376,"('김기영', 3)"
3377,"('가까스로', 3)"
3378,"('음', 3)"
3379,"('외국', 3)"
3380,"('언론인', 3)"
3381,"('협회', 3)"
3382,"('홍종학', 3)"
3383,"('위증', 3)"
3384,"('악순환', 3)"
3385,"('수급', 3)"
3386,"('장교', 3)"
3387,"('포상', 3)"
3388,"('기한', 3)"
3389,"('불량', 3)"
3390,"('유사시', 3)"
3391,"('치명', 3)"
3392,"('차등', 3)"
3393,"('의결권', 3)"
3394,"('차지', 3)"
3395,"('생태계', 3)"
3396,"('우정', 3)"
3397,"('콘서트', 3)"
3398,"('동포', 3)"
3399,"('황', 3)"
3400,"('전문성', 3)"
3401,"('되풀이', 3)"
3402,"('결격', 3)"
3403,"('문어', 3)"
3404,"('등산', 3)"
3405,"('진급', 3)"
3406,"('휘', 3)"
3407,"('겸손', 3)"
3408,"('창업', 3)"
3409,"('국력', 3)"
3410,"('실효', 3)"
3411,"('수술', 3)"
3412,"('창구', 3)"
3413,"('기념일', 3)"
3414,"('주가', 3)"
3415,"('구글', 3)"
3416,"('매', 3)"
3417,"('조짐', 3)"
3418,"('한자리', 3)"
3419,"('전차', 3)"
3420,"('경수로', 3)"
3421,"('밀', 3)"
3422,"('무사', 3)"
3423,"('회피', 3)"
3424,"('립', 3)"
3425,"('조항', 3)"
3426,"('해상자위대', 3)"
3427,"('문체부', 3)"
3428,"('용역', 3)"
3429,"('소유', 3)"
3430,"('세트', 3)"
3431,"('공화국', 3)"
3432,"('대량', 3)"
3433,"('발송', 3)"
3434,"('데뷔', 3)"
3435,"('시비', 3)"
3436,"('자위대', 3)"
3437,"('자랑', 3)"
3438,"('작가', 3)"
3439,"('임원', 3)"
3440,"('빈', 3)"
3441,"('해커', 3)"
3442,"('구입', 3)"
3443,"('유', 3)"
3444,"('일도', 3)"
3445,"('업추비', 3)"
3446,"('정미', 3)"
3447,"('싸이', 3)"
3448,"('봇', 3)"
3449,"('시연', 3)"
3450,"('이사', 3)"
3451,"('중장', 3)"
3452,"('직시', 3)"
3453,"('적법', 3)"
3454,"('신세', 3)"
3455,"('성대', 3)"
3456,"('고속', 3)"
3457,"('급여', 3)"
3458,"('김밥', 3)"
3459,"('뱅크', 3)"
3460,"('발생', 3)"
3461,"('대령', 3)"
3462,"('일파', 3)"
3463,"('박상기', 3)"
3464,"('역행', 3)"
3465,"('되레', 3)"
3466,"('백화점', 3)"
3467,"('가수', 3)"
3468,"('지출', 3)"
3469,"('전액', 3)"
3470,"('칭찬', 3)"
3471,"('소멸', 3)"
3472,"('지나', 3)"
3473,"('기능', 3)"
3474,"('자동차', 3)"
3475,"('진수식', 3)"
3476,"('대감', 3)"
3477,"('녹음', 3)"
3478,"('원유철', 3)"
3479,"('명절', 3)"
3480,"('벽', 3)"
3481,"('화', 3)"
3482,"('향군', 3)"
3483,"('몰카', 3)"
3484,"('농축', 3)"
3485,"('친홍', 3)"
3486,"('캐스팅', 3)"
3487,"('보트', 3)"
3488,"('동성애', 3)"
3489,"('칼럼', 3)"
3490,"('투명', 3)"
3491,"('생략', 3)"
3492,"('순안공항', 3)"
3493,"('옥류관', 3)"
3494,"('수산물', 3)"
3495,"('끼', 3)"
3496,"('정찰기', 3)"
3497,"('제자리', 3)"
3498,"('낙제', 3)"
3499,"('관객', 3)"
3500,"('게시', 3)"
3501,"('대학생', 3)"
3502,"('대동강', 3)"
3503,"('벌이', 3)"
3504,"('리룡남', 3)"
3505,"('궤도', 3)"
3506,"('심장', 3)"
3507,"('불명', 3)"
3508,"('결실', 3)"
3509,"('수권', 3)"
3510,"('결재', 3)"
3511,"('확답', 3)"
3512,"('안전보장', 3)"
3513,"('못내', 3)"
3514,"('잠정', 3)"
3515,"('로남불', 3)"
3516,"('이석태', 3)"
3517,"('은애', 3)"
3518,"('출산', 3)"
3519,"('구호', 3)"
3520,"('메르스', 3)"
3521,"('음성', 3)"
3522,"('판정', 3)"
3523,"('꽃할배', 3)"
3524,"('망신', 3)"
3525,"('비아', 3)"
3526,"('인사청문회', 3)"
3527,"('적도', 3)"
3528,"('작용', 3)"
3529,"('해선', 3)"
3530,"('그레이엄', 3)"
3531,"('발급', 3)"
3532,"('필요시', 3)"
3533,"('운규', 3)"
3534,"('구조조정', 3)"
3535,"('정보기관', 3)"
3536,"('편입', 3)"
3537,"('략', 3)"
3538,"('취급', 3)"
3539,"('비교', 3)"
3540,"('당무', 3)"
3541,"('이건', 3)"
3542,"('허황', 3)"
3543,"('디자인', 3)"
3544,"('강비', 3)"
3545,"('만큼', 3)"
3546,"('징조', 3)"
3547,"('살길', 3)"
3548,"('드라이브', 3)"
3549,"('답답', 3)"
3550,"('이찬호', 3)"
3551,"('전부', 3)"
3552,"('로켓', 3)"
3553,"('살림', 3)"
3554,"('논문', 3)"
3555,"('역시', 3)"
3556,"('지역구', 3)"
3557,"('최영애', 3)"
