,정치단어
262,"('결과', 53)"
263,"('고발', 53)"
264,"('팀', 52)"
265,"('임명', 52)"
266,"('방', 52)"
267,"('최고', 52)"
268,"('구성', 52)"
269,"('파견', 52)"
270,"('불', 52)"
271,"('접촉', 52)"
272,"('서울시장', 52)"
273,"('주', 51)"
274,"('제주', 51)"
275,"('연기', 51)"
276,"('하나', 51)"
277,"('공식', 51)"
278,"('환영', 51)"
279,"('다시', 51)"
280,"('단체', 51)"
281,"('문재인', 51)"
282,"('평창올림픽', 51)"
283,"('부', 50)"
284,"('출신', 50)"
285,"('실장', 50)"
286,"('개성', 50)"
287,"('배', 50)"
288,"('언론', 50)"
289,"('송영', 50)"
290,"('시간', 49)"
291,"('사령관', 49)"
292,"('위반', 49)"
293,"('가능', 49)"
294,"('면담', 49)"
295,"('유해', 49)"
296,"('후보자', 49)"
297,"('진단', 49)"
298,"('댓글', 49)"
299,"('혁신', 48)"
300,"('정', 48)"
301,"('경찰', 48)"
302,"('남', 48)"
303,"('방송', 48)"
304,"('론', 48)"
305,"('해결', 48)"
306,"('호텔', 48)"
307,"('열병', 48)"
308,"('적폐', 48)"
309,"('출구조사', 48)"
310,"('기업', 47)"
311,"('김동연', 47)"
312,"('주장', 47)"
313,"('뒤', 47)"
314,"('대응', 46)"
315,"('생각', 46)"
316,"('거부', 46)"
317,"('차관', 46)"
318,"('의지', 46)"
319,"('자유', 46)"
320,"('아베', 46)"
321,"('여당', 46)"
322,"('기자', 46)"
323,"('오후', 46)"
324,"('사건', 46)"
325,"('입', 46)"
326,"('하라', 45)"
327,"('폐지', 45)"
328,"('이낙연', 44)"
329,"('온', 44)"
330,"('확대', 44)"
331,"('진전', 44)"
332,"('관계', 44)"
333,"('뉴스', 44)"
334,"('만찬', 44)"
335,"('시장', 44)"
336,"('문정인', 43)"
337,"('번', 43)"
338,"('리선', 43)"
339,"('장성', 43)"
340,"('규제', 42)"
341,"('홍영표', 42)"
342,"('내년', 42)"
343,"('계엄', 42)"
344,"('안해', 42)"
345,"('대책', 42)"
346,"('하루', 42)"
347,"('이상', 42)"
348,"('탈북', 42)"
349,"('상봉', 42)"
350,"('송환', 42)"
351,"('미사일', 41)"
352,"('금지', 41)"
353,"('사업', 41)"
354,"('계획', 41)"
355,"('기대', 41)"
356,"('모든', 41)"
357,"('개선', 41)"
358,"('역사', 41)"
359,"('본회의', 41)"
360,"('이유', 41)"
361,"('마지막', 41)"
362,"('성공', 41)"
363,"('종업원', 41)"
364,"('사전투표', 41)"
365,"('현장', 40)"
366,"('국', 40)"
367,"('돈', 40)"
368,"('포함', 40)"
369,"('인상', 40)"
370,"('금강산', 40)"
371,"('모두', 40)"
372,"('직접', 40)"
373,"('시설', 40)"
374,"('발의', 40)"
375,"('이후', 40)"
376,"('교육', 40)"
377,"('체제', 40)"
378,"('유세', 40)"
379,"('남경필', 40)"
380,"('공약', 40)"
381,"('국민의당', 40)"
382,"('길', 39)"
383,"('정의당', 39)"
384,"('인정', 39)"
385,"('노력', 39)"
386,"('격동', 39)"
387,"('방남', 38)"
388,"('통해', 38)"
389,"('동맹', 38)"
390,"('힘', 38)"
391,"('과거', 38)"
392,"('포기', 38)"
393,"('상황', 38)"
394,"('김', 38)"
395,"('러시아', 38)"
