,단어명,빈도수
0,한국,70
1,금융,48
2,투자,42
3,기업,41
4,경제,37
5,정부,36
6,명,35
7,위,34
8,일자리,34
9,삼성,33
10,중,32
11,코노,31
12,브리핑,31
13,출시,31
14,세,31
15,톡톡,29
16,시장,29
17,차,28
18,대출,28
19,국내,27
20,일상,27
21,감소,26
22,고용,26
23,올해,26
24,김동연,26
25,확대,25
26,산업,25
27,드론,25
28,외,24
29,최대,24
30,김현주,24
31,증가,24
32,혁신,23
33,기술,23
34,농협,23
35,더,23
36,지원,22
37,해외,22
38,성장,22
39,경기,21
40,제,21
41,개,20
42,은행,20
43,세계,20
44,률,20
45,규제,20
46,롯데,20
47,첫,19
48,금리,19
49,서비스,18
50,사업,18
51,전망,18
52,배,18
53,주택,18
54,전자,18
55,이상,18
56,등,17
57,최고,17
58,인상,17
59,업계,17
60,개최,17
61,글로벌,17
62,개월,17
63,부동산,17
64,중소기업,17
65,것,17
66,서울,17
67,인하,17
68,상승,17
69,안,16
70,생산,16
71,조사,16
72,못,16
73,진행,16
74,유류,16
75,바이오,15
76,내년,15
77,수출,15
78,소득,15
79,아파트,14
80,발표,14
81,가격,14
82,판매,14
83,전국,14
84,곳,14
85,수,14
86,취업,14
87,증시,14
88,논란,14
89,분양,13
90,창업,13
91,물가,13
92,감사,13
93,우려,13
94,매출,13
95,강화,13
96,부담,13
97,점,13
98,건,13
99,달,12
100,회장,12
101,최,12
102,브랜드,12
103,개발,12
104,카드,12
105,공개,12
106,필요,12
107,현대차,12
108,또,12
109,사,12
110,검토,12
111,시대,12
112,할인,11
113,이벤트,11
114,하락,11
115,대책,11
116,국제,11
117,최저임금,11
118,후,11
119,청년,11
120,개선,11
121,업체,11
122,문제,11
123,고객,11
124,도입,11
125,비,11
126,로,11
127,행사,11
128,디지털,11
129,최저,10
130,실적,10
131,국민,10
132,재,10
133,정책,10
134,부진,10
135,빚,10
136,값,10
137,은,10
138,건설,10
139,국민연금,10
140,자금,9
141,코리아,9
142,안전,9
143,조정,9
144,당국,9
145,회,9
146,기,9
147,연속,9
148,소비자,9
149,자동차,9
150,위해,9
151,임대,9
152,비용,9
153,쌀,9
154,사회,9
155,육박,9
156,공급,9
157,무역,9
158,중국,9
159,법,9
160,추가,9
161,속,9
162,실시,9
163,직원,9
164,현대,9
165,대기업,9
166,평균,9
167,채용,9
168,이슈,9
169,탐색,9
170,미래,9
171,주,9
172,관리,9
173,여성,9
174,가맹,9
175,반도체,8
176,거래,8
177,지역,8
178,업무,8
179,목표,8
180,경영,8
181,효과,8
182,항공,8
183,료,8
184,듯,8
185,현장,8
186,진출,8
187,스마트,8
188,적용,8
189,업,8
190,대상,8
191,카카오,8
192,전환,8
193,공동,8
194,피해,8
195,준비,8
196,자율,8
197,영향,8
198,업자,8
199,액,8
200,돌파,8
201,가치,8
202,영업,8
203,공무원,8
204,사상,8
205,가계,8
206,전쟁,7
207,폭락,7
208,수입,7
209,박차,7
210,보증,7
211,기금,7
212,체결,7
213,문화,7
214,익,7
215,유가,7
216,회복,7
217,전문,7
218,한전,7
219,광고,7
220,노사,7
221,인,7
222,장기,7
223,보험,7
224,율,7
225,국,7
226,자,7
227,대비,7
228,수수료,7
229,새,7
230,추진,7
231,산업혁명,7
232,위기,7
233,확인,7
234,최종,7
235,법인,7
236,집값,7
237,비리,7
238,시스템,7
239,오픈,7
240,차량,7
241,코스피,7
242,공유,7
243,구,7
244,휘발유,7
245,돈,7
246,홍보,7
247,전,7
248,안정,7
249,대통령,7
250,주식,7
251,체감,7
252,절반,7
253,급증,7
254,석탄,7
255,보유,7
256,이후,6
257,연중,6
258,기록,6
259,분식회계,6
260,공장,6
261,인천,6
262,공인,6
263,협약,6
264,주가,6
265,데이터,6
266,신규,6
267,실업자,6
268,회의,6
269,출범,6
270,노,6
271,껑충,6
272,역대,6
273,카풀,6
274,기념,6
275,생각,6
276,노조,6
277,참여,6
278,의심,6
279,책임,6
280,선,6
281,제조업,6
282,당첨,6
283,총,6
284,가구,6
285,지수,6
286,폭,6
287,론,6
288,복지,6
289,도,6
290,미국,6
291,스마트폰,6
292,대폭,6
293,자영,6
294,편의점,6
295,차별,6
296,소비,6
297,리스크,6
298,라돈,6
299,생리대,6
300,수준,6
301,구매,6
302,인기,6
303,배제,6
304,협의,6
305,등록,6
306,손,6
307,주년,6
308,택시,6
309,서민,6
310,반등,6
311,외국인,6
312,가을,6
313,점주,6
314,농촌,6
315,어린이집,6
316,채,6
317,속도,6
318,스타트업,6
319,직스,5
320,회계,5
321,치킨,5
322,삼바,5
323,기간,5
324,관세,5
325,무료,5
326,단체,5
327,관광,5
328,온라인,5
329,투입,5
330,처리,5
331,결정,5
332,내,5
333,과정,5
334,사고,5
335,사장,5
336,달라,5
337,디,5
338,팀,5
339,기획,5
340,베트남,5
341,급등,5
342,임금,5
343,통상,5
344,호,5
345,음주,5
346,변화,5
347,결과,5
348,산,5
349,대화,5
350,확보,5
351,발,5
352,신제품,5
353,일,5
354,미세먼지,5
355,월,5
356,악화,5
357,펀드,5
358,개혁,5
359,교체,5
360,홍,5
361,버스,5
362,때,5
363,연금,5
364,스,5
365,통계,5
366,채권,5
367,수협,5
368,소개,5
369,근로,5
370,원전,5
371,친환경,5
372,우수,5
373,케어,5
374,모바일,5
375,대회,5
376,선거,5
377,폐지,5
378,지주,5
379,수익,5
380,담보,5
381,주목,5
382,희망,5
383,종합,5
384,기아차,5
385,뉴,5
386,환경,5
387,반영,5
388,주유소,5
389,화재,5
390,회사,5
391,정규직,5
392,그룹,5
393,용,5
394,규모,5
395,성과,5
396,상생,5
397,눈길,5
398,테크,5
399,포토,5
400,폐업,5
401,금,5
402,왜,5
403,줄,5
404,연,5
405,활용,5
406,아동,5
407,경쟁,5
408,발행,5
409,분리,5
410,주행,5
411,집중,5
412,라면,5
413,끝,5
414,데이,5
415,태양광,5
416,협회,5
417,처,5
418,거주,5
419,의무,5
420,도시,5
421,국토부,5
422,공공기관,5
423,지난해,5
424,중앙회,5
425,일손,5
426,돕기,5
427,혜택,5
428,외부,5
429,불법,5
430,창,5
431,직장인,5
432,수능,4
433,최초,4
434,화폐,4
435,고의,4
436,본사,4
437,연체,4
438,집,4
439,투,4
440,공간,4
