,단어명,빈도수
0,대통령,156
1,한국,86
2,정부,58
3,것,57
4,홍준표,49
5,의원,48
6,국회,44
7,이재명,44
8,경제,42
9,국감,40
10,정책,38
11,총리,37
12,전원책,35
13,이언주,32
14,김동연,31
15,발언,31
16,손학규,29
17,말,29
18,임종석,28
19,등,28
20,여야,28
21,안,27
22,선언,27
23,정치,26
24,일자리,26
25,보수,26
26,하태경,25
27,박지원,25
28,유치원,24
29,논란,24
30,김병준,23
31,김성태,23
32,제,23
33,유은혜,23
34,김정은,22
35,고용,22
36,예산,22
37,명,22
38,평양,22
39,수,21
40,문,21
41,재판,21
42,조명,21
43,민주,21
44,태극기,20
45,문재인,20
46,장관,20
47,국정,20
48,경찰,20
49,특별,19
50,탄핵,19
51,이해찬,19
52,남북,18
53,박근혜,18
54,임명,18
55,비,18
56,방,18
57,리선,18
58,중,18
59,방문,18
60,비준,18
61,부대,17
62,검토,17
63,평화,17
64,뉴스,17
65,국민,17
66,부,17
67,서울,16
68,회의,16
69,당,16
70,일,16
71,홍영표,16
72,교체,16
73,심재철,16
74,북미,15
75,합의,15
76,인사,15
77,비리,15
78,가짜,15
79,성장,15
80,홍,15
81,실장,15
82,세습,15
83,법원,15
84,하나,14
85,황교안,14
86,이낙연,14
87,박용진,14
88,듯,14
89,정,14
90,김수현,14
91,왜,14
92,의혹,14
93,대책,14
94,장하,14
95,선거,14
96,정권,14
97,다스,14
98,논의,13
99,이용주,13
100,내,13
101,주도,13
102,공동,13
103,사과,13
104,청와대,13
105,비판,13
106,개혁,13
107,주,13
108,냉면,13
109,추진,13
110,비핵화,12
111,선,12
112,때,12
113,음주운전,12
114,민주당,12
115,미래,12
116,후,12
117,전,12
118,국,12
119,로,12
120,점,12
121,고발,11
122,법,11
123,대표,11
124,친박,11
125,사람,11
126,외교부,11
127,협력,11
128,공개,11
129,위,11
130,배,11
131,저격,11
132,부인,11
133,방북,11
134,교황,11
135,이명박,11
136,판결,10
137,더,10
138,손,10
139,확대,10
140,참석,10
141,전여옥,10
142,지지도,10
143,특위,10
144,하락,10
145,여사,10
146,조사,10
147,발표,10
148,불법,10
149,징역,10
150,사립,10
151,국정감사,10
152,실,10
153,필요,9
154,차,9
155,한반도,9
156,개월,9
157,심,9
158,요구,9
159,환경,9
160,특활비,9
161,협치,9
162,좌파,9
163,고위,9
164,범,9
165,회담,9
166,김정숙,9
167,협의,9
168,채용,9
169,지지율,9
170,징용,8
171,문제,8
172,정상회담,8
173,내년,8
174,사용,8
175,김무성,8
176,혁신,8
177,개,8
178,조국,8
179,수석,8
180,김부선,8
181,이,8
182,후임,8
183,대북,8
184,그,8
185,동시,8
186,건,8
187,위해,8
188,균,8
189,감사,8
190,전략,8
191,사건,8
192,공무원,8
193,동의,8
194,계엄,8
195,국민연금,8
196,본격,8
197,생각,8
198,또,8
199,단독,8
200,농단,8
201,모두,8
202,순방,8
203,대화,7
204,과,7
205,출신,7
206,준비,7
207,자기,7
208,최저임금,7
209,역사,7
210,선동열,7
211,혜원,7
212,국정원,7
213,해,7
214,입,7
215,이상,7
216,소득,7
217,규제,7
218,귤,7
219,김진태,7
220,해임,7
221,적,7
222,감,7
223,핵심,7
224,전쟁,7
225,경제부총리,7
226,공정,7
227,경질,7
228,대위,7
229,항소,7
230,국조,7
231,우려,7
232,청문회,7
233,며,7
234,재,7
235,군사,7
236,국방,7
237,비서실,7
238,위원장,7
239,막말,7
240,세,7
241,판문점,7
242,지적,7
243,첫,7
244,공공기관,7
245,땐,7
246,출석,7
247,직원,7
248,사태,7
249,통합,7
250,노무현,7
251,산업,7
252,친,7
253,유시민,7
254,계속,6
255,한미,6
256,김,6
257,인상,6
258,못,6
259,살인,6
260,행위,6
261,결정,6
262,개최,6
263,지금,6
264,적용,6
265,트럼프,6
266,윤창,6
267,단,6
268,성과,6
269,청산,6
270,해촉,6
271,무시,6
272,반발,6
273,정치권,6
274,달,6
275,셀프,6
276,누구,6
277,강행,6
278,평가,6
279,발의,6
280,나경원,6
281,사업,6
282,반대,6
283,요청,6
284,지역,6
285,대법관,6
286,지사,6
287,종합,6
288,의미,6
289,지원,6
290,연기,6
291,유튜브,6
292,폼페이,6
293,오,6
294,목구멍,6
295,의,6
296,게,6
297,부적절,6
298,선글라스,6
299,체,6
300,기회,6
301,정말,6
302,통해,6
303,조작,6
304,최고,6
305,여의도,6
306,자금,6
307,교육부,6
308,사법,6
309,국가,6
310,속,6
311,정신,6
312,유럽,6
313,행사,6
314,관계,5
315,조치,5
316,곳,5
317,아세안,5
318,연대,5
319,오후,5
320,이견,5
321,우리,5
322,은,5
323,징계,5
324,사퇴,5
325,날,5
326,정상,5
327,시간,5
328,압수수색,5
329,관련,5
330,상황,5
331,배상,5
332,최선,5
333,정미,5
334,호법,5
335,박정희,5
336,강연재,5
337,검증,5
338,세력,5
339,쇄신,5
340,처벌,5
341,처리,5
342,노조,5
343,칼,5
344,거,5
345,복지,5
346,결과,5
347,경계,5
348,뭐,5
349,팀,5
350,효과,5
351,부처,5
352,동원,5
353,후보자,5
354,마련,5
355,기,5
356,제출,5
357,사회,5
358,인적,5
359,포기,5
360,정당,5
361,취하,5
362,분야,5
363,비난,5
364,갈등,5
365,조강,5
366,비공개,5
367,먼저,5
368,오늘,5
369,속도,5
370,어디,5
371,강제,5
372,주장,5
373,구성,5
374,역풍,5
375,상,5
376,카드,5
377,답방,5
378,증가,5
379,시작,5
380,일침,5
381,세월호,5
382,헌법,5
383,책임,5
384,이행,5
385,확인,5
386,운영,5
387,론,5
388,종,5
389,촉구,5
390,진보,5
391,정보,5
392,적발,5
393,연설,5
394,혜경궁,5
395,김씨,5
396,선고,5
397,기업,5
398,충돌,5
399,유감,5
400,촛불,5
401,잘못,5
402,주의,5
403,적폐,5
404,발생,5
405,최,5
406,인척,5
407,위헌,5
408,야당,5
409,공사,5
410,해제,5
411,기재부,5
412,뇌물,5
413,부총리,5
414,사실,4
415,성사,4
416,적극,4
417,역할,4
418,회,4
419,동맹,4
420,기대,4
