,단어명,빈도수
451,직접,78
452,해도,78
453,진보,78
454,행위,78
455,특사,78
456,진전,77
457,수도,77
458,철수,77
459,구성,77
460,고도,77
461,피해자,77
462,줄,77
463,판결,77
464,참가,77
465,인구,77
466,채,76
467,보도,76
468,공동,76
469,방향,76
470,포기,76
471,공장,75
472,첫,75
473,감,75
474,날,75
475,지시,75
476,절차,75
477,강화,74
478,알,74
479,조직,74
480,그동안,74
481,심,74
482,회사,74
483,시점,74
484,층,73
485,업자,73
486,세금,73
487,팀,73
488,부작용,73
489,거부,73
490,구조,73
491,발전,73
492,사고,73
493,사법,73
494,위반,72
495,의미,72
496,안정,72
497,보고서,72
498,기회,72
499,여부,72
500,부처,72
501,인식,72
502,현장,72
503,점검,72
504,주의,72
505,온,72
506,관계자,72
507,자,72
508,계기,72
509,자영,71
510,방침,71
511,효과,71
512,기,71
513,조율,71
514,임금,71
515,향후,71
516,규정,70
517,정보,70
518,범죄,70
519,싱가포르,70
520,다음,70
521,자료,70
522,가치,70
523,핵무기,70
524,석탄,70
525,전력,70
526,핵실험,70
527,차원,70
528,명의,70
529,러시아,70
530,길이,69
531,유지,69
532,창,69
533,얼마나,69
534,직원,69
535,공무원,69
536,달라,69
537,적용,68
538,소리,68
539,기금,68
540,처벌,68
541,국무장관,68
542,총,68
543,삼성,68
544,개헌안,68
545,피,67
546,약,67
547,가운데,67
548,경고,67
549,도발,67
550,주요,67
551,손,67
552,민간,66
553,제출,66
554,정치권,66
555,포인트,66
556,속도,66
557,방송,66
558,반도체,66
559,주,65
560,지표,65
561,의도,65
562,스스로,65
563,전문가,65
564,민주주의,65
565,입,65
566,백악관,65
567,코드,65
568,운동,65
569,비리,64
570,물,64
571,확산,64
572,발생,64
573,폐쇄,64
574,중앙,64
575,향,64
576,보복,64
577,충격,63
578,원내대표,63
579,최악,63
580,연구원,63
581,악화,63
582,예상,63
583,발,63
584,비서,63
585,끝,63
586,법안,63
587,측은,63
588,내부,63
589,보좌,63
590,철강,63
591,보수,62
592,공세,62
593,조건,62
594,참여,62
595,걱정,62
596,방,62
597,통일부,62
598,증거,62
599,참사,62
600,위험,62
601,매우,62
602,카드,62
603,진상,62
604,평창동계올림픽,62
605,네이버,62
606,의사,61
607,실상,61
608,기존,61
609,훼손,61
610,왜,61
611,성향,61
612,실제,61
613,변화,61
614,취임,61
615,지수,61
616,실무,60
617,기자회견,60
618,채용,60
619,정규직,60
620,인,60
621,금,60
622,사이,60
623,먼저,60
624,신고,60
625,마당,60
626,대변인,60
627,수입,60
628,하락,60
629,뉴스,60
630,적자,60
631,주택,60
632,국회의원,60
633,문건,60
634,결론,59
635,제조업,59
636,장,59
637,경제정책,59
638,능력,59
639,지속,59
640,은행,59
641,통일,59
642,단축,59
643,근본,59
644,개입,59
645,근로자,59
646,시위,59
647,통계청,58
648,추락,58
649,해,58
650,의제,58
651,작업,58
652,소통,58
653,저출산,58
654,인정,58
655,적폐,58
656,사,58
657,교체,57
658,역시,57
659,수석,57
660,동향,57
661,출신,57
662,총리,57
663,부총리,57
664,중인,57
665,중소기업,57
666,공단,57
667,교과서,57
668,규명,57
669,시기,56
670,대학,56
671,문화,56
672,경쟁력,56
673,대회,56
674,가격,56
675,기술,56
676,집중,56
677,개정,56
678,설치,55
679,주민,55
680,화재,55
681,공식,55
682,가지,55
683,부회장,55
684,부위,54
685,지방,54
686,대로,54
687,민주,54
688,과,54
689,행정,54
690,금지,54
691,특정,54
692,오히려,54
693,자체,54
694,중이,54
695,외교부,54
696,메시지,54
697,지지,54
698,그간,54
699,권고,54
700,천안함,54
701,행정부,53
702,거리,53
703,년,53
704,당장,53
705,정신,53
706,의식,53
707,이용,53
708,역대,53
709,사례,53
710,평창,53
711,부실,53
712,실질,52
713,긴장,52
714,민노총,52
715,근로,52
716,이란,52
717,분야,52
718,촉구,52
719,고려,52
720,구축,52
721,난,52
722,처방,52
723,강,52
724,개편,52
725,본격,52
726,공격,52
727,해소,52
728,관심,52
729,검사,52
730,최종,52
731,설득,52
732,근로시간,52
733,작년,52
734,검,52
735,사전,52
736,혼란,51
737,동의,51
738,안팎,51
739,홍,51
740,눈치,51
741,나선,51
742,의심,51
743,제한,51
744,발의,51
745,마찬가지,51
746,측,51
747,꼴,51
748,축소,51
749,시절,51
750,가상,51
751,복지,50
752,요인,50
753,겨냥,50
754,성공,50
755,대신,50
756,기반,50
757,조정,50
758,구멍,50
759,기구,50
760,모습,50
761,원인,50
762,개인,50
763,사단,50
764,도움,50
765,부과,50
766,양,50
767,부채,50
768,하루,50
769,외,50
770,부정,50
771,인터넷,50
772,측면,49
773,그룹,49
774,지경,49
775,방법,49
776,수용,49
777,실,49
778,판,49
779,달리,49
780,결의,49
781,개국,49
782,제외,49
783,연금,49
784,기본,49
785,억류,49
786,시스템,49
787,사정,49
788,실시,49
789,늘,49
790,불가,49
791,범위,49
792,확보,48
793,어디,48
794,글로벌,48
795,거듭,48
796,사상,48
797,기조,48
798,도성,48
799,반복,48
800,세력,48
801,이전,48
802,각종,48
803,전달,48
804,예고,48
805,특활비,48
806,듯,48
807,사드,48
808,파견,48
809,화폐,48
810,실업률,47
811,체계,47
812,속,47
813,무기,47
814,집권,47
815,재앙,47
816,건설,47
817,뿌리,47
818,학교,47
819,수립,47
820,만,47
821,부동산,47
822,접촉,47
823,장기,47
824,진실,47
825,집값,47
826,임명,46
827,현안,46
828,최소,46
829,외면,46
830,정세,46
831,투입,46
832,번지,46
833,글,46
834,국면,46
835,범,46
836,통과,46
837,부인,46
838,시대,46
839,권한,46
840,처,45
841,분위기,45
842,후속,45
843,여명,45
844,대처,45
845,판이,45
846,집행,45
847,운용,45
848,해당,45
849,연기,45
850,추천,45
851,최저,45
852,진단,45
853,청산,45
854,동시,45
855,이자,45
856,론,45
857,인물,45
858,생명,45
859,개성,45
860,환자,45
861,유치원,45
862,혈세,45
863,유,45
864,기무사,45
865,격,44
866,조성,44
867,각각,44
868,소속,44
869,자칫,44
870,파악,44
871,국무부,44
872,군사훈련,44
873,현,44
874,역,44
875,병원,44
876,폭,44
877,노사,44
878,중심,44
879,실험,44
880,가구,44
881,선고,44
882,확정,44
883,분,44
884,상공,44
885,배제,44
886,서로,43
887,시험,43
888,시각,43
889,부통령,43
890,김동연,43
891,정착,43
892,보호,43
893,잘못,43
894,영업,43
895,폭행,43
896,제안,43
897,기사,43
898,법적,42
899,부문,42
900,무,42
901,비중,42
902,펜스,42
903,직후,42
904,되풀이,42
905,전직,42
906,경제부총리,42
907,외부,42
908,이념,42
909,취소,42
910,참석,42
911,연속,42
912,균열,42
913,것임,42
914,수가,42
915,작용,42
916,액,42
917,난민,42
918,북핵문제,42
919,표현,41
920,인력,41
921,여성,41
922,자기,41
923,재개,41
924,주년,41
925,비율,41
926,철도,41
927,거나,41
928,지도,41
929,노,41
930,동원,41
931,제공,41
932,서비스,41
933,자격,41
934,준,41
935,얼마,41
936,경쟁,41
937,가족,41
938,압수수색,41
939,바,40
940,구,40
941,언제,40
942,지지율,40
943,감사,40
944,답,40
945,현대차,40
946,변호사,40
947,공감,40
948,취지,40
949,공론,40
950,선박,40
951,보호무역,40
952,수술,40
953,보유,40
954,차량,40
955,고발,40
956,전문,40
957,환경부,39
958,공인,39
959,발목,39
960,비정규직,39
961,달성,39
962,전형,39
963,실천,39
964,기획재정부,39
965,반영,39
966,부,39
967,회원,39
968,책,39
969,구역,39
970,충돌,39
971,선택,39
972,반면,39
973,해법,39
974,살,39
975,부분,39
976,정상화,39
977,왜곡,39
978,대미,39
979,송,39
980,감축,39
981,질서,38
982,면,38
983,여권,38
984,귀,38
985,프로그램,38
986,기류,38
987,일각,38
988,의회,38
989,접근,38
990,부상,38
991,타격,38
992,불신,38
993,해명,38
994,현상,38
995,감안,38
996,에너지,38
997,상승,38
998,대법관,38
999,어찌,38
1000,동북아,38
1001,법무부,38
1002,풀,38
1003,완성,38
1004,성명,38
1005,역적,38
1006,남북한,38
1007,가계,38
1008,국정원,38
1009,김경수,38
1010,일관,37
1011,효율,37
1012,진정,37
1013,연락,37
1014,실현,37
1015,긍정,37
1016,바람,37
1017,사항,37
1018,이해,37
1019,작성,37
1020,종합,37
1021,존재,37
1022,병역,37
1023,임기,37
1024,목적,37
1025,감사원,37
1026,시도,37
1027,반드시,37
1028,씨,37
1029,반입,37
1030,사퇴,37
1031,겸,36
1032,기대,36
1033,사과,36
1034,곳곳,36
