,단어명,빈도수
0,한국,101
1,기업,101
2,명,89
3,삼성,86
4,정부,86
5,최저임금,82
6,지원,78
7,등,74
8,브리핑,72
9,경제,70
10,투자,69
11,대출,68
12,금융,68
13,코노,67
14,고용,64
15,최대,62
16,시장,60
17,성장,60
18,외,59
19,폭염,59
20,인상,58
21,김동연,56
22,증가,53
23,중,52
24,일자리,52
25,산업,51
26,소득,51
27,특집,51
28,위,50
29,서울,50
30,사업,50
31,확대,49
32,주택,47
33,혁신,47
34,첫,46
35,추석,45
36,배,44
37,수출,43
38,농협,43
39,경영,42
40,최고,42
41,더,42
42,국내,41
43,집값,40
44,금리,40
45,은행,40
46,출시,39
47,개월,39
48,제,38
49,것,38
50,사,38
51,상승,38
52,논란,38
53,기술,37
54,국민연금,37
55,대책,36
56,세,36
57,상반기,36
58,차,35
59,추진,35
60,희망,35
61,전자,34
62,규제,34
63,서비스,34
64,톡톡,33
65,경기,33
66,부동산,33
67,내년,32
68,무역,32
69,일상,32
70,곳,32
71,감소,31
72,카드,31
73,청년,31
74,롯데,30
75,영업,30
76,물가,30
77,하반기,29
78,현대,29
79,세계,29
80,정책,29
81,검토,29
82,수,28
83,그룹,28
84,공개,28
85,메르스,28
86,사회,28
87,연금,28
88,로,27
89,강화,27
90,해외,27
91,진행,27
92,안,26
93,개최,26
94,협력,26
95,업계,26
96,공인,26
97,회장,26
98,피해,26
99,효과,26
100,대기업,25
101,거래,25
102,돌파,25
103,개,25
104,김현주,25
105,전쟁,25
106,소비자,25
107,추가,25
108,소상,25
109,지역,25
110,원전,25
111,취업,25
112,역대,24
113,평균,24
114,직원,24
115,개발,24
116,주도,24
117,상생,24
118,미래,24
119,예산,24
120,소비,23
121,부담,23
122,이상,23
123,또,23
124,후,23
125,값,22
126,달,22
127,발표,22
128,률,22
129,우려,22
130,공급,22
131,글로벌,22
132,완화,22
133,가구,21
134,관세,21
135,가격,21
136,액,21
137,보험,21
138,전망,21
139,하나,21
140,은,21
141,생산,21
142,땐,21
143,건설,21
144,지급,21
145,업자,21
146,중소기업,21
147,총,21
148,및,20
149,오픈,20
150,실적,20
151,채용,20
152,회,20
153,연속,19
154,가능,19
155,우리,19
156,비,19
157,아파트,19
158,대상,19
159,신규,19
160,위해,19
161,료,19
162,집중,19
163,최,19
164,아시아나,19
165,가계,18
166,속도,18
167,판매,18
168,익,18
169,환자,18
170,개편,18
171,점,18
172,선,17
173,하락,17
174,집,17
175,도입,17
176,재,17
177,혜택,17
178,국민,17
179,발전,17
180,전,17
181,금,17
182,자영,17
183,바이오,17
184,위기,17
185,스마트,17
186,종부세,17
187,종합,17
188,쇼크,17
189,금감원,16
190,호,16
191,주,16
192,작년,16
193,수입,16
194,미국,16
195,제한,16
196,현장,16
197,문화,16
198,조사,16
199,점검,16
200,대비,16
201,장관,16
202,논의,16
203,듯,16
204,반도체,16
205,개선,16
206,누진,16
207,용,15
208,폭탄,15
209,관리,15
210,층,15
211,할인,15
212,육박,15
213,마련,15
214,활동,15
215,공장,15
216,브랜드,15
217,공정위,15
218,특별,15
219,즉시,15
220,실시,15
221,사상,15
222,확산,15
223,회복,15
224,진출,15
225,전력,15
226,편의점,15
227,폐지,14
228,채,14
229,필요,14
230,율,14
231,무료,14
232,결정,14
233,내,14
234,안전,14
235,참여,14
236,속,14
237,전기,14
238,자금,14
239,수요,14
240,못,14
241,이후,14
242,문제,14
243,상공,14
244,요금,14
245,기내식,14
246,안정,13
247,폭,13
248,전국,13
249,쇼핑,13
250,세금,13
251,줄,13
252,올해,13
253,협약,13
254,창,13
255,연,13
256,생명,13
257,인터넷,13
258,불,13
259,핵심,13
260,선정,13
261,화재,13
262,반발,13
263,제품,13
264,매출,13
265,공사,13
266,구축,13
267,급증,13
268,자동차,13
269,현대차,13
270,광고,13
271,이익,13
272,비상,13
273,전환,13
274,시,13
275,국토부,13
276,활용,12
277,콘텐츠,12
278,고발,12
279,사고,12
280,기념,12
281,건,12
282,일,12
283,격차,12
284,자녀,12
285,항공,12
286,적용,12
287,새,12
288,과징금,12
289,협회,12
290,상,12
291,증권,12
292,화폐,12
293,시대,12
294,최소,12
295,다시,12
296,수주,12
297,주목,12
298,수준,12
299,상품,12
300,프리미엄,12
301,꿈,12
302,체결,12
303,전문,12
304,이재용,12
305,사장,12
306,불안,12
307,온라인,12
308,과세,12
309,수수료,12
310,전기요금,12
311,업체,12
312,진단,12
313,교육,12
314,여름,12
315,재정,12
316,인하,12
317,별,12
318,분리,12
319,진에어,12
320,최저,11
321,나선,11
322,방안,11
323,면세점,11
324,사용,11
325,리콜,11
326,책임,11
327,나눔,11
328,접촉,11
329,최종,11
330,방문,11
331,근로,11
332,분쟁,11
333,확보,11
334,도,11
335,탈,11
336,체감,11
337,시간,11
338,취소,11
339,확인,11
340,초,11
341,포스코,11
342,세제,11
343,부회장,11
344,개혁,11
345,휴가,11
346,행진,11
347,임금,11
348,일부,11
349,은산,11
350,대란,11
351,출범,10
352,심리,10
353,의,10
354,김상조,10
355,진흥,10
356,서민,10
357,급등,10
358,예고,10
359,대한항공,10
360,주의,10
361,업무,10
362,행사,10
363,음성,10
364,장기,10
365,국제,10
366,장려,10
367,해소,10
368,창업,10
369,아동,10
370,월,10
371,노조,10
372,환경,10
373,사랑,10
374,스타,10
375,길,10
376,무,10
377,기준,10
378,시작,10
379,속보,10
380,돈,10
381,인기,10
382,투입,10
383,차단,10
384,임대,10
385,영향,10
386,대표,10
387,한전,10
388,협의,10
389,여성,10
390,의견,10
391,날,10
392,성공,10
393,행정,10
394,산업부,10
395,면허,10
396,코드,10
397,담합,9
398,규모,9
399,적발,9
400,수급,9
401,계속,9
402,인,9
403,해양,9
404,행복,9
405,절반,9
406,병원,9
407,공정,9
408,재계,9
409,총수,9
410,부진,9
411,국회,9
412,남북,9
413,가상,9
414,악화,9
415,경쟁력,9
416,계획,9
417,모두,9
418,모바일,9
419,투기,9
420,전원,9
421,세대,9
422,정보,9
423,운영,9
424,회의,9
425,처,9
426,법,9
427,센터,9
428,프로젝트,9
429,시스템,9
430,자산,9
431,유통,9
432,친환경,9
433,계약,9
434,직장인,9
435,단체,9
436,피,9
437,국세청,9
438,가입,9
439,최초,9
440,유지,9
441,축소,9
442,중국,9
443,대응,9
444,인천,9
445,보청기,9
446,비중,9
447,취약,9
448,앞,9
449,어디,9
450,지속,9
451,홍종학,9
452,왜,9
453,가치,9
454,통해,9
455,신청,9
456,차량,9
457,차등,9
458,게임,9
459,스튜어드,9
460,이용,8
461,기,8
462,팀,8
463,비율,8
464,조성,8
465,코리아,8
466,판정,8
467,산,8
468,문,8
469,검찰,8
470,현실,8
471,제조업,8
472,경쟁,8
473,이슈,8
474,최악,8
475,상황,8
476,방송,8
477,연휴,8
478,부족,8
479,격리,8
480,해제,8
481,고객,8
482,불만,8
483,정비,8
484,주식,8
485,기아차,8
486,근로자,8
487,등록,8
488,공략,8
489,호텔,8
490,인재,8
491,제공,8
492,전문가,8
493,전세,8
494,전기차,8
495,처리,8
496,계,8
497,공동,8
498,흑자,8
499,복지,8
500,부산,8
501,쌀,8
502,명령,8
503,이벤트,8
504,이개,8
505,유럽,8
506,총력,8
507,세무조사,8
508,현금,8
509,대폭,8
510,고려,8
511,지정,8
512,금지,8
513,가맹,8
514,폭풍,8
515,요구,8
516,본부,8
517,상담,8
518,아이,8
519,우대,8
520,기부,8
521,생활,8
522,건강,8
523,에어컨,8
524,심화,8
525,동결,8
526,지수,8
527,시설,8
528,플러스,8
529,증,8
530,선위,8
531,기능,7
532,불확실,7
533,진화,7
534,보험금,7
535,중심,7
536,비용,7
537,조정,7
538,성과,7
539,중앙회,7
540,관광,7
541,때,7
542,탓,7
543,말,7
544,위험,7
545,하향,7
546,상승세,7
547,시행,7
548,일본,7
549,반입,7
550,전략,7
551,결과,7
552,스마트폰,7
553,간,7
554,통,7
555,실업자,7
556,수도권,7
557,김현미,7
558,에너지,7
559,태양광,7
560,봉사,7
561,손,7
562,쇼핑몰,7
