,단어명,빈도수
0,대통령,291
1,한국,136
2,노회찬,93
3,정부,88
4,김병준,79
5,국회,75
6,여야,72
7,의원,69
8,것,68
9,민주,65
10,남북,63
11,선언,63
12,이해찬,62
13,기무사,58
14,명,54
15,민주당,53
16,김성태,52
17,문건,50
18,경제,49
19,지지율,48
20,정치,48
21,특검,48
22,평양,46
23,대표,46
24,이재명,46
25,총리,45
26,안,45
27,평화,45
28,성장,45
29,장관,44
30,특활비,43
31,인사,43
32,위원장,43
33,소득,42
34,정책,41
35,로,40
36,위,39
37,수사,39
38,의혹,38
39,국민,38
40,문,37
41,계엄,37
42,비핵화,37
43,미래,37
44,등,36
45,논란,35
46,당,35
47,정의당,35
48,홍준표,34
49,주,34
50,드루,34
51,킹,34
52,주도,33
53,국정,33
54,김경수,32
55,후,31
56,첫,31
57,법,30
58,합의,29
59,당권,29
60,유은혜,28
61,심재철,28
62,혁신,28
63,전,28
64,홍영표,28
65,규제,28
66,방,27
67,김정은,27
68,판문점,27
69,개혁,27
70,협치,27
71,비,26
72,후보,26
73,정상회담,26
74,회담,25
75,때,25
76,추진,25
77,하락,25
78,일,24
79,중,24
80,문제,24
81,제,24
82,무,24
83,더,24
84,최저임금,24
85,일자리,24
86,차,23
87,최저,23
88,폐지,23
89,출마,23
90,박근혜,22
91,단,22
92,재,22
93,사회,22
94,문재인,22
95,의장,22
96,대책,22
97,관,22
98,다시,21
99,정미,21
100,전대,21
101,요청,20
102,손학규,20
103,검토,20
104,논의,20
105,필요,20
106,정상,20
107,방문,20
108,수,20
109,말,20
110,국가,20
111,지원,20
112,비대,20
113,송영길,20
114,선,19
115,야당,19
116,비준,19
117,내,19
118,이번,19
119,청문회,19
120,국방,19
121,방북,19
122,하태경,19
123,비판,18
124,반대,18
125,관련,18
126,검찰,18
127,최고,18
128,발언,18
129,또,18
130,국민연금,18
131,고용,18
132,구성,18
133,이상,17
134,위원,17
135,종전,17
136,조치,17
137,조사,17
138,속,17
139,의,17
140,동행,17
141,시작,17
142,송영,17
143,건,17
144,재판,17
145,문희상,17
146,갈등,17
147,주자,17
148,정,17
149,계엄령,17
150,요구,16
151,정청,16
152,왜,16
153,지사,16
154,남북정상회담,16
155,듯,16
156,법안,16
157,안철수,16
158,위해,16
159,발의,16
160,완화,16
161,농단,16
162,국정원,16
163,확대,16
164,협의,15
165,공동,15
166,회의,15
167,김동연,15
168,교체,15
169,북미,15
170,내각,15
171,지지도,15
172,예산,15
173,이유,15
174,후보자,15
175,비서,15
176,대응,15
177,민생,15
178,안희정,15
179,개선,15
180,진보,15
181,보고,15
182,친문,15
183,설,15
184,김진표,15
185,세,14
186,청와대,14
187,연설,14
188,우리,14
189,재정,14
190,부동산,14
191,압수수색,14
192,장하,14
193,동의,14
194,결정,14
195,추석,14
196,결과,14
197,여성,14
198,정치권,14
199,책임,14
200,임종석,14
201,연속,14
202,지역,14
203,소환,14
204,모임,14
205,전두환,14
206,심,14
207,선고,14
208,무죄,14
209,사실,13
210,향,13
211,공개,13
212,청문,13
213,참석,13
214,위반,13
215,일정,13
216,도,13
217,노무현,13
218,이낙연,13
219,발표,13
220,힘,13
221,병역,13
222,서울,13
223,백두산,13
224,공무원,13
225,달라,13
226,보수,13
227,개입,13
228,주의,13
229,처벌,13
230,불,13
231,치,13
232,박정희,13
233,박원순,13
234,계획,13
235,보고서,12
236,출신,12
237,청탁,12
238,박지원,12
239,회,12
240,기대,12
241,한반도,12
242,효과,12
243,회복,12
244,특사,12
245,특별,12
246,은,12
247,김,12
248,주목,12
249,이재용,12
250,삼성,12
251,헌법재판관,12
252,취임,12
253,그,12
254,사법,12
255,인상,12
256,개각,12
257,원내대표,12
258,조폭,12
259,강조,11
260,호,11
261,인도,11
262,포함,11
263,실,11
264,선거,11
265,기관,11
266,김관영,11
267,김정숙,11
268,여사,11
269,청원,11
