,단어명,빈도수
0,가상,113
1,화폐,110
2,정부,102
3,한국,96
4,톡톡,81
5,일상,79
6,삼성,72
7,타이어,69
8,인상,69
9,코노,68
10,브리핑,68
11,기업,68
12,금호,64
13,투자,64
14,최저임금,64
15,일자리,62
16,지원,62
17,명,62
18,최대,60
19,김동연,59
20,시장,58
21,금융,57
22,위,56
23,등,55
24,해외,54
25,중,54
26,회장,52
27,경영,51
28,설,51
29,롯데,50
30,금리,49
31,수출,48
32,관세,48
33,사업,47
34,특집,47
35,최고,45
36,제,44
37,사회,44
38,플러스,43
39,것,43
40,더,42
41,산업,42
42,은행,42
43,매각,41
44,채용,41
45,국내,40
46,전자,40
47,작년,40
48,협상,40
49,대출,39
50,출시,39
51,청년,39
52,첫,38
53,김현주,37
54,거래소,37
55,거래,37
56,노조,36
57,혁신,36
58,경제,35
59,차,35
60,외,34
61,업체,34
62,공장,34
63,논란,33
64,농협,33
65,확대,33
66,역대,33
67,안,32
68,증가,32
69,올해,32
70,철강,32
71,부담,31
72,규제,31
73,서비스,31
74,공헌,31
75,비트코인,30
76,군산,30
77,개발,29
78,개최,28
79,직원,28
80,건설,28
81,대책,28
82,추진,27
83,자금,27
84,기술,27
85,취업,26
86,세계,26
87,폐쇄,26
88,개,26
89,임,26
90,서울,26
91,이주열,26
92,은,25
93,미국,25
94,강화,25
95,수,25
96,주택,25
97,위해,24
98,사장,24
99,한미,24
100,브랜드,24
101,비리,24
102,점,24
103,사상,24
104,성장,23
105,카드,23
106,안정,23
107,합의,22
108,개월,22
109,관리,22
110,돌파,22
111,로,22
112,판매,22
113,폭탄,22
114,달,22
115,공정위,22
116,신규,21
117,금감원,21
118,배,21
119,생산,21
120,문제,21
121,진행,21
122,물가,21
123,소득,20
124,협력,20
125,그룹,20
126,값,20
127,전쟁,20
128,전,20
129,글로벌,20
130,무역,20
131,창업,20
132,강남,20
133,가격,20
134,과징금,20
135,부동산,20
136,재건축,19
137,사,19
138,중소기업,19
139,영업,19
140,코스닥,19
141,률,19
142,대기업,18
143,결정,18
144,미래,18
145,선,18
146,가맹,18
147,산,18
148,카카오,18
149,비상,18
150,재,18
151,피해,18
152,수요,18
153,정책,18
154,상승,18
155,중단,18
156,세,17
157,발표,17
158,시행,17
159,공인,17
160,오픈,17
161,블록,17
162,체인,17
163,인수,17
164,감소,17
165,후,17
166,아파트,17
167,일,17
168,신동빈,17
169,연휴,17
170,노사,16
171,현대,16
172,준비,16
173,최저,16
174,의혹,16
175,규모,16
176,이상,16
177,고객,16
178,가장,16
179,주,16
180,총,16
181,임금,16
182,트럼프,16
183,전환,16
184,이건희,16
185,차명계좌,16
186,계좌,16
187,상,15
188,커피,15
189,날,15
190,결제,15
191,가능성,15
192,공개,15
193,세금,15
194,실적,15
195,현대차,15
196,통화,15
197,확인,15
198,직장인,15
199,통해,15
200,중국,15
201,보험,15
202,하나,15
203,대우건설,15
204,평창,15
205,마련,14
206,국제,14
207,현장,14
208,신청,14
209,도,14
210,창,14
211,내,14
212,할인,14
213,플랫폼,14
214,고용,14
215,업계,14
216,가능,14
217,기준,14
218,하락,14
219,부과,14
220,비,14
221,유지,14
222,조사,14
223,투기,14
224,회사,14
225,실명,14
226,전력,14
227,스타,13
228,김상조,13
229,압박,13
230,익,13
231,본부,13
232,대표,13
233,계획,13
234,못,13
235,고발,13
236,광고,13
237,불,13
238,예상,13
239,활성화,13
240,우려,13
241,통상,13
242,줄,13
243,도입,13
244,기대,13
245,속도,13
246,회복,13
247,인사,13
248,추가,13
249,소상,13
250,가계,13
251,세이프,13
252,가드,13
253,분할,13
254,외식,13
255,빚,12
256,상생,12
257,시대,12
258,더블,12
259,회,12
260,본격,12
261,소비,12
262,이벤트,12
263,시,12
264,자율,12
265,현금,12
266,이후,12
267,검토,12
268,진출,12
269,발,12
270,집값,12
271,듯,12
272,법,12
273,자동차,12
274,수입,12
275,안전,12
276,대응,12
277,층,12
278,지역,12
279,주식,12
280,새,12
281,급,12
282,율,12
283,희망,12
284,선정,12
285,사드,12
286,총재,12
287,대상,12
288,때,12
289,소비자,12
290,실업률,12
291,연,12
292,여성,12
293,실시,12
294,확산,12
295,쇼핑,12
296,한파,12
297,센터,11
298,점검,11
299,법정관리,11
300,매출,11
301,시작,11
302,최초,11
303,기,11
304,연속,11
305,자산,11
306,뱅크,11
307,평가,11
308,곳,11
309,다시,11
310,참여,11
311,개정,11
312,과세,11
313,프랜차이즈,11
314,면제,11
315,조선,11
316,타격,11
317,이재용,11
318,공공기관,11
319,액,11
320,개인,11
321,스마트폰,11
322,위기,11
323,보복,11
324,제품,11
325,또,11
326,국가,11
327,국세청,11
328,재정,11
329,금,11
330,추경,11
331,해결,11
332,행사,11
333,우리,11
334,충격,11
335,선물,11
336,회의,11
337,비용,11
338,사용,11
339,지난해,11
340,호반,11
341,새해,11
342,공무원,10
343,채권,10
344,단,10
345,감사,10
346,육박,10
347,시간,10
348,환율,10
349,세트,10
350,계약,10
351,경기,10
352,폐지,10
353,마트,10
354,사실,10
355,노인,10
356,보청기,10
357,및,10
358,집,10
359,아이,10
360,비중,10
361,전국,10
362,건,10
363,여행,10
364,참가,10
365,의,10
366,프리미엄,10
367,적발,10
368,결과,10
369,요청,10
370,상품,10
371,체결,10
372,검,10
373,달러,10
374,용,10
375,네이버,10
376,평창올림픽,10
377,온라인,10
378,평균,10
379,치킨,10
380,홍종학,10
381,사랑,10
382,회생,9
383,개편,9
384,기념,9
385,인하,9
386,종,9
387,베트남,9
388,발전,9
389,책임,9
390,절반,9
391,국민연금,9
392,반도체,9
393,수익,9
394,추천,9
395,개선,9
396,전략,9
397,가동,9
398,기관,9
399,이번,9
400,오늘,9
401,적자,9
402,직,9
403,수수료,9
404,연봉,9
405,급등,9
406,생활,9
407,제공,9
408,사임,9
409,반대,9
410,주행,9
411,사외이사,9
412,필요,9
413,개시,9
414,게임,9
415,장관,9
416,속,9
417,돈,9
418,구,9
419,전달,9
420,캠페인,9
421,필수,9
422,악재,9
423,월,9
424,수급,9
425,증시,9
426,구직,9
427,시세,9
428,나눔,9
429,명절,9
430,보,9
431,유세,9
432,맞이,9
433,감축,9
434,이유,8
435,부회장,8
436,정상화,8
437,증권,8
438,우정,8
439,건강,8
440,박,8
441,협의,8
442,이자,8
443,대형,8
444,테크,8
445,개입,8
446,포스코,8
447,상승세,8
448,일부,8
449,이용,8
450,변신,8
451,효과,8
452,이익,8
453,코인,8
454,부총리,8
455,사고,8
456,현실,8
457,급증,8
458,성공,8
459,국산,8
460,분쟁,8
461,구조조정,8
462,유통,8
463,국민,8
