,단어명,빈도수
0,명,384
1,경찰,354
2,수사,189
3,폭행,188
4,검찰,155
5,혐의,150
6,의혹,147
7,조사,144
8,드루,143
9,킹,143
10,징역,136
11,여성,128
12,재판,120
13,구속,113
14,논란,111
15,중,106
16,살해,100
17,안,99
18,전,97
19,성폭행,95
20,등,92
21,사건,91
22,사망,90
23,조현민,86
24,범,79
25,피해,79
26,댓글,78
27,이명희,78
28,몰카,77
29,불법,76
30,톡톡,75
31,영장,75
32,성추행,75
33,피해자,75
34,직원,71
35,며,71
36,것,70
37,일상,69
38,구속영장,68
39,차,66
40,심,66
41,또,65
42,뉴스,65
43,서울,64
44,한국,64
45,발견,64
46,세월호,64
47,첫,63
48,소환,63
49,법원,62
50,교사,62
51,불,62
52,사고,62
53,대한항공,61
54,교수,60
55,정부,60
56,흉기,60
57,조작,58
58,출석,57
59,검사,57
60,돈,57
61,내,56
62,압수수색,56
63,신청,55
64,후,54
65,확인,54
66,박근혜,53
67,거래,53
68,브리핑,53
69,사회,52
70,추가,52
71,현장,52
72,재,51
73,김경수,51
74,때,51
75,병원,51
76,공개,51
77,못,50
78,체포,50
79,사진,49
80,검거,49
81,부산,49
82,여고생,49
83,더,48
84,무죄,48
85,실종,48
86,개,48
87,제주,47
88,건,47
89,뒤,47
90,위,47
91,날,46
92,남성,46
93,아파트,46
94,실,46
95,공무원,45
96,선고,45
97,한진,45
98,차량,45
99,집단,45
100,광주,45
101,왜,44
102,주민,44
103,개월,44
104,처벌,44
105,제,44
106,학생,44
107,학교,43
108,일,43
109,아이,42
110,사람,42
111,배,42
112,라돈,42
113,기소,42
114,신고,42
115,외,42
116,대통령,41
117,거부,41
118,의원,41
119,후보,41
120,말,40
121,집,40
122,아내,40
123,물,40
124,입건,40
125,기자,39
126,이유,39
127,부인,39
128,화재,39
129,시신,39
130,부상,38
131,인천,38
132,모두,38
133,관련,38
134,기각,38
135,위해,38
136,시민,37
137,회장,37
138,채용,37
139,강진,37
140,남편,37
141,삼성,37
142,곳,37
143,요구,37
144,성폭력,37
145,가족,36
146,간부,36
147,인정,36
148,수,36
149,세,36
150,관리,36
151,특검,35
152,달,35
153,집행유예,35
154,플러스,35
155,고발,35
156,변호사,35
157,경찰관,35
158,최,35
159,추정,35
160,대표,35
161,홍대,35
162,심사,34
163,법,34
164,청구,34
165,도,34
166,국민,34
167,노조,34
168,비,34
169,기사,34
170,미투,34
171,문제,33
172,적발,33
173,안전,33
174,지원,33
175,침대,33
176,살인,33
177,아들,33
178,단체,33
179,조현아,33
180,청년,33
181,모녀,33
182,검,32
183,학원,32
184,김현주,32
185,항소심,32
186,조양호,31
187,미세먼지,31
188,징역형,31
189,시도,31
190,부모,31
191,긴급,31
192,살,31
193,취업,30
194,교육,30
195,협박,30
196,양예원,30
197,국정원,30
198,해,30
199,주장,30
200,검토,30
201,쓰레기,30
202,속,30
203,인사,30
204,대학,29
205,채,29
206,유포,29
207,주,29
208,소송,29
209,확대,29
210,술,29
211,선거,29
212,비리,29
213,추락,28
214,녀,28
215,송치,28
216,범죄,28
217,관,28
218,앞,28
219,근로자,28
220,엄마,28
221,고용,28
222,난민,27
223,최대,27
224,촬영,27
225,달라,27
226,유출,27
227,딸,27
228,제자,27
229,장애인,27
230,점,27
231,영상,27
232,강제,27
233,피의자,27
234,청원,27
235,허위,27
236,뇌물,26
237,이번,26
238,책임,26
239,우리,26
240,듯,26
241,조폭,26
242,건물,26
243,의견,26
244,사과,26
245,김,25
246,해외,25
247,어린이집,25
248,사업,25
249,폭발,25
250,수거,25
251,선,25
252,집유,25
253,끝,25
254,실형,25
255,대란,25
256,업체,25
257,횡령,25
258,이사장,25
259,임금,24
260,법무,24
261,사실,24
262,확정,24
263,대응,24
264,충돌,24
265,대법,24
266,갈등,24
267,성희롱,24
268,징계,24
269,대법원,24
270,누드모델,24
271,물벼락,24
272,증평,24
273,최저임금,23
274,사장,23
275,가능성,23
276,불구속,23
277,결과,23
278,대상,23
279,사기,23
280,구조,23
281,시위,23
282,대구,23
283,수색,23
284,초등생,23
285,판사,23
286,상습,23
287,반대,22
288,개선,22
289,다른,22
290,준비,22
291,두,22
292,손,22
293,전국,22
294,합의,22
295,발표,22
296,무단,22
297,양승태,22
298,시설,22
299,벌금,22
300,증거,22
301,환자,22
302,절도,22
303,지진,22
304,세상,22
305,촉구,22
306,공사,22
307,착수,22
308,동거,21
309,국내,21
310,신생아,21
311,오늘,21
312,공장,21
313,알,21
314,택시,21
315,자녀,21
316,의사,21
317,층,21
318,미수,21
319,노인,21
320,급,21
321,나,21
322,청탁,21
323,이슈,21
324,진상,21
325,버스,21
326,노동자,20
327,치료,20
328,도주,20
329,제한,20
330,경찰청장,20
331,줄,20
332,사,20
333,총장,20
334,교통사고,20
335,다시,20
336,근무,20
337,확보,20
338,용의자,20
339,사용,20
340,해결,20
341,성관계,20
342,조정,20
343,규명,20
344,지휘,20
345,도우미,20
346,택배,20
347,가해자,20
348,투표,20
349,청와대,20
350,폐지,19
351,기간,19
352,길,19
353,서울시,19
354,센터,19
355,법정,19
356,간,19
357,로,19
358,김부선,19
359,업무,19
360,정보,19
361,거리,19
362,벌금형,19
363,휴가,19
364,직장,19
365,위반,19
366,고소,19
367,생,19
368,진행,19
369,시작,19
370,참사,19
371,구형,19
372,이명박,19
373,나선,19
374,대학생,19
375,북한,19
376,노동,19
377,범행,19
378,판결,19
379,운동,19
380,담배,19
381,초,19
382,집회,18
383,법무부,18
384,출신,18
385,청소년,18
386,설치,18
387,부부,18
388,출동,18
389,시험,18
390,요청,18
391,목사,18
392,때문,18
393,강남,18
394,의식,18
395,동료,18
396,국회,18
397,음주,18
398,남북,18
399,용,18
400,의료,18
401,부정,18
402,욕설,18
403,폭로,18
404,과태료,18
405,사법부,18
406,김명수,18
407,안희정,18
408,번,18
409,그,18
410,적용,18
411,유죄,18
412,강원랜드,18
413,확산,17
414,폭력,17
415,차례,17
416,법인,17
417,화장실,17
418,희망,17
419,아동,17
420,부,17
421,현직,17
422,회사,17
423,서울대,17
424,마약,17
425,고교,17
426,알바,17
427,관계,17
428,의심,17
429,입,17
430,흡연,17
431,성매매,17
432,소방관,17
433,일부,17
434,승무원,17
435,인질,17
436,여동생,17
437,울산,16
438,자살,16
439,운전자,16
440,삶,16
441,개최,16
442,의,16
443,증가,16
444,평가,16
445,결정,16
446,남,16
447,이틀,16
448,주의,16
449,학대,16
450,호,16
451,고속도로,16
452,중단,16
453,이상,16
454,어디,16
455,무기징역,16
456,정치,16
457,운전,16
458,문건,16
459,외국인,16
460,이,16
461,일당,16
462,처리,16
463,발생,16
464,죄송,16
465,여친,16
466,비판,16
467,마리,16
468,가능,16
469,본격,16
470,해고,16
471,여명,16
472,반발,16
473,마을,16
474,모델,16
475,재활용,16
476,가스,16
477,로스쿨,16
478,방배,16
479,예고,15
480,추진,15
481,노출,15
482,우려,15
483,조상우,15
484,필요,15
485,아기,15
486,추행,15
487,침해,15
488,추적,15
489,판단,15
490,시간,15
491,도로,15
492,국가,15
493,비상,15
494,수당,15
495,건강,15
496,중국,15
497,사찰,15
498,판매,15
499,복지,15
500,장관,15
501,비닐,15
502,부당,15
503,뿐,15
504,수사권,15
505,결론,15
506,사태,15
507,속도,15
508,합격,15
509,가정,15
510,방치,15
511,개혁,15
512,방화,15
513,진,15
514,김성태,15
515,방,15
516,시민단체,15
517,라며,15
518,파문,15
519,하나,15
520,가장,15
521,가사,15
522,공모,15
523,구급대원,15
524,최고,15
525,본사,15
526,사랑,15
527,보좌,15
528,대책,14
529,강화,14
530,서비스,14
531,넥센,14
532,인권,14
533,평균,14
534,헌재,14
535,붕괴,14
536,석방,14
537,피,14
538,성범죄,14
539,호텔,14
540,강요,14
541,과,14
542,전두환,14
543,개입,14
544,직접,14
545,기준,14
546,기관,14
547,이용,14
548,단,14
549,동원,14
550,특수,14
551,여부,14
552,활동,14
553,곳곳,14
554,항,14
555,대피,14
556,얼굴,14
557,인력,14
558,하루,14
559,대진,14
560,파일,14
561,고의,14
562,의인,14
563,전면,14
564,사단,14
565,경고,14
566,변호인,14
567,루킹,14
568,사드,14
569,목동,14
570,책,13
571,지급,13
572,꽃,13
573,사법,13
574,만취,13
575,예멘,13
576,준,13
577,박동원,13
578,출산,13
579,최초,13
580,빼,13
581,침입,13
582,새,13
583,금품,13
584,가로,13
585,예비,13
586,및,13
587,보고,13
588,중국인,13
589,전쟁,13
590,지하철,13
591,배상,13
592,귀국,13
593,문자,13
594,보이스피싱,13
595,부실,13
596,공작,13
597,올해,13
598,지역,13
599,불개미,13
600,헬기,13
601,국정,13
602,농단,13
603,이웃,13
604,전자,13
605,정황,13
606,동영상,13
607,태블릿,13
608,문무,13
609,행사,13
610,구치소,13
611,눈,13
612,절반,13
613,추돌,13
614,누리꾼,13
615,민주당,13
616,조치,13
617,지시,13
618,마음,13
619,무더기,13
620,철거,13
621,합동,13
622,방해,13
623,광고,13
624,사퇴,13
625,잡고,13
626,공항,13
627,원장,13
628,항소,13
629,누드,13
630,눈물,13
631,출판사,13
632,취소,12
633,소환조사,12
634,도심,12
635,교육부,12
636,미국,12
637,할머니,12
638,대회,12
639,주인,12
640,자,12
641,마지막,12
642,직장인,12
643,여학생,12
644,양심,12
645,자유,12
646,누가,12
647,병역,12
648,호소,12
649,단속,12
650,연기,12
651,병,12
652,투입,12
653,파면,12
654,진화,12
655,보수,12
656,작업,12
657,문화,12
658,거짓,12
659,진실,12
660,애,12
661,보도,12
662,땐,12
663,발언,12
664,시,12
665,건설,12
666,원인,12
667,중상,12
668,규모,12
669,탓,12
670,과거,12
671,입원,12
672,위험,12
673,위협,12
674,유명,12
675,김동환,12
676,드론,12
677,당신,12
678,불만,12
679,공지영,12
680,출국,12
681,도박,12
682,식약처,12
683,생각,12
684,명예훼손,12
685,친구,12
686,폭언,12
687,설,12
688,필리핀,12
689,희생,12
690,적,12
691,고교생,12
692,패소,12
693,문,12
694,세계,12
695,지방선거,12
