,단어명,빈도수
0,명,412
1,경찰,324
2,수사,191
3,의혹,166
4,여성,157
5,징역,142
6,폭염,139
7,특검,136
8,논란,132
9,등,126
10,구속,121
11,서울,112
12,사망,112
13,검찰,111
14,중,110
15,폭행,110
16,혐의,108
17,전,102
18,조사,102
19,드루,97
20,킹,97
21,김경수,96
22,심,94
23,제주,92
24,피해,92
25,불법,91
26,재판,91
27,발견,90
28,안,90
29,사건,90
30,교사,90
31,차,89
32,불,86
33,또,81
34,무죄,81
35,사고,79
36,영장,76
37,환자,75
38,압수수색,74
39,직원,73
40,개,73
41,메르스,69
42,이재명,68
43,난민,68
44,김부선,66
45,몰카,65
46,검거,65
47,아파트,65
48,왜,65
49,화재,63
50,못,63
51,소환,62
52,속,62
53,후,61
54,한국,61
55,살해,61
56,안희정,61
57,법원,60
58,사기,60
59,추석,60
60,도,60
61,신고,59
62,것,58
63,차량,58
64,성추행,58
65,출석,58
66,살인,57
67,주민,56
68,성폭행,56
69,실종,56
70,배,54
71,범,54
72,개월,53
73,처벌,53
74,적발,53
75,첫,53
76,문제,53
77,현장,52
78,업체,52
79,유출,52
80,말,51
81,국민,50
82,인천,50
83,변호사,50
84,채,50
85,태풍,49
86,학교,49
87,병원,49
88,워마드,49
89,비,48
90,범죄,48
91,취업,48
92,발생,48
93,남성,48
94,공무원,48
95,남편,48
96,추가,48
97,물,48
98,건,47
99,학생,47
100,구속영장,47
101,재,46
102,내,46
103,의원,46
104,위,46
105,의심,46
106,곳,46
107,공개,46
108,선,45
109,검사,45
110,정부,45
111,법,45
112,살,44
113,유치원,44
114,며,44
115,아들,43
116,제,43
117,때,43
118,돈,43
119,부산,43
120,선고,42
121,거래,42
122,안전,42
123,집,42
124,흉기,42
125,확대,41
126,판사,41
127,수,41
128,기각,41
129,회장,41
130,여고생,40
131,요구,40
132,노조,40
133,어린이집,40
134,일상,39
135,더,39
136,피해자,39
137,대구,39
138,세,38
139,뉴스,38
140,조작,38
141,촬영,38
142,뒤,38
143,실형,37
144,징역형,37
145,청원,37
146,사회,37
147,딸,37
148,영상,37
149,지원,37
150,확인,37
151,혐오,37
152,시신,37
153,사진,36
154,심사,36
155,아이,36
156,입건,36
157,김,35
158,체포,35
159,반대,35
160,대표,35
161,판결,35
162,최고,34
163,사업,34
164,그룹,34
165,구형,34
166,광주,33
167,기자,33
168,집회,33
169,대상,33
170,결정,33
171,사람,33
172,해외,33
173,단체,33
174,주차,33
175,우려,32
176,톡톡,32
177,착수,32
178,판매,32
179,구조,32
180,투자,32
181,공항,32
182,댓글,32
183,부인,32
184,시민,31
185,교수,31
186,추정,31
187,부상,31
188,나,31
189,알,31
190,추진,31
191,해,31
192,집행유예,31
193,허위,31
194,피의자,31
195,층,31
196,집단,31
197,사장,31
198,거부,31
199,중단,31
200,보물,31
201,운영,30
202,버스,30
203,삼성,30
204,브리핑,30
205,대응,30
206,앞,30
207,조양호,30
208,호,30
209,김지은,30
210,운전자,29
211,양승태,29
212,강제,29
213,다시,29
214,시위,29
215,달,29
216,도로,29
217,추락,29
218,식중독,29
219,만취,29
220,의사,29
221,교육,29
222,관련,29
