,단어명,빈도수
446,경쟁,8
447,연봉,8
448,종합,8
449,손,8
450,폭탄,8
451,경매,8
452,준비,8
453,에너지,8
454,현실,8
455,스타,8
456,론,8
457,희망,8
458,확인,8
459,로또,8
460,기록,8
461,감소,8
462,특별,8
463,선택,8
464,북미,8
465,기념,8
466,퇴직,8
467,해,8
468,인사,8
469,이번,8
470,재개,8
471,장관,8
472,분식회계,8
473,불,8
474,손해,8
475,홈쇼핑,8
476,공급,8
477,하나은행,8
478,장애,8
479,선,8
480,전환,8
481,개성,8
482,모비스,8
483,압박,8
484,구광모,7
485,최악,7
486,탄력,7
487,세대,7
488,부진,7
489,예산,7
490,전체,7
491,시간,7
492,등기,7
493,계속,7
494,정말,7
495,협회,7
496,적극,7
497,고발,7
498,리뉴얼,7
499,발표,7
500,출석,7
501,방문,7
502,종,7
503,거래소,7
504,수협,7
505,민간,7
506,부,7
507,온라인,7
508,소송,7
509,활용,7
510,교육,7
511,시설,7
512,단속,7
513,일부,7
514,스포츠,7
515,전세,7
516,결제,7
517,워,7
518,회의,7
519,프리미엄,7
520,철회,7
521,구,7
522,적용,7
523,내년,7
524,편의점,7
525,해킹,7
526,보,7
527,유세,7
528,공모,7
529,전격,7
530,가정,7
531,추천,7
532,오류,7
533,절반,7
534,업무,7
535,디지털,7
536,공항,7
537,자율,7
538,반발,7
539,변경,7
540,정보,7
541,세관,7
542,회사,7
543,마트,7
544,설비,7
545,월급,7
546,물질,7
547,조치,7
548,라돈,7
549,이용,7
550,여파,7
551,자금,7
552,회담,7
553,판단,7
554,여부,7
555,당첨,7
556,진화,7
557,활성화,7
558,꿈,7
559,캠페인,7
560,국민,7
561,다시,7
562,감리,7
563,댓글,7
564,공기업,7
565,인정,7
566,제도,7
567,안정,7
568,검,7
569,신고,7
570,신혼부부,7
571,사퇴,7
572,금호,7
573,공간,7
574,잠정,7
575,사랑,6
576,먹튀,6
577,체인,6
578,면허,6
579,자리,6
580,베트남,6
581,발,6
582,인터넷,6
583,끝,6
584,일본,6
585,담합,6
586,아이,6
587,애플,6
588,증시,6
589,여행,6
590,신기록,6
591,긴장,6
592,보금자리,6
593,쇼핑,6
594,성과,6
595,수준,6
596,인하,6
597,집값,6
598,성공,6
599,구축,6
600,산업혁명,6
601,내부,6
602,단신,6
603,중심,6
604,실업자,6
605,일감,6
606,칼,6
607,월드컵,6
608,누가,6
609,기반,6
610,차량,6
611,부문,6
612,불가피,6
613,비판,6
614,탐색,6
615,유럽,6
616,흑자,6
617,이자,6
