,단어명,빈도수
0,대통령,303
1,한국,241
2,킹,196
3,드루,195
4,후보,184
5,홍준표,147
6,특검,136
7,것,125
8,민주,116
9,민주당,115
10,국회,113
11,선거,104
12,이재명,102
13,김성태,99
14,안철수,92
15,평화,92
16,지방선거,91
17,정부,87
18,김경수,86
19,김기식,83
20,투표,81
21,회담,79
22,댓글,78
23,의원,77
24,수사,77
25,박원순,76
26,문,75
27,미래,74
28,전,73
29,여야,70
30,박근혜,67
31,국민,66
32,선언,64
33,북미,64
34,남북,62
35,안,61
36,명,61
37,김문수,59
38,총리,56
39,논란,55
40,김정은,55
41,검찰,54
42,조작,54
43,율,54
44,사퇴,53
45,선,53
46,의혹,52
47,출마,52
48,정상회담,51
49,정치,50
50,경찰,49
51,당,48
52,재판,47
53,첫,47
54,후,45
55,남북정상회담,44
56,등,43
57,보수,42
58,대표,42
59,위,41
60,지사,41
61,문재인,39
62,추미애,39
63,곳,39
64,서울,39
65,경남,38
66,트럼프,37
67,서울시장,37
68,사전투표,37
69,문제,36
70,국정,36
71,요구,36
72,일화,36
73,사건,36
74,개헌,36
75,추경,36
76,논의,35
77,대선,35
78,처리,35
79,때,34
80,한반도,34
81,당선,34
82,선관위,34
83,판문점,34
84,못,33
85,경제,33
86,더,33
87,조사,33
88,고발,33
89,불,33
90,원희룡,33
91,김부선,32
92,협상,32
93,내,31
94,차,31
95,정권,30
96,발언,30
97,청와대,29
98,합의,29
99,수,29
100,중,29
101,지지율,29
102,사실,29
103,표,29
104,공개,28
105,심,28
106,폭행,28
107,비핵화,28
108,시장,28
109,지원,28
110,성공,28
111,단식,28
112,재,27
113,정책,27
114,스캔들,27
115,결과,27
116,일자리,27
117,국회의원,27
118,공천,27
119,공약,27
120,징역,27
121,경선,27
122,제,26
123,회,26
124,시작,25
125,정의,25
126,유승민,25
127,실,25
128,오후,25
129,제주,25
130,남경필,25
131,최,25
132,또,25
133,정상,25
134,일,24
135,역사,24
136,당선자,24
137,중단,23
138,의,23
139,책임,23
140,우리,23
141,정상화,23
142,출장,23
143,야당,22
144,원내대표,22
145,발표,22
146,배,22
147,인사,22
148,말,22
149,듯,22
150,국정원,22
151,뇌물,22
152,혐의,22
153,계속,21
154,로,21
155,돈,21
156,체포,21
157,광주,21
158,여론조사,21
159,전략,21
160,본회의,21
161,안보,20
162,개월,20
163,위원장,20
164,입장,20
