,사회단어
4280,"('거장', 4)"
4281,"('메시지', 4)"
4282,"('번역', 4)"
4283,"('헌법불합치', 4)"
4284,"('양호', 4)"
4285,"('신드롬', 4)"
4286,"('국민훈장', 4)"
4287,"('당선자', 4)"
4288,"('하드디스크', 4)"
4289,"('산모', 4)"
4290,"('지드래곤', 4)"
4291,"('분열', 4)"
4292,"('쿵', 4)"
4293,"('기후변화', 4)"
4294,"('백골', 4)"
4295,"('방서', 4)"
4296,"('고인', 4)"
4297,"('독점', 4)"
4298,"('교', 4)"
4299,"('유흥업소', 4)"
4300,"('척', 4)"
4301,"('조희진', 4)"
4302,"('용서', 4)"
4303,"('김일성', 4)"
4304,"('이식', 4)"
4305,"('박상', 4)"
4306,"('달성', 4)"
4307,"('어찌', 4)"
4308,"('파티', 4)"
4309,"('관저', 4)"
4310,"('실세', 4)"
4311,"('되레', 4)"
4312,"('공공', 4)"
4313,"('의견서', 4)"
4314,"('상의', 4)"
4315,"('탈의', 4)"
4316,"('정혁', 4)"
4317,"('토론', 4)"
4318,"('이종명', 4)"
4319,"('맞고소', 4)"
4320,"('베이', 4)"
4321,"('제지', 4)"
4322,"('토지', 4)"
4323,"('먼지', 4)"
4324,"('키스', 4)"
4325,"('사무장', 4)"
4326,"('김장수', 4)"
4327,"('동문', 4)"
4328,"('출입국', 4)"
4329,"('박유천', 4)"
4330,"('갈수록', 4)"
4331,"('가석방', 4)"
4332,"('귀순', 4)"
4333,"('아이언맨', 4)"
4334,"('한겨레', 4)"
4335,"('부의', 4)"
4336,"('두피', 4)"
4337,"('개별', 4)"
4338,"('중금속', 4)"
4339,"('뇌졸중', 4)"
4340,"('듯이', 4)"
4341,"('반달곰', 4)"
4342,"('면회', 4)"
4343,"('고독', 4)"
4344,"('소각', 4)"
4345,"('김성호', 4)"
4346,"('청담동', 4)"
4347,"('물벼락', 4)"
4348,"('자원봉사자', 4)"
4349,"('부모님', 4)"
4350,"('인턴', 4)"
4351,"('열전', 4)"
4352,"('농약', 4)"
4353,"('실과', 4)"
4354,"('낭만', 4)"
4355,"('극적', 4)"
4356,"('고성', 4)"
4357,"('실버', 4)"
4358,"('더미', 4)"
4359,"('적도', 4)"
4360,"('열기구', 4)"
4361,"('우리은행', 4)"
4362,"('신안', 4)"
4363,"('메일', 4)"
4364,"('칠곡', 4)"
4365,"('옷차림', 4)"
4366,"('윤이상', 4)"
4367,"('방송통신', 4)"
4368,"('방문진', 4)"
4369,"('연출가', 4)"
4370,"('대설주의보', 4)"
4371,"('제철소', 4)"
4372,"('위드유', 4)"
4373,"('헌법재판소', 4)"
4374,"('안마', 4)"
4375,"('주거지', 4)"
4376,"('오태석', 4)"
4377,"('새해', 4)"
4378,"('성화', 4)"
4379,"('통가', 4)"
4380,"('보청기', 4)"
4381,"('장다사로', 4)"
4382,"('비명', 4)"
4383,"('정승', 4)"
4384,"('불광동', 4)"
4385,"('비상조치', 4)"
4386,"('젝키', 3)"
4387,"('법제처', 3)"
4388,"('시동', 3)"
4389,"('농어촌', 3)"
4390,"('전형', 3)"
4391,"('섭', 3)"
4392,"('정답', 3)"
4393,"('지청', 3)"
4394,"('계기', 3)"
4395,"('스모그', 3)"
4396,"('역설', 3)"
4397,"('연내', 3)"
4398,"('존경', 3)"
4399,"('대필', 3)"
4400,"('별장', 3)"
4401,"('굴욕', 3)"
4402,"('심장', 3)"
4403,"('부서', 3)"
4404,"('표창', 3)"
4405,"('오라', 3)"
4406,"('일시', 3)"
4407,"('내신', 3)"
4408,"('조경', 3)"
4409,"('경종', 3)"
4410,"('질병', 3)"
4411,"('술집', 3)"
4412,"('중장', 3)"
4413,"('반론', 3)"
4414,"('작곡', 3)"
4415,"('호킹', 3)"
4416,"('강철', 3)"
4417,"('어', 3)"
4418,"('만원', 3)"
4419,"('촉발', 3)"
4420,"('일용직', 3)"
4421,"('가득', 3)"
4422,"('백신', 3)"
4423,"('달력', 3)"
4424,"('박헌영', 3)"
4425,"('화재원인', 3)"
4426,"('진행자', 3)"
4427,"('부끄러움', 3)"
4428,"('하원', 3)"
4429,"('내겐', 3)"
4430,"('재고', 3)"
4431,"('청각장애', 3)"
4432,"('시나리오', 3)"
4433,"('가출', 3)"
4434,"('카톡', 3)"
4435,"('기질', 3)"
4436,"('농림축산식품부', 3)"
4437,"('이배', 3)"
4438,"('보름', 3)"
4439,"('절규', 3)"
4440,"('앞장', 3)"
4441,"('정숙', 3)"
4442,"('울분', 3)"
4443,"('자퇴', 3)"
4444,"('압송', 3)"
4445,"('대학교수', 3)"
4446,"('행적', 3)"
4447,"('약자', 3)"
4448,"('사망설', 3)"
4449,"('돔', 3)"
4450,"('관중', 3)"
4451,"('언덕', 3)"
4452,"('금박', 3)"
4453,"('탄식', 3)"
4454,"('상관', 3)"
4455,"('조개', 3)"
4456,"('따릉', 3)"
4457,"('페미', 3)"
4458,"('포로', 3)"
4459,"('십년', 3)"
4460,"('익사', 3)"
4461,"('꽃뱀', 3)"
4462,"('침범', 3)"
4463,"('당부', 3)"
4464,"('적법', 3)"
4465,"('낙인', 3)"
4466,"('한인타운', 3)"
4467,"('이종석', 3)"
4468,"('남양주', 3)"
4469,"('대피소', 3)"
4470,"('증서', 3)"
4471,"('살기', 3)"
4472,"('헤엄', 3)"
4473,"('수산물', 3)"
4474,"('단전', 3)"
4475,"('단수', 3)"
4476,"('김병준', 3)"
4477,"('유승민', 3)"
4478,"('전말', 3)"
4479,"('개조', 3)"
4480,"('신원', 3)"
4481,"('부순', 3)"
4482,"('고급', 3)"
4483,"('차만', 3)"
4484,"('수시', 3)"
4485,"('흉내', 3)"
4486,"('평론가', 3)"
4487,"('아우성', 3)"
4488,"('타이', 3)"
4489,"('병무청', 3)"
4490,"('쪽지', 3)"
4491,"('신음', 3)"
4492,"('영화배우', 3)"
4493,"('짝', 3)"
4494,"('문의', 3)"
4495,"('상추', 3)"
4496,"('데이', 3)"
4497,"('앙코르', 3)"
4498,"('협업', 3)"
4499,"('멘토', 3)"
4500,"('차선', 3)"
4501,"('취', 3)"
4502,"('김미화', 3)"
4503,"('김제동', 3)"
4504,"('마비', 3)"
4505,"('김병지', 3)"
4506,"('얼마', 3)"
4507,"('논설', 3)"
4508,"('수단', 3)"
4509,"('도관', 3)"
4510,"('조속', 3)"
4511,"('설민석', 3)"
4512,"('입시', 3)"
4513,"('메', 3)"
4514,"('서서히', 3)"
4515,"('오바마', 3)"
4516,"('신한지주', 3)"
4517,"('이강인', 3)"
4518,"('워싱턴', 3)"
4519,"('회사원', 3)"
4520,"('관행', 3)"
4521,"('벤츠', 3)"
4522,"('식민', 3)"
4523,"('지배', 3)"
4524,"('주사파', 3)"
4525,"('손길', 3)"
4526,"('구단주', 3)"
4527,"('애도', 3)"
4528,"('갑질', 3)"
4529,"('환경문제', 3)"
4530,"('대감', 3)"
4531,"('생기', 3)"
4532,"('영화제', 3)"
4533,"('학폭', 3)"
4534,"('특강', 3)"
4535,"('체감', 3)"
4536,"('초겨울', 3)"
4537,"('시연', 3)"
4538,"('심근경색', 3)"
4539,"('려', 3)"
4540,"('학기', 3)"
4541,"('중간고사', 3)"
4542,"('사필귀정', 3)"
4543,"('표시', 3)"
4544,"('봉사활동', 3)"
4545,"('피고', 3)"
4546,"('발인', 3)"
4547,"('회피', 3)"
4548,"('우박', 3)"
4549,"('수의', 3)"
4550,"('식물', 3)"
4551,"('사기꾼', 3)"
4552,"('연기자', 3)"
4553,"('임창용', 3)"
4554,"('조명', 3)"
4555,"('냄새', 3)"
4556,"('백지선', 3)"
4557,"('최윤희', 3)"
4558,"('손녀', 3)"
4559,"('이승우', 3)"
4560,"('안녕', 3)"
4561,"('상표권', 3)"
4562,"('찬반', 3)"
4563,"('피살', 3)"
4564,"('음식점', 3)"
4565,"('소신', 3)"
4566,"('어려움', 3)"
4567,"('주니', 3)"
4568,"('전준', 3)"
4569,"('의협', 3)"
4570,"('홈플러스', 3)"
4571,"('보안요원', 3)"
4572,"('계약해지', 3)"
4573,"('연고', 3)"
4574,"('정신과', 3)"
4575,"('정운', 3)"
4576,"('저리', 3)"
4577,"('남아공', 3)"
4578,"('아나운서', 3)"
4579,"('금강산', 3)"
4580,"('방역', 3)"
4581,"('사회주의', 3)"
4582,"('투명', 3)"
4583,"('회계', 3)"
4584,"('소풍', 3)"
4585,"('탐지기', 3)"
4586,"('염문', 3)"
4587,"('비구름', 3)"
4588,"('햇빛', 3)"
4589,"('백종원', 3)"
4590,"('황교익', 3)"
4591,"('의뢰인', 3)"
4592,"('유진', 3)"
4593,"('개월새', 3)"
4594,"('공기업', 3)"
4595,"('성과급', 3)"
4596,"('김성', 3)"
4597,"('교황', 3)"
4598,"('예수', 3)"
4599,"('동탄', 3)"
4600,"('수리', 3)"
4601,"('서부', 3)"
4602,"('연재', 3)"
4603,"('빈틈', 3)"
4604,"('와인', 3)"
4605,"('분양', 3)"
4606,"('로드', 3)"
4607,"('몸값', 3)"
4608,"('찾기', 3)"
4609,"('반기문', 3)"
4610,"('인성', 3)"
4611,"('사나이', 3)"
4612,"('반미', 3)"
4613,"('선체', 3)"
4614,"('본질', 3)"
4615,"('수뇌부', 3)"
4616,"('장모', 3)"
4617,"('김철', 3)"
4618,"('밴드', 3)"
4619,"('위상', 3)"
4620,"('여파', 3)"
4621,"('약화', 3)"
4622,"('구의역', 3)"
4623,"('수만', 3)"
4624,"('조정석', 3)"
4625,"('장면', 3)"
4626,"('민생', 3)"
4627,"('양성', 3)"
4628,"('연령', 3)"
4629,"('환희', 3)"
4630,"('옥살이', 3)"
4631,"('생리대', 3)"
4632,"('데이터', 3)"
4633,"('강의실', 3)"
4634,"('폴', 3)"
4635,"('위촉', 3)"
4636,"('배후', 3)"
4637,"('별난', 3)"
4638,"('회당', 3)"
4639,"('사격', 3)"
4640,"('전액', 3)"
4641,"('이재환', 3)"
4642,"('파워', 3)"
4643,"('캐스트', 3)"
4644,"('스타벅스', 3)"
4645,"('핑크', 3)"
4646,"('방사선', 3)"
4647,"('전문의', 3)"
4648,"('스켈레톤', 3)"
4649,"('이영희', 3)"
4650,"('윤수', 3)"
4651,"('후퇴', 3)"
4652,"('트위터', 3)"
4653,"('교비', 3)"
4654,"('용돈', 3)"
4655,"('개국', 3)"
4656,"('레이저', 3)"
4657,"('출처', 3)"
4658,"('황금', 3)"
4659,"('가려진', 3)"
4660,"('단위', 3)"
4661,"('아르바이트', 3)"
4662,"('왕따', 3)"
4663,"('승자', 3)"
4664,"('칩', 3)"
4665,"('보이지', 3)"
4666,"('교훈', 3)"
4667,"('응급환자', 3)"
4668,"('행정안전부', 3)"
4669,"('대륙', 3)"
4670,"('국방', 3)"
4671,"('오승환', 3)"
4672,"('팝콘', 3)"
4673,"('회유', 3)"
4674,"('취약', 3)"
4675,"('영애', 3)"
4676,"('상해죄', 3)"
4677,"('짝퉁', 3)"
4678,"('수정', 3)"
4679,"('소홀', 3)"
4680,"('횡단보도', 3)"
4681,"('다자', 3)"
4682,"('엔지니어', 3)"
4683,"('산림', 3)"
4684,"('원불교', 3)"
4685,"('투어', 3)"
4686,"('불똥', 3)"
4687,"('서강대', 3)"
4688,"('여왕개미', 3)"
4689,"('용퇴', 3)"
4690,"('전개', 3)"
4691,"('보완', 3)"
4692,"('가위', 3)"
4693,"('야근', 3)"
4694,"('패러디', 3)"
4695,"('크기', 3)"
4696,"('여장', 3)"
4697,"('범칙', 3)"
4698,"('이창명', 3)"
4699,"('해제', 3)"
4700,"('먹튀', 3)"
4701,"('감지', 3)"
4702,"('주한', 3)"
4703,"('조건', 3)"
4704,"('워드', 3)"
4705,"('검색', 3)"
4706,"('상장', 3)"
4707,"('매너', 3)"
4708,"('중재', 3)"
4709,"('잠실', 3)"
4710,"('차도', 3)"
4711,"('예은', 3)"
4712,"('개회', 3)"
4713,"('정신질환', 3)"
4714,"('곤란', 3)"
4715,"('담벼락', 3)"
4716,"('만큼', 3)"
4717,"('수상작', 3)"
4718,"('일산', 3)"
4719,"('아산재단', 3)"
4720,"('소유', 3)"
4721,"('길목', 3)"
4722,"('슈퍼', 3)"
4723,"('전송', 3)"
4724,"('정계', 3)"
4725,"('이력', 3)"
4726,"('전철', 3)"
4727,"('비법', 3)"
4728,"('연일', 3)"
4729,"('마포', 3)"
4730,"('권사', 3)"
4731,"('성북구', 3)"
4732,"('자락', 3)"
4733,"('털', 3)"
4734,"('박람회', 3)"
4735,"('권위자', 3)"
4736,"('김상환', 3)"
4737,"('염수정', 3)"
4738,"('쓰나미', 3)"
4739,"('당사', 3)"
4740,"('솜방망이', 3)"
4741,"('가닥', 3)"
4742,"('해산', 3)"
4743,"('설득', 3)"
4744,"('구파발', 3)"
4745,"('타운', 3)"
4746,"('타르', 3)"
4747,"('시급', 3)"
4748,"('암수', 3)"
4749,"('신규', 3)"
4750,"('조세', 3)"
4751,"('산업혁명', 3)"
4752,"('자율', 3)"
4753,"('여러', 3)"
4754,"('경쟁력', 3)"
4755,"('어벤져스', 3)"
4756,"('전관', 3)"
4757,"('품질', 3)"
4758,"('급성', 3)"
4759,"('에코', 3)"
4760,"('핀란드', 3)"
4761,"('빌라', 3)"
4762,"('주선', 3)"
4763,"('관광버스', 3)"
4764,"('환불', 3)"
4765,"('이준서', 3)"
4766,"('감방', 3)"
4767,"('갈이', 3)"
4768,"('무허가', 3)"
4769,"('소재', 3)"
4770,"('추신수', 3)"
4771,"('종근당', 3)"
4772,"('홍익대', 3)"
4773,"('류샤', 3)"
4774,"('방송사', 3)"
4775,"('우수', 3)"
4776,"('급발진', 3)"
4777,"('고혈압', 3)"
4778,"('보훈', 3)"
4779,"('난자', 3)"
4780,"('가요', 3)"
4781,"('임산부', 3)"
4782,"('기쁨', 3)"
4783,"('불공정', 3)"
4784,"('미흡', 3)"
4785,"('국도', 3)"
4786,"('재수감', 3)"
4787,"('현아', 3)"
4788,"('한가위', 3)"
4789,"('달맞이', 3)"
4790,"('성묘', 3)"
4791,"('평소', 3)"
4792,"('불황', 3)"
4793,"('거북이', 3)"
4794,"('다발', 3)"
4795,"('석유', 3)"
4796,"('라운드', 3)"
4797,"('선상', 3)"
4798,"('총파업', 3)"
4799,"('좌', 3)"
4800,"('홍천', 3)"
4801,"('첨단', 3)"
4802,"('청정', 3)"
4803,"('희귀', 3)"
4804,"('희수', 3)"
4805,"('배려', 3)"
4806,"('본부장', 3)"
4807,"('팬미팅', 3)"
4808,"('국립극장', 3)"
4809,"('유학생', 3)"
4810,"('맞이', 3)"
4811,"('립', 3)"
4812,"('유학', 3)"
4813,"('불타', 3)"
4814,"('백두산', 3)"
4815,"('나중', 3)"
4816,"('노병', 3)"
4817,"('국기', 3)"
4818,"('유언', 3)"
4819,"('손발', 3)"
4820,"('인체', 3)"
4821,"('머스크', 3)"
4822,"('합병', 3)"
4823,"('농민', 3)"
4824,"('여분', 3)"
4825,"('이용섭', 3)"
4826,"('황당', 3)"
4827,"('재차', 3)"
4828,"('부두', 3)"
4829,"('효', 3)"
4830,"('스토킹', 3)"
4831,"('마크', 3)"
4832,"('집단소송', 3)"
4833,"('상반기', 3)"
4834,"('웃음', 3)"
4835,"('반영', 3)"
4836,"('태권', 3)"
4837,"('이아름', 3)"
4838,"('출전', 3)"
4839,"('전기충격기', 3)"
4840,"('불가능', 3)"
4841,"('여혐', 3)"
4842,"('연예계', 3)"
4843,"('아키', 3)"
4844,"('미정', 3)"
4845,"('환승', 3)"
4846,"('홍보물', 3)"
4847,"('살충제', 3)"
4848,"('킥', 3)"
4849,"('보드', 3)"
4850,"('마구', 3)"
4851,"('입수', 3)"
4852,"('고깃집', 3)"
4853,"('주병', 3)"
4854,"('연애', 3)"
4855,"('쌍방', 3)"
4856,"('교육자', 3)"
4857,"('제작자', 3)"
4858,"('수백', 3)"
4859,"('샤넬', 3)"
4860,"('실내', 3)"
4861,"('유니폼', 3)"
4862,"('천주교', 3)"
4863,"('정비', 3)"
4864,"('낚시', 3)"
4865,"('아가', 3)"
4866,"('대변', 3)"
4867,"('이상엽', 3)"
4868,"('활약', 3)"
4869,"('완성', 3)"
4870,"('부사관', 3)"
4871,"('탐앤탐스', 3)"
4872,"('비선', 3)"
4873,"('졸음', 3)"
4874,"('온천', 3)"
4875,"('성악', 3)"
4876,"('신빙', 3)"
4877,"('진경', 3)"
4878,"('서귀포', 3)"
4879,"('동기', 3)"
4880,"('에티오피아', 3)"
4881,"('간담', 3)"
4882,"('김종희', 3)"
4883,"('존', 3)"
4884,"('진통', 3)"
4885,"('문명', 3)"
4886,"('거가대교', 3)"
4887,"('스티로폼', 3)"
4888,"('팽목항', 3)"
4889,"('예약', 3)"
4890,"('수두', 3)"
4891,"('다한', 3)"
4892,"('학력', 3)"
4893,"('침', 3)"
4894,"('용납', 3)"
4895,"('유로', 3)"
4896,"('유아', 3)"
4897,"('기피', 3)"
4898,"('영포', 3)"
4899,"('분실', 3)"
4900,"('김정일', 3)"
4901,"('기법', 3)"
4902,"('담철곤', 3)"
4903,"('절망', 3)"
4904,"('파탄', 3)"
4905,"('불발', 3)"
4906,"('분진', 3)"
4907,"('탈취', 3)"
4908,"('우리나라', 3)"
4909,"('질', 3)"
4910,"('베이비', 3)"
4911,"('자씨', 3)"
4912,"('사관생도', 3)"
4913,"('휴직', 3)"
4914,"('노점', 3)"
4915,"('원서', 3)"
4916,"('과잉', 3)"
4917,"('기침', 3)"
4918,"('전파', 3)"
4919,"('흙', 3)"
4920,"('무선', 3)"
4921,"('입법', 3)"
4922,"('격동', 3)"
4923,"('교육학', 3)"
4924,"('뻔', 3)"
4925,"('초교', 3)"
4926,"('간음', 3)"
4927,"('곤', 3)"
4928,"('우석대', 3)"
4929,"('행안부', 3)"
4930,"('네트워크', 3)"
4931,"('제일', 3)"
4932,"('한반도선진화재단', 3)"
4933,"('일회용품', 3)"
4934,"('대위', 3)"
4935,"('점화', 3)"
4936,"('파도', 3)"
4937,"('경적', 3)"
4938,"('뇌전증', 3)"
4939,"('챔피언', 3)"
4940,"('유행', 3)"
4941,"('기흥', 3)"
4942,"('가산동', 3)"
4943,"('지반침하', 3)"
4944,"('이경재', 3)"
4945,"('지휘자', 3)"
4946,"('재회', 3)"
4947,"('푹', 3)"
4948,"('보이', 3)"
4949,"('대중음악', 3)"
4950,"('즉각', 3)"
4951,"('본토', 3)"
4952,"('사실관계', 3)"
4953,"('조사해', 3)"
4954,"('마카오', 3)"
4955,"('재난', 3)"
4956,"('상품', 3)"
4957,"('유병언', 3)"
4958,"('장녀', 3)"
4959,"('한라산', 3)"
4960,"('떡볶이', 3)"
4961,"('먹거리', 3)"
4962,"('우파', 3)"
4963,"('산다', 3)"
4964,"('급류', 3)"
4965,"('생방송', 3)"
4966,"('전라', 3)"
4967,"('치기', 3)"
4968,"('또래', 3)"
4969,"('석좌교수', 3)"
4970,"('만화', 3)"
4971,"('캄보디아', 3)"
4972,"('국가배상', 3)"
4973,"('주자', 3)"
4974,"('괴산', 3)"
4975,"('개정', 3)"
4976,"('설현', 3)"
4977,"('석수', 3)"
4978,"('대해', 3)"
4979,"('이승', 3)"
4980,"('유남석', 3)"
4981,"('박보영', 3)"
4982,"('취한', 3)"
4983,"('연극인', 3)"
4984,"('전도사', 3)"
4985,"('격의', 3)"
4986,"('아이스', 3)"
4987,"('색깔', 3)"
4988,"('과속', 3)"
4989,"('다큐', 3)"
4990,"('양귀비', 3)"
4991,"('공권력', 3)"
4992,"('교실', 3)"
4993,"('벤처기업', 3)"
4994,"('격', 3)"
4995,"('정신병', 3)"
4996,"('산청', 3)"
4997,"('욱해', 3)"
4998,"('총기', 3)"
4999,"('굿', 3)"
5000,"('경인선', 3)"
5001,"('순천', 3)"
5002,"('구례', 3)"
5003,"('새치기', 3)"
5004,"('밀회', 3)"
5005,"('투수', 3)"
5006,"('주부', 3)"
5007,"('반달가슴곰', 3)"
5008,"('후루룩', 3)"
5009,"('졸업식', 3)"
5010,"('포렌식', 3)"
5011,"('하숙', 3)"
5012,"('제이', 3)"
5013,"('예측', 3)"
5014,"('미르', 3)"
5015,"('조지', 3)"
5016,"('교향악단', 3)"
5017,"('이규진', 3)"
5018,"('애니메이션', 3)"
5019,"('소포', 3)"
5020,"('화단', 3)"
5021,"('트라우마', 3)"
5022,"('상수도', 3)"
5023,"('시간표', 3)"
5024,"('초속', 3)"
5025,"('상상력', 3)"
5026,"('치과', 3)"
5027,"('충북대', 3)"
5028,"('돌담', 3)"
5029,"('베스트', 3)"
5030,"('일감', 3)"
5031,"('철렁', 3)"
5032,"('화포', 3)"
5033,"('베', 3)"
5034,"('이석태', 3)"
5035,"('장어', 3)"
5036,"('난사', 3)"
5037,"('사용자', 3)"
5038,"('박정훈', 3)"
5039,"('성', 3)"
5040,"('수풀', 3)"
5041,"('프로젝트', 3)"
5042,"('시진핑', 3)"
5043,"('옥수수', 3)"
5044,"('변명', 3)"
5045,"('마드', 3)"
5046,"('벌벌', 3)"
5047,"('당장', 3)"
5048,"('패배', 3)"
5049,"('대작', 3)"
5050,"('과목', 3)"
5051,"('경우', 3)"
5052,"('정보원', 3)"
5053,"('청문회', 3)"
5054,"('매도', 3)"
5055,"('신상털이', 3)"
5056,"('이기', 3)"
5057,"('김동수', 3)"
5058,"('마흔', 3)"
5059,"('욕심', 3)"
5060,"('진정', 3)"
5061,"('냉면집', 3)"
5062,"('화곡동', 3)"
5063,"('영사관', 3)"
5064,"('독립운동', 3)"
5065,"('셋', 3)"
5066,"('체조', 3)"
5067,"('예견', 3)"
5068,"('개학', 3)"
5069,"('진범', 3)"
5070,"('폭격', 3)"
5071,"('학습', 3)"
5072,"('이행', 3)"
5073,"('말씀', 3)"
5074,"('류샤오보', 3)"
5075,"('가뭄', 3)"
5076,"('총괄', 3)"
5077,"('지기', 3)"
5078,"('보령', 3)"
5079,"('매체', 3)"
5080,"('습도', 3)"
5081,"('조의', 3)"
5082,"('임정', 3)"
5083,"('교서', 3)"
5084,"('모래', 3)"
5085,"('승합차', 3)"
5086,"('내외', 3)"
5087,"('배경', 3)"
5088,"('김희중', 3)"
5089,"('나향', 3)"
5090,"('구의동', 3)"
5091,"('시점', 3)"
5092,"('면직', 3)"
5093,"('스페인', 3)"
5094,"('창의', 3)"
5095,"('아이스크림', 3)"
5096,"('여유', 3)"
5097,"('최용석', 3)"
5098,"('수돗물', 3)"
5099,"('현판', 3)"
5100,"('남성혐오', 3)"
5101,"('공채', 3)"
5102,"('파격', 3)"
5103,"('이만수', 3)"
5104,"('김사랑', 3)"
5105,"('연주', 3)"
5106,"('천재', 3)"
5107,"('레드', 3)"
5108,"('고혈압약', 3)"
5109,"('증여세', 3)"
5110,"('빙자', 3)"
5111,"('사연', 3)"
5112,"('누락', 3)"
5113,"('신변', 3)"
5114,"('물놀이', 3)"
5115,"('중지', 3)"
5116,"('이부', 3)"
5117,"('여전', 3)"
5118,"('존중', 3)"
5119,"('막내아들', 3)"
5120,"('시한', 3)"
5121,"('왕진', 3)"
5122,"('특채', 3)"
5123,"('라벨', 3)"
5124,"('테마', 3)"
5125,"('파크', 3)"
5126,"('회부', 3)"
5127,"('이산가족', 3)"
5128,"('육박', 3)"
5129,"('허구', 3)"
5130,"('지목', 3)"
5131,"('국민권익위', 3)"
5132,"('수학', 3)"
5133,"('오르다', 3)"
5134,"('이동원', 3)"
5135,"('바둑', 3)"
5136,"('대우', 3)"
5137,"('심해', 3)"
5138,"('집무실', 3)"
5139,"('실리콘밸리', 3)"
5140,"('커피점', 3)"
5141,"('껑충', 3)"
5142,"('법외', 3)"
5143,"('은마', 3)"
5144,"('조연', 3)"
5145,"('남양주시', 3)"
5146,"('송구', 3)"
5147,"('선행', 3)"
5148,"('가격', 3)"
5149,"('성별', 3)"
5150,"('미혼', 3)"
5151,"('스톱', 3)"
5152,"('꼼수', 3)"
5153,"('한쪽', 3)"
5154,"('종이컵', 3)"
5155,"('고철', 3)"
5156,"('에이스', 3)"
5157,"('송영', 3)"
5158,"('이태원', 3)"
5159,"('위생', 3)"
5160,"('밭일', 3)"
5161,"('맨유', 3)"
5162,"('저지', 3)"
5163,"('만족', 3)"
5164,"('피하', 3)"
5165,"('보건소', 3)"
5166,"('겨눈', 3)"
5167,"('타결', 3)"
5168,"('사진작가', 3)"
5169,"('채동욱', 3)"
5170,"('연예', 3)"
5171,"('구단', 3)"
5172,"('종찬', 3)"
5173,"('보위', 3)"
5174,"('홈피', 3)"
5175,"('먹통', 3)"
5176,"('김민희', 3)"
5177,"('나체사진', 3)"
5178,"('동아시아', 3)"
5179,"('열매', 3)"
5180,"('물품', 3)"
5181,"('무엇', 3)"
5182,"('직속', 3)"
5183,"('제재', 3)"
5184,"('의결', 3)"
5185,"('욕조', 3)"
5186,"('세브란스', 3)"
5187,"('동지', 3)"
5188,"('완전범죄', 3)"
5189,"('복날', 3)"
5190,"('격전', 3)"
5191,"('박삼구', 3)"
5192,"('수요', 3)"
5193,"('피습', 3)"
5194,"('조절', 3)"
5195,"('필', 3)"
5196,"('남혐', 3)"
5197,"('난항', 3)"
5198,"('안성', 3)"
5199,"('흥', 3)"
5200,"('시상식', 3)"
5201,"('물증', 3)"
5202,"('비행', 3)"
5203,"('구비', 3)"
5204,"('여름철', 3)"
5205,"('성체', 3)"
5206,"('손바닥', 3)"
5207,"('운전사', 3)"
5208,"('만족도', 3)"
5209,"('여주', 3)"
5210,"('건배', 3)"
5211,"('동화', 3)"
5212,"('평년', 3)"
5213,"('개고기', 3)"
5214,"('월성', 3)"
5215,"('속옷', 3)"
5216,"('압', 3)"
5217,"('이미지', 3)"
5218,"('빠', 3)"
5219,"('토로', 3)"
5220,"('벼락', 3)"
5221,"('성당', 3)"
5222,"('박치기', 3)"
5223,"('미용실', 3)"
5224,"('운', 3)"
5225,"('김석', 3)"
5226,"('카지노', 3)"
5227,"('세븐일레븐', 3)"
5228,"('거론', 3)"
5229,"('일주', 3)"
5230,"('조각', 3)"
5231,"('김은정', 3)"
5232,"('웨딩', 3)"
5233,"('장마전선', 3)"
5234,"('치안본부', 3)"
5235,"('홈쇼핑', 3)"
5236,"('아이스팩', 3)"
5237,"('억', 3)"
5238,"('별거', 3)"
5239,"('단거리', 3)"
5240,"('성남시장', 3)"
5241,"('당뇨', 3)"
5242,"('조울증', 3)"
5243,"('소년원', 3)"
5244,"('낫', 3)"
5245,"('구심', 3)"
5246,"('깜빡', 3)"
5247,"('연방', 3)"
5248,"('연구소장', 3)"
5249,"('차단', 3)"
5250,"('고령화', 3)"
5251,"('덫', 3)"
5252,"('호통', 3)"
5253,"('기한', 3)"
5254,"('하룻밤', 3)"
5255,"('축구선수', 3)"
5256,"('기성용', 3)"
5257,"('구형량', 3)"
5258,"('사범', 3)"
5259,"('사투리', 3)"
5260,"('암매장', 3)"
5261,"('할복', 3)"
5262,"('던', 3)"
5263,"('케미칼', 3)"
5264,"('신입', 3)"
5265,"('외조', 3)"
5266,"('지하철역', 3)"
5267,"('통신', 3)"
5268,"('요건', 3)"
5269,"('응원단', 3)"
5270,"('군수', 3)"
5271,"('아령', 3)"
5272,"('명부', 3)"
5273,"('장바구니', 3)"
5274,"('핑퐁', 3)"
5275,"('선별', 3)"
5276,"('보행자', 3)"
5277,"('장수', 3)"
5278,"('보미', 3)"
5279,"('논', 3)"
5280,"('두렁', 3)"
5281,"('완충', 3)"
5282,"('결단', 3)"
5283,"('금회', 3)"
5284,"('빅데이터', 3)"
5285,"('원래', 3)"
5286,"('국무총리', 3)"
5287,"('도자기', 3)"
5288,"('당사자', 3)"
5289,"('청구권', 3)"
5290,"('예비군', 3)"
5291,"('재료', 3)"
5292,"('굴비', 3)"
5293,"('큰일', 3)"
5294,"('노무현', 3)"
5295,"('고용노동부', 3)"
5296,"('통일교', 3)"
5297,"('요양원', 3)"
5298,"('입구', 3)"
