,사회단어
266,"('신고', 55)"
267,"('나', 55)"
268,"('중국', 55)"
269,"('추정', 55)"
270,"('국가', 55)"
271,"('준', 54)"
272,"('연기', 54)"
273,"('주', 54)"
274,"('집단', 54)"
275,"('부인', 54)"
276,"('사진', 54)"
277,"('김부선', 54)"
278,"('관련', 54)"
279,"('강남', 54)"
280,"('병', 54)"
281,"('더위', 54)"
282,"('사실', 53)"
283,"('정치', 53)"
284,"('주장', 53)"
285,"('광주', 53)"
286,"('청원', 53)"
287,"('문', 53)"
288,"('재단', 53)"
289,"('벌금', 52)"
290,"('택시', 52)"
291,"('민노총', 52)"
292,"('현장', 52)"
293,"('위해', 52)"
294,"('기업', 52)"
295,"('기온', 52)"
296,"('검', 51)"
297,"('공무원', 51)"
298,"('층', 51)"
299,"('대구', 51)"
300,"('물', 51)"
301,"('유치원', 51)"
302,"('이윤택', 51)"
303,"('음주운전', 50)"
304,"('고속도로', 50)"
305,"('설', 50)"
306,"('밀양', 50)"
307,"('이야기', 50)"
308,"('착수', 50)"
309,"('자금', 50)"
310,"('세종', 49)"
311,"('학생', 49)"
312,"('강제', 49)"
313,"('공장', 49)"
314,"('토요일', 49)"
315,"('배상', 49)"
316,"('기사', 49)"
317,"('청탁', 49)"
318,"('일요일', 48)"
319,"('인권', 48)"
320,"('기자', 48)"
321,"('연구원', 48)"
322,"('가장', 48)"
323,"('농단', 48)"
324,"('금지', 47)"
325,"('청와대', 47)"
326,"('최저임금', 47)"
327,"('간', 47)"
328,"('사단', 47)"
329,"('메르스', 47)"
330,"('수요일', 47)"
331,"('곳곳', 47)"
332,"('월요일', 47)"
333,"('직접', 46)"
334,"('중단', 46)"
335,"('화요일', 46)"
336,"('요구', 46)"
337,"('포항', 46)"
338,"('포럼', 46)"
339,"('하루', 46)"
340,"('금요일', 46)"
341,"('학교', 46)"
342,"('목요일', 46)"
343,"('그룹', 46)"
344,"('이명박', 46)"
345,"('인', 45)"
346,"('업체', 45)"
347,"('반대', 45)"
348,"('결혼', 45)"
349,"('마지막', 45)"
350,"('주간조선', 45)"
351,"('대한항공', 45)"
352,"('범죄', 44)"
353,"('금', 44)"
354,"('이수연', 44)"
355,"('방화', 44)"
356,"('공사', 44)"
357,"('여부', 44)"
358,"('위원장', 44)"
359,"('처', 44)"
360,"('감독', 44)"
361,"('공작', 44)"
362,"('새벽', 44)"
363,"('위반', 43)"
364,"('시장', 43)"
365,"('성희롱', 43)"
366,"('흉기', 43)"
367,"('씨', 43)"
368,"('헌재', 43)"
369,"('남자', 43)"
370,"('고소', 43)"
371,"('경찰청장', 43)"
372,"('영상', 43)"
373,"('기록', 43)"
374,"('의료', 43)"
375,"('여고생', 43)"
376,"('센터', 42)"
377,"('차례', 42)"
378,"('계속', 42)"
379,"('긴급', 42)"
380,"('집행유예', 42)"
381,"('법무부', 42)"
382,"('노인', 42)"
383,"('양승태', 42)"
384,"('눈', 42)"
385,"('최초', 42)"
386,"('강원랜드', 42)"
387,"('북한', 41)"
388,"('송치', 41)"
389,"('알', 41)"
390,"('새', 41)"
391,"('지진', 41)"
392,"('수사반장', 41)"
393,"('고용', 41)"
394,"('명예', 41)"
395,"('뉴스', 41)"
396,"('수술', 41)"
397,"('개입', 41)"
398,"('전자', 41)"
399,"('지사', 41)"
400,"('공항', 41)"
401,"('대응', 41)"
402,"('비서', 41)"
403,"('가상', 41)"
404,"('취소', 40)"
405,"('판', 40)"
406,"('사', 40)"
407,"('산업', 40)"
408,"('용의자', 40)"
409,"('선수', 40)"
410,"('교통사고', 40)"
411,"('운동', 40)"
412,"('정보', 40)"
413,"('발표', 40)"
414,"('어린이집', 39)"
415,"('남', 39)"
416,"('치료', 39)"
417,"('양진호', 39)"
418,"('경기', 39)"
419,"('끝', 39)"
420,"('종인', 39)"
421,"('재산', 39)"
422,"('미국', 39)"
423,"('오전', 39)"
424,"('영향', 39)"
425,"('지하철', 39)"
426,"('건강', 39)"
427,"('정봉주', 39)"
428,"('화폐', 39)"
429,"('대한민국', 38)"
430,"('발언', 38)"
431,"('시간', 38)"
432,"('활동', 38)"
433,"('국회', 38)"
434,"('사상', 38)"
435,"('취업', 38)"
436,"('확대', 38)"
437,"('수도권', 38)"
438,"('협회', 38)"
439,"('징계', 38)"
440,"('이상', 38)"
441,"('초', 38)"
442,"('한진', 38)"
443,"('연휴', 38)"
444,"('워마드', 38)"
445,"('남용', 37)"
446,"('진', 37)"
447,"('국정', 37)"
448,"('회사', 37)"
449,"('검토', 37)"
450,"('관리', 37)"
451,"('안전', 37)"
452,"('충돌', 37)"
453,"('대상', 37)"
454,"('협박', 37)"
455,"('할머니', 37)"
456,"('사랑', 37)"
457,"('여자', 37)"
458,"('서초동', 37)"
459,"('이혼', 37)"
460,"('회의', 37)"
461,"('글', 37)"
462,"('세미나', 36)"
463,"('음주', 36)"
464,"('조치', 36)"
465,"('한반도', 36)"
466,"('대신', 36)"
467,"('하늘', 36)"
468,"('의심', 36)"
469,"('정체', 36)"
470,"('자택', 36)"
471,"('공원', 36)"
472,"('교육', 36)"
473,"('위기', 36)"
474,"('이재용', 36)"
475,"('몸', 35)"
476,"('불구속', 35)"
477,"('눈물', 35)"
478,"('특별', 35)"
479,"('구조', 35)"
480,"('학술', 35)"
481,"('가능성', 35)"
482,"('기술', 35)"
483,"('내년', 35)"
484,"('폭력', 35)"
485,"('법무', 35)"
486,"('아침', 35)"
487,"('진화', 35)"
488,"('한강', 35)"
489,"('추석', 35)"
490,"('폭우', 35)"
491,"('이명희', 35)"
492,"('점', 34)"
493,"('도심', 34)"
494,"('유족', 34)"
495,"('우려', 34)"
496,"('추진', 34)"
497,"('문건', 34)"
498,"('적폐', 34)"
499,"('울산', 34)"
500,"('단', 34)"
501,"('기념', 34)"
502,"('영하', 34)"
503,"('육아', 34)"
504,"('보고', 34)"
505,"('주의', 34)"
506,"('행정', 34)"
507,"('지시', 34)"
508,"('김정은', 33)"
509,"('만취', 33)"
510,"('근로자', 33)"
511,"('대회', 33)"
512,"('보도', 33)"
513,"('마약', 33)"
514,"('위험', 33)"
515,"('반발', 33)"
516,"('블랙리스트', 33)"
517,"('사업', 33)"
518,"('위원', 33)"
519,"('선택', 33)"
520,"('작업', 33)"
521,"('친구', 33)"
522,"('작년', 33)"
523,"('조현민', 33)"
524,"('중앙', 32)"
525,"('화장실', 32)"
526,"('자유', 32)"
527,"('일부', 32)"
528,"('지역', 32)"
529,"('간다', 32)"
530,"('소방관', 32)"
531,"('영화', 32)"
532,"('기', 32)"
533,"('젠', 32)"
534,"('꿈', 32)"
535,"('규모', 32)"
536,"('플라스틱', 32)"
537,"('하라', 32)"
538,"('발생', 32)"
539,"('난', 32)"
540,"('이후', 32)"
541,"('주년', 32)"
542,"('역대', 32)"
543,"('한국인', 32)"
544,"('출산', 32)"
545,"('때문', 32)"
546,"('산', 32)"
547,"('조양호', 32)"
548,"('여명', 32)"
549,"('한파', 32)"
550,"('숙명여고', 31)"
551,"('의견', 31)"
552,"('강요', 31)"
553,"('도주', 31)"
554,"('강', 31)"
555,"('귀가', 31)"
556,"('사망자', 31)"
557,"('가해자', 31)"
558,"('시대', 31)"
559,"('병역', 31)"
560,"('진실', 31)"
561,"('택배', 31)"
562,"('남부', 31)"
563,"('갈등', 31)"
564,"('대피', 31)"
565,"('장애인', 31)"
566,"('기부', 31)"
567,"('입원', 31)"
568,"('준비', 31)"
569,"('누구', 31)"
570,"('청년', 31)"
571,"('박원순', 31)"
572,"('허위', 31)"
573,"('인천공항', 31)"
574,"('신생아', 31)"
575,"('콩레이', 31)"
576,"('대학', 31)"
577,"('김지은', 31)"
578,"('임종헌', 30)"
579,"('형사', 30)"
580,"('폐지', 30)"
581,"('총', 30)"
582,"('사용', 30)"
583,"('게', 30)"
584,"('모든', 30)"
585,"('보수', 30)"
586,"('국민연금', 30)"
587,"('임', 30)"
588,"('운전', 30)"
589,"('폭발', 30)"
590,"('요청', 30)"
591,"('용', 30)"
592,"('보', 30)"
593,"('온', 30)"
594,"('전문가', 30)"
595,"('협력', 30)"
596,"('마음', 30)"
597,"('경북', 30)"
598,"('신임', 30)"
599,"('시도', 30)"
600,"('적', 30)"
601,"('핫', 30)"
602,"('전달', 30)"
