,단어명,빈도수
0,명,508
1,경찰,264
2,조사,206
3,성추행,201
4,등,192
5,검찰,188
6,병원,178
7,수사,177
8,미투,174
9,의혹,172
10,혐의,152
11,중,145
12,화재,143
13,징역,140
14,전,133
15,서울,132
16,사망,129
17,구속,123
18,여성,117
19,불,117
20,성폭행,114
21,검사,112
22,피해,111
23,안,105
24,논란,102
25,일상,98
26,교수,98
27,톡톡,97
28,사건,93
29,폭행,87
30,후,83
31,소환,83
32,참사,82
33,피해자,82
34,돈,80
35,살해,80
36,압수수색,80
37,것,78
38,영장,78
39,발견,77
40,성폭력,77
41,한국,75
42,국정원,75
43,밀양,74
44,세종,72
45,불법,71
46,직원,70
47,첫,69
48,정부,68
49,안희정,68
50,교사,68
51,또,68
52,다스,67
53,대표,66
54,재판,66
55,도,66
56,심,66
57,차,65
58,미세먼지,65
59,부산,63
60,제주,63
61,법원,63
62,더,62
63,제천,62
64,범,62
65,며,61
66,아들,60
67,채용,60
68,의원,60
69,폭로,60
70,현장,59
71,비리,58
72,출석,58
73,세월호,57
74,사고,57
75,차량,56
76,비,56
77,구속영장,55
78,가족,55
79,기자,54
80,청구,54
81,기소,53
82,환자,53
83,이윤택,53
84,신고,52
85,평창,52
86,남성,51
87,아내,51
88,지진,51
89,요구,51
90,개월,51
91,검거,51
92,뉴스,51
93,아파트,50
94,내,50
95,달,50
96,신생아,50
97,엄마,50
98,학생,49
99,살,49
100,성희롱,48
101,집,47
102,개,47
103,층,47
104,추가,47
105,일,47
106,공무원,46
107,사실,46
108,김현주,46
109,왜,45
110,이유,45
111,입건,45
112,플러스,45
113,건,45
114,소방,44
115,처벌,44
116,징역형,44
117,화폐,44
118,대통령,44
119,업체,43
120,무죄,43
121,공개,43
122,아이,43
123,속,42
124,가상,42
125,박근혜,42
126,재,42
127,심사,42
128,최,42
129,채,42
130,부인,42
131,뒤,41
132,살인,41
133,제,41
134,실형,41
135,변호사,41
136,관련,41
137,국민,40
138,듯,40
139,수,40
140,항소심,40
141,간부,40
142,경찰관,40
143,안전,40
144,곳,40
145,부상,40
146,포항,39
147,사과,39
148,선고,39
149,남편,39
150,학교,39
151,딸,39
152,못,39
153,위,38
154,구조,38
155,체포,38
156,말,38
157,세,38
158,회장,38
159,술,37
160,책임,37
161,문제,37
162,때,37
163,검토,37
164,브리핑,37
165,버스,37
166,주민,36
167,아버지,36
168,사람,36
169,법,36
170,김,36
171,의료,36
172,건물,36
173,신청,36
174,시민,36
175,배,36
176,의,36
177,실,36
178,판사,36
179,올림픽,36
180,구형,35
181,피의자,35
182,폐지,35
183,결정,35
184,흉기,35
185,전국,35
186,달라,35
187,운영,34
188,관리,34
189,오늘,34
190,징계,34
191,녀,34
192,조치,34
193,사기,34
194,최저임금,34
195,사회,33
196,목동,33
197,긴급,33
198,산불,33
199,협박,33
200,단체,33
201,동료,33
202,가능성,32
203,취소,32
204,규모,32
205,유족,32
206,대책,32
207,사장,32
208,뇌물,32
209,자금,32
210,남매,32
211,나,31
212,지원,31
213,생,31
214,인천,31
215,단,30
216,착수,30
217,해,30
218,방화,30
219,거부,30
220,확인,30
221,고소,30
222,댓글,30
223,대피,30
224,귀가,30
225,인사,30
226,결혼,29
227,운동,29
228,진상,29
229,집단,29
230,대응,29
231,허위,29
232,부장,29
233,중단,29
234,우리,29
235,적발,29
236,인정,29
237,문,29
238,연기,29
239,시신,29
240,팀,29
241,서울시,29
242,횡령,29
243,대학,29
244,병,29
245,사망자,29
246,교육,28
247,아빠,28
248,다른,28
249,할머니,28
250,사퇴,28
251,소송,28
252,이번,28
253,성범죄,28
254,고준희,28
255,기사,27
256,손,27
257,추진,27
258,노조,27
259,끝,27
260,확산,27
261,초,27
262,앞,27
263,극단,27
264,유출,27
265,자살,26
266,오후,26
267,부,26
268,강원랜드,26
269,의사,26
270,사,26
271,추행,26
272,위해,26
273,광주,26
274,인권위,26
