,단어명,빈도수
433,밤샘,4
434,공부,4
435,여행,4
436,분노,4
437,그룹,4
438,표본,4
439,사립,4
440,한시,4
441,김동연,4
442,신설,4
443,통운,4
444,신뢰,4
445,아이,4
446,규모,4
447,하나요,4
448,성공,4
449,연금,4
450,부정부패,4
451,배달,4
452,영업정지,4
453,난무,4
454,정규,4
455,체계,4
456,관행,4
457,금융감독원,4
458,강력,4
459,최악,4
460,신고,4
461,부족,4
462,운송,4
463,전원,4
464,수의,4
465,대체,4
466,가장,4
467,가족,4
468,필기,4
469,요원,4
470,부정,4
471,철저,4
472,리좀,4
473,유착,4
474,헛고생,4
475,홈플러스,4
476,양극화,4
477,조차,4
478,차원,4
479,교주,4
480,조건,4
481,가산,3
482,남자,3
483,정시,3
484,나가야,3
485,조금,3
486,허용,3
487,차등,3
488,토익,3
489,총파업,3
490,위반,3
491,육성,3
492,증가,3
493,지엠,3
494,북한,3
495,보조,3
496,공유,3
497,절망,3
498,증대,3
499,존경,3
500,머리,3
501,준수,3
502,교체,3
503,길이,3
504,불가,3
505,농단,3
506,세대,3
507,축소,3
508,보완,3
509,대학교,3
510,제공,3
511,주택,3
512,대강,3
513,작업,3
514,노예,3
515,평균,3
516,가정,3
517,수석,3
518,수급,3
519,장관,3
520,운영,3
521,철회,3
522,퇴사,3
523,상공,3
524,무엇,3
525,방학,3
526,삭감,3
527,대량,3
528,특혜,3
529,오류,3
530,전화,3
531,민간,3
532,외면,3
533,이나,3
534,탈세,3
535,강남,3
536,안주,3
537,신한은행,3
538,소리,3
539,청원경찰,3
540,특단,3
541,주휴수당,3
542,촉진,3
543,천국,3
544,인원,3
545,도시,3
546,주거,3
547,신경,3
548,세로,3
549,인천공항,3
550,탈락,3
551,범죄자,3
552,좌절,3
553,시간제,3
554,블라인드,3
555,온상,3
556,민족,3
557,오명,3
558,사법고시,3
559,부활,3
560,중단,3
561,진행,3
562,도움,3
563,고용주,3
564,터미널,3
565,의견,3
566,다자,3
567,만행,3
568,감리,3
569,자가,3
570,학원,3
571,삭제,3
572,금액,3
573,국제,3
574,약속,3
575,즉각,3
576,업주,3
577,실장,3
578,신용,3
579,포괄,3
580,상태,3
581,수의사,3
582,이익,3
583,극형,3
584,원전,3
585,혜택,3
586,자격시험,3
587,형평성,3
588,육아,3
589,추천,3
590,물류,3
591,추가,3
592,다른,3
593,인하,3
594,파주,3
595,불법체류,3
596,각종,3
597,제조업,3
598,취직,3
599,포청천,3
600,세율,3
601,청년실업,3
602,경기도,3
603,뉴스,3
604,허브,3
605,합격,3
606,살기,3
607,구직,3
608,근로기준법,3
609,주의,3
610,인간,3
611,국방,3
612,과학,3
613,연구소,3
614,절차,3
615,조선해,3
616,악마,3
617,여명,3
618,결사,3
619,변화,3
620,공휴일,3
621,번호판,3
622,화물차,3
623,중개,3
624,긴급,3
625,학생,3
626,출제,3
627,파탄,3
628,소급,3
629,살인,3
630,아웃,3
631,순서,3
632,경비,3
633,공식,3
634,카드,3
635,대학,3
636,입찰,3
637,기준,3
638,기술,3
639,희망이,3
640,대졸,3
641,허가,3
642,파업,3
643,통해,3
644,반려동물,3
645,사건,3
646,제일,3
647,상향,3
648,내야,3
649,교대,3
650,하나은행,3
651,지자체,3
652,경쟁,3
653,절박,3
654,사실,3
655,저희,3
656,근무시간,3
657,재고,3
658,임시직,3
659,책임,3
660,최소,3
661,거래,3
662,엄벌,3
663,생존권,3
664,사고,3
665,집중,3
666,공범,3
667,지시,3
668,심장,3
669,보수,3
670,숨은그림,3
671,연결고리,3
672,과거,3
673,단어,3
674,재발,3
675,예술,3
676,중간,3
677,임기,3
678,교포,3
679,중소,2
680,기어,2
681,자재,2
682,조정,2
683,모범,2
684,무차별,2
685,의식,2
686,과시,2
687,구조조,2
688,본보기,2
689,망령,2
690,어르신,2
691,신분,2
692,걱정,2
693,강요,2
694,물가,2
695,기능,2
696,살수,2
