,Title,Date,count
0,북한은매번 일본한테 과거사 과거사 사죄요구합니다..,18.11.16,5명
1,문재인 대통령님 국방부 분들 의경 경찰청 없앨거면 군대복무기간 12개월이하로 줄여주세요,18.11.16,2명
2,양구 군인 총상 사고 진상규명하십시오.,18.11.16,102명
3,옥류관 냉면정치...성공할까???,18.11.16,4명
4,중국강경대응,18.11.16,3명
5,양구 군인,18.11.16,342명
6,산이 군대보내주세요,18.11.16,300명
7,GP에서 총상 이게 무슨일입니까?,18.11.16,23명
8,병사가 죽었는데 나라님들은 관심이없네요?,18.11.16,26명
9,국방부는  '자진귀가제도'를 부활 시켜주십시요.,18.11.16,3명
10,나라위해 군에 간 아들들을 지켜야 합니다. 지금 양구에서 군인들이 죽어나가고 있습니다. 민간인들이 죽어나가면 누가 책임질건가요?지뢰 다시 설치하고 GP다시 설치하라!!!ㄴ,18.11.16,32명
11,군대도  갈사람 안갈사람 결정해서 가게 해주시고 여자도 군대 가게 해주세요,18.11.16,3명
12,북한인민,18.11.16,7명
13,병역에 남녀차별을 두는 병역법은 위헌법률입니다.,18.11.16,15명
14,여성도 군복무 합시다,18.11.16,6명
15,여호와의 증인들 그냥 국제법 그런거 통용되는 나라로,18.11.16,4명
16,병역법폐지합시다,18.11.16,7명
17,문재인 임명 영국 여성대사 박은하씨 뭐하고 있나요,18.11.16,18명
18,하노이 영사관은 베트남 신부 입국을 허가 해 주십시오,18.11.16,121명
19,"북핵, 북미 진실은?, 북미회담,한반도 비핵화",18.11.16,6명
20,영국 대사관의 직무 유기를 해결해 주세요,18.11.16,29명
21,남래퍼 '산이'를 군대보내주십시오,18.11.16,19명
22,"영국, 한국인폭행사건 대사관,영사관,처벌 청원",18.11.16,13명
23,래퍼 산이를 군대보내주세요,18.11.16,13명
24,"'알바 국가' --- 문재인,  인종석, 주사파들아 국가 경영이 애들 장난이냐",18.11.16,15명
25,북한의핵탄두소형화 작업..,18.11.16,8명
26,산이의 랩 Feminist를 해외에 알리는데에 힘써주십시오,18.11.16,"1,069명"
27,"일본의 도발과 억지주장에 대한 현 정부의 입장과 앞으로의 계획을 듣고 싶습니다.(말로만 하는 유감, 실망 이런 표현이 아닌 구체적인 방안)",18.11.16,8명
28,청와대 근무자님들 몽땅 북한에서 월급 받으시기를.,18.11.16,17명
29,"부쩍 늘어난 해외 순방…靑, 예산 동나자 긴급 예비비 편성...국민세금으로 김정은 선전하려 다니지말라.",18.11.16,13명
30,김정은 핵 사기 치는데 남한 대통령 공범되지 않아야.,18.11.16,18명
31,교황 남북한 방문 요청,18.11.16,1명
32,탈북자들은 정치적으로 이용하면 안됩니다.~~~~~~~~~~~~~~^^^^,18.11.16,4명
33,"국민 여러분 호소합니다.북한에 대한 환상,좌파 정부의 속임수에 3번은 믿지 말아 주십시오.",18.11.16,21명
34,"청와대 대변인 김의겸의 스펙조작, 문재인의 공정사회",18.11.16,7명
35,북한인권을 정치적으로 이용하면 안된다.~~~~~~~~~~~~^^^^,18.11.16,2명
36,국가경영이 애들 장난이냐 ..체험형 인턴·산불 감시원…고용참사를 '단기 알바'로 때우려는 정부,18.11.16,7명
37,북핵 더 발전 더 개발에 대북제재 완화 외교 펼치는 대통령,18.11.16,16명
38,시민달체들 뭐하십니까? 더이상촛불 늣추지마세요,18.11.16,7명
39,지금은 왜 문재통령 지지율 발표못하나??,18.11.16,16명
40,핵과 미사일 폐기없이 도로 철도 추진하지 마십시요. 누구돈으로 그렇게 막 설쳐댑니까?,18.11.16,17명
41,문대통령 북한에 속지 마십시요. 주고도 뺨 맞습니다,18.11.16,20명
42,천안함폭침과 연평도 포격사건을 잊지마십시오!,18.11.16,21명
43,북돼지 남쪽오면 체포 재판청원 합니다,18.11.16,18명
44,국가이적 행위자  처벌하시요,18.11.16,8명
45,대체복무제 공론화한 다음 국민투표루 부쳐주세요,18.11.16,6명
46,한국 국대 복무 기간 12개월 이하루 얼른 줄여주세요,18.11.16,4명
47,문재인대통령의 북한외교에 대한평가,18.11.16,8명
48,어업협정,18.11.16,3명
49,권력의 우의에 있는 갑이 권리관계에서 약자인 을에게 하는 부당행위를 통칭하는 개념을 '갑질'이라고 합니다. 하지만 관련처벌법이 여전히 미진합니다.,18.11.16,80명
50,국가안보,18.11.16,12명
51,북한 장사정포 1문 포문은 닫았나요?,18.11.16,8명
52,"외교부의 외국에서 범죄피해나 탄압, 부당대우 당한사건들 국민들에게 알리는 체계 도입청원합니다",18.11.16,4명
53,대통령께서 말씀하시는 평화를 믿을수 있게 김정은 위원장에게 정치범수용소 해체를 요구하세요,18.11.16,2명
54,"GP,DMZ에 관해서 청원올려봅니다.",18.11.16,9명
55,양심적 병역거부를 종교적으로 바꿔주세요,18.11.16,8명
56,국제혼 지원의 새로은 방식을 제안 합니다,18.11.16,1명
57,일본의 사과를 요구합니다,18.11.16,9명
58,일본과 외교 단절을 결정해주십시요.,18.11.16,2명
59,아이즈원츄 시즌2 제작이 시급합니다.,18.11.16,5명
60,GP 철거 진행에 관하여,18.11.16,3명
61,북 미사일기지 가짜뉴스 철저한 대응 청원합니다,18.11.15,1명
62,태극기 집회 만세!,18.11.15,4명
63,인니 수라카르타(Solo city) 재매도시 추천,18.11.15,0명
64,당신이 대통령이라는게 한심합니다,18.11.15,18명
65,GP 철수를 멈춰주세요,18.11.15,156명
66,추징금추징에대해,18.11.15,0명
67,최순실씨를 석방하라!,18.11.15,3명
68,통일 대한민국을 위한 제안,18.11.15,487명
69,사이판교민도와주기,18.11.15,2명
70,우리 국민은 북한 제재 푸는걸 국가가 나서는걸 원하지 않습니다.,18.11.15,6명
71,누구를  위한 정부입니까?,18.11.15,15명
72,청와대 핫라인은 북과 내통용?,18.11.15,10명
73,이제 쑈는 그만 하시죠.국민 피눈물나게 하지말고,18.11.15,16명
74,북한의 핵탄두 소형화의 논란에 대해서,18.11.15,10명
75,여성분들도 훈련소정도는 가야한다고 생각합니다,18.11.15,11명
76,6.25 전쟁의 폐허.. 그리고 반복되는 역사,18.11.15,9명
77,이수역 폭행사건 가해자및 2차 가해자들 모두 강제 징집합시다,18.11.15,7명
78,여호와 증인과 이수역 폭행사건 가해자놈들을,18.11.15,5명
79,중성미자 검출기 북한 비핵화 검증 도구 필요,18.11.15,3명
80,한미연합훈련을 맹비난을 퍼부으면서 북한은 지금 신방사포 사격훈련을 하는건 무슨 심보냐???,18.11.15,12명
81,북한 미사일 사거리 및 성능이 계속 향상되고 있는데...,18.11.15,12명
82,통일 국민에게 물어보고 추진 좀 하자,18.11.15,8명
83,북한 땅굴도 없애라,18.11.15,9명
84,국가안보,18.11.15,8명
85,우리의 소원은 통일 꿈에도 소원은 통일에 한표를,18.11.15,3명
86,**** 방송 내란선동죄,18.11.15,0명
87,북한 선박 구조에 대해,18.11.15,2명
88,"""해왕성은 한국영토이다""라고 세계를 향해 선언해주세요",18.11.15,0명
89,북한 핵개발 생화학 무기 포기안하고 더 강화중이다.,18.11.15,10명
90,국정원 북한 핵개발 덮어두기 국민 속이는 일 아니었나.,18.11.15,10명
91,GP 철거 다른 방법은 없나요,18.11.15,7명
92,모든 참전용사들에게 참전명예수당을 지급하시길 바랍니다.,18.11.15,3명
93,"이런 대접받을 분들이 아닌데,  외면받는 참전유공자들",18.11.15,6명
94,여자아이돌보기로병역대채복무,18.11.15,4명
95,양심적 병역거부자를 자기중심적 병역거부자로  용어 변경의 건,18.11.15,12명
96,조용할날 없는 문제인정부,18.11.15,17명
97,국민들 죽을맛 대통령 한가한 북한외교 외유할 때인가.,18.11.15,11명
98,보훈보상자의 국가유공자 통합하라! !!!,18.11.15,4명
99,대다수 군복무 의무를 성실이 수행하는 사람을 바보로 만들지 말라,18.11.15,9명
100,종교로 인한 병역거부 반대합다,18.11.15,17명
101,백두칭송위윈회 구속수사를 청원합니다,18.11.15,30명
102,대한민국 국민의 생명을 사수하는 정부인가? 북한 세습 독재 정권의 보위 정부인가?!,18.11.15,20명
103,공익근무요원 선발에  따른 문제,18.11.15,1명
104,GP 철수를 반대합니다,18.11.15,17명
105,국방부 한국 군대 복무기간 얼른 12개월이하로 줄이고 만18세부터 갈수있게해야한다고 생각합니다,18.11.15,3명
106,"문정권의 '安保 장담' 번번이 어긋나고, 청와대는 북한 대변인냥 말을 하니 국민은 무얼 믿어야 하나요.",18.11.15,21명
107,여호와증인 국외로 추방해 주십시오,18.11.15,19명
108,군인들 부려먹는 상관이나 장관들이나.. 멀믿고 이나라를 위해 살지,18.11.15,7명
109,양심적 예비군훈련 열외 인정해주세요,18.11.15,3명
110,북한측에 귤 200톤 제공,18.11.15,20명
111,경찰야구단 그리고 무궁화축구단 해체 반대합니다.,18.11.15,1명
112,해군 복귀시간을  19시로 해주세요,18.11.14,3명
113,여기가 북한인가요 남한인가요?,18.11.14,33명
114,방탄소년탄의 문화훈장 취소를 청원합니다.,18.11.14,"3,339명"
115,우리나라의 역사 동북공정,18.11.14,2명
116,탄핵게시가넘많은데뭉쳐야됨,18.11.14,16명
117,대한민국 대통령이란자가 국민을 이렇게 불안하게해도 되는지 묻고싶다.,18.11.14,22명
118,고 노무현대통령의 죽음에 대해 진실을 밝혀주세요,18.11.14,14명
119,빨갱이들 국외 추방해주세요,18.11.14,13명
120,예비군 개혁 청원합니다.,18.11.14,6명
121,문 대통령님에 대한 욕설댓글들이 너무 심합니다.,18.11.14,15명
122,'양심을 이유로 병역거부'자 대체 복무안 지지합니다!,18.11.14,5명
123,북한이 서해 NLL인정했다면서 김정은 목숨걸고 NLL지키라고 ?문대통이 국민상대로 거짓말한건가.....,18.11.14,10명
124,북한에 대한민국국군의심장기지 계룡대모형건축물을지어서 훈련하고 있다는데 청와대는 변명말고 솔직한 답변을해라,18.11.14,15명
125,양심적 병역 거부 관련 청원했던 사람입니다.,18.11.14,8명
126,복무제 단축,18.11.14,1명
127,양심적 병역거부자 대체복무 제도를 다른것과 형평성있게 개선바랍니다,18.11.14,16명
128,기업인들 끌고 북한좀 고만 가세요!!,18.11.14,18명
129,"어떻게  23,000원의 전상수당을 지급하고 있나요?",18.11.14,3명
130,gp철거 다시한번 생각해주십쇼,18.11.14,15명
131,대통령님 북한외교보다 나라의 안쪽을봐주십시오 안쪽은 곪아갑니다.,18.11.14,34명
132,군대 ....,18.11.14,4명
133,대체복무 여자들도 하게 해주세요,18.11.14,3명
134,사회복무요원 겸직허가사항,18.11.14,2명
135,대체복무에 대한 또 다른 제안,18.11.14,5명
136,아세안 정상초청=북한위한 걸음,18.11.14,6명
137,문대통령님 이제 바른길로 가시지요,18.11.14,20명
138,나라에서 청년들에게 군복무를 강요할 자격이 있을까요?,18.11.14,5명
139,병역거부자 민간 대체복무를 교도소에서 36개월로 하지 말고 지뢰제거 36개월로 변경 바랍니다.,18.11.14,23명
140,"RFA “北, 주민 전시태세 훈련 강행…전민 무장화 방침 내려”",18.11.14,13명
141,불법을 저지른것도 아닌데 군대 안갔다고 개인의 자유를 억압당하는 유승준,18.11.14,2명
142,한국이 일본처럼 전세계각국에 자국을 홍보하게 해주십시오.,18.11.14,5명
143,양심적 병역거부 vs 유승준,18.11.14,10명
144,군필자 이중국적 허용,18.11.14,4명
145,퍼주면서 우리가 준다는걸 밝히지도못하냐,18.11.14,15명
146,전상수당 월 2만3천원 주는 대한민국,18.11.14,3명
147,민주노총도 문재인 배반했는데 나온나,18.11.14,11명
148,GP 철수 및 철거 왜한건가요?,18.11.14,25명
149,간도 연해주는 조선후기에도 우리땅이었다.,18.11.14,4명
150,흰 귤박스 2만개,18.11.14,20명
151,문재인은 핵실험으로 새벽잠 안설치는 것만 행복합니다!,18.11.14,5명
152,"北, 우리 NLL 인정했다더니… ""서해분계선 목숨 걸고 사수",18.11.14,6명
153,군대복무기간줄이자는말이있는데 3년으로늘려주세요,18.11.14,2명
154,북한 미사일기지에 대한 해명은 청와대 대변인이 아니라..,18.11.14,14명
155,문재인 대통령님 국방부분들 한국 군대 복무기간 얼른 12개월 이하로 줄여주세요,18.11.14,5명
156,복잡한 역학구도,18.11.14,0명
157,특전사 편의,18.11.14,1명
158,南 겨냥한 미사일 기지에도 ‘北 두둔’,18.11.14,11명
159,정부는 북한 대북지원 그만하세요.,18.11.14,30명
160,재외동포 선천적 이중국적제를 펴지하여 주십시요,18.11.14,2명
161,징병된 군인들의 숙식비를 개개인에게 청구하도록 법을 제정해주세요,18.11.14,6명
162,문재인 대통령님. 군인도 군부대에서 학점 쌓으면 학기 끝내는 제도 도입해주세요.,18.11.14,0명
163,현역 복무기간을 1년으로 과감히 줄입시다.,18.11.13,5명
164,문재인 대통령님. 과감한 국방개혁을 원하신다면 사회복무요원제도 개혁해야합니다.,18.11.13,0명
165,중국 소련 일본에 계신 독립열사 모셔오기를 청원합니다,18.11.13,9명
166,"CSIS 삭간몰 미사일기지 가짜뉴스, 팩트체크 적극 대응해주세요",18.11.13,3명
167,독도에세 방탄 소년단 공연을 하면 어떻겠습니까!! 독도는 우리땅,18.11.13,12명
168,중국에서 우리나라 VPN 돌려서 게임 접속하는거 차단해주세요,18.11.13,28명
169,김대변인님! 단거리 미사일이니 북한이 숨겨도 되는 겁니까!,18.11.13,11명
170,식민지화 되어가는 우리나라 그리고 외국인의 노예가 되어가고있는 자국민,18.11.13,16명
171,국회 운영위 국감…여야 ‘임종석 DMZ·판문점선언’ 놓고 공방,18.11.13,3명
172,우리 역사에 대해 해외에 제대로 홍보가 필요합니다,18.11.13,4명
173,이걸 보고 청원하시오,18.11.13,1명
174,Gop철수?? 북한은 아직도 미사일기지가 있는데???,18.11.13,27명
175,비상식이 상식처럼 되어가고 있는 나라. 대한민국입니다.,18.11.13,15명
176,캘로부대.8240유격대 국가유공 인증의 건,18.11.13,1명
177,대통령님 탄핵부탁드립니다,18.11.13,36명
178,입만열면 거짓말 하는 정부,18.11.13,18명
179,6.25 전쟁기간 군복무중 순직하신 부친 사망보상금에 대하여 도움을 얻고자 합니다.,18.11.13,0명
180,앞으로 군대갔다온 젊은이에게 혜택주세요,18.11.13,8명
181,국민은 청와대 말을 안믿는다..이미 돌아선지 오래~,18.11.13,23명
182,전상수당 월 2만3천원 주는 나라,18.11.13,2명
183,김대변인은 미확인 미사일기지에 다녀온거야??,18.11.13,8명
184,귤속에 담긴 것은 귤 + 평화염원,18.11.13,7명
185,일본의 역사 왜곡 및 징용자 관련해서 일본에 국민의 뜻을 모아 강경대응해 주세요.,18.11.13,6명
186,멕시코 대통령 당선자가 내놓는다는 787기체 대통령 전용기로 구입해주세요,18.11.13,1명
187,미신고 미사일기지를 왜 청와대에서 대변하나??,18.11.13,5명
188,여자도 군대 보내요!,18.11.13,1명
189,(종교적 볍역거부) 국군 해체 기도 대법관 탄핵,18.11.13,13명
190,"문대통령님, 북한에 퍼주기는 그만하시고, 대한민국이나 제대로 챙기시지요..",18.11.13,28명
191,김일성 동상에 귤즙 짜서 던집시다.,18.11.13,6명
