,단어명,빈도수
0,사건,321
1,처벌,315
2,살인,200
3,청원,157
4,폭행,148
5,이수역,138
6,강서구,108
7,인권,107
8,여성,87
9,폐지,86
10,국민,79
11,대한,70
12,피해자,68
13,미약,64
14,요청,63
15,심신,61
16,남성,59
17,사형제,57
18,사람,55
19,양심,54
20,관련,53
21,가해자,51
22,수사,50
23,사형,46
24,부활,46
25,범죄,45
26,강력,44
27,경찰,44
28,강화,43
29,조사,43
30,거부,43
31,여성가족부,42
32,공개,40
33,범죄자,40
34,요구,39
35,촉구,39
36,대한민국,39
37,보호,39
38,반대,38
39,여자,37
40,제발,36
41,불법,36
42,워마드,36
43,대해,36
44,엄벌,36
45,사회,34
46,장애인,33
47,폭력,32
48,남자,31
49,개인,31
50,병역,31
51,의무,29
52,조두순,29
53,피시방,29
54,사이트,28
55,양진호,27
56,디스크,27
57,나라,26
58,개정,26
59,제도,26
60,피의자,26
61,군대,25
62,신상,25
63,직장,25
64,구속,25
65,성폭행,25
66,문제,24
67,갑질,24
68,개선,24
69,평등,23
70,집행,23
71,문재인,22
72,성범죄,22
73,고발,22
74,폐쇄,22
75,시오,21
76,판사,21
77,페미,21
78,얼굴,21
79,모든,21
80,살인자,21
81,국가,20
82,학교,20
83,전국,20
84,시행,20
85,학생,20
86,제대로,19
87,규제,19
88,성폭력,19
89,기술,19
90,도입,18
91,교사,18
92,직원,18
93,회생,18
94,생각,18
95,교복,18
96,성희롱,17
97,인터넷,17
98,감형,17
99,공무원,17
100,차별,16
101,가족,16
102,대하,16
103,재판,16
104,법안,16
105,자유,16
106,금지,16
107,혐오,15
108,우리나라,15
109,판결,15
110,집단,15
111,언제,15
112,제정,15
113,교회,15
114,남녀,14
115,인정,14
116,이제,14
117,성추행,14
118,만행,14
119,축소,14
120,보상,14
121,동생,14
122,합법,14
123,보장,14
124,청소년,14
125,종교,14
126,국방,13
127,조폭,13
128,지금,13
129,신고,13
130,성매매,13
131,미성년,13
132,위안부,13
133,씨방,13
134,김성수,13
135,진상,12
136,혐의,12
137,검사,12
138,페미니즘,12
139,기사,12
140,삭제,12
141,남혐,12
142,경찰관,12
143,강제,12
144,유린,12
145,비리,12
