,Title,Date,count
0,현제 최저임금을 안지키는 업주가있네요,18.11.16,2명
1,백종원의 골목식당 폐지를 원합니다,18.11.16,10명
2,밥 ㅊㅊ좀,18.11.16,1명
3,경비원 기사 보시구 법이 좀 바뀌었으면 합니다,18.11.16,8명
4,취업이 너무 힘듭니다.,18.11.16,9명
5,카풀 반대합니다,18.11.16,11명
6,대통령님 최저시급 다시 내려주세요...ㅠㅠㅠㅠ,18.11.16,17명
7,광주형 일자리 .연봉 4000만원에서 만족 할까요?,18.11.16,3명
8,문가는 남에자리에서 내려오라,18.11.16,7명
9,힘들어 못살겠다,18.11.16,3명
10,죽어가는 중소기어,18.11.16,5명
11,"교육청과 식약처는 학교급식 식자재 행정지도,관리 똑바로 하십시오. 중소기업일자리, 소득 팍팍 줄어듭니다.",18.11.16,4명
12,공공기관 취업 시 경단녀 가산점 조정 또는 폐지하거나 경단남자에게도 적용 바랍니다.,18.11.16,3명
13,척페청산 공정한 사회 일자리 창출을 외치던 촛불정부에서 이런일이 벌어졌어야 되겠습니까,18.11.16,3명
14,"권성동, 염동렬, 전 강원랜드 사장에게 '구두로' 채용청탁을 하다!",18.11.16,7명
15,일자리 창출도 중용하지만 아웃소싱 회사의 갑질부터 고쳐주세요.,18.11.16,3명
16,일하고싶네요.,18.11.16,4명
17,사회적 약자를 향한 갑질 좀 멈추게 해주세요.,18.11.16,2명
18,비정규직 폐지 좀해주세요,18.11.16,5명
19,지방인재 가산점제도 폐지해주세요,18.11.16,5명
20,LG전자서비스 노조,18.11.16,9명
21,■ 국민은행 임원 정규직 친인척 채용비리  계열사 하청기업에 임원정규직 청년일자리 약탈이 조선을 망하게한 매관매직보다 심하다 전수조사후 임원정규직 파면하라 은행회장이 손녀채용의 모범을 보이니 임원 정규직 모두 계열사 하청기업 친인척채용비리가 무차별적 으로 자행되었다 일자리 약탈이란 죄의식도없다 더큰 문제는 이들이 원청기업 국민은행 임원정규직 힘을과시하며 직장내 갑질을 자행하고있다는점이다 하청기업 인력구조조정시 제일먼저 나가야마땅할 비리채용직원들이 힘없는 다른직원들을 몰아내는 사악한 갑질을 서슴치않고 이를위해 급조날조한 꼼수제도까지 만들어내다는것이다 대한민국 전공기업대기업에 만연한 이런행위들을 없애기위해 국민은행 비리 임원정규직들을 이번에 반드시 파면하여 한국전체에 본보기를 보여라 조선을 망하게한 매관매직 세습이 현대에 그망령이 되살아나고있다 끔찍한일이다,18.11.16,2명
22,노인일자리 올해보다 2배로 늘려야 어려운어르신분 모두 노인일자리 할 수 있어요,18.11.16,3명
23,내년에 노인일자리 조금 늘어나서 올해 노인일자리 하신분은 못할거라고 어떻게 사느냐고 걱정이세요,18.11.16,2명
24,놀고 먹는 공무원 그만좀 뽑아요,18.11.16,21명
25,생계형 약초꾼를 보호해 주세요,18.11.16,7명
26,삼성에 대한 수사를 빨리 마무리해 주세요!,18.11.16,8명
27,실업률 줄이는 방법,18.11.16,2명
28,"현대차에 일자리 강요하기전에 귀족노조(민노총, 한노총)부터 싹 없애주시지요~~",18.11.16,17명
29,택시 회사 등록제 / 1인 택시 회사 허용(개인사업자 - 개인택시와 동일),18.11.16,2명
30,방과 후 어린이 돌봄과 교육.가칭(행복한 나라),18.11.16,1명
31,"2019년 최저임금(8,350원/시) 적용을 차등 적용하거나 적용시점 지연을 부탁합니다",18.11.16,3명
32,우아한 신선들의 갑질횡포를 고발합니다.,18.11.16,37명
33,건설근로자 에게도 힘을~~~~~~~,18.11.16,8명
34,한국항공우주 사장 해임 요청,18.11.16,374명
35,토익 응시료 낮춰주세요!,18.11.16,1명
36,고등학생도  공무원 준비 하는 사회....개혁 필요 합니다.,18.11.16,5명
37,간호사협회비에대한 철저한 감사와 공개가 필요합니다,18.11.16,148명
38,일자리 좀 늘려 주세요,18.11.16,1명
39,서민은 힘들다...물가올라가고 세금올라가고...최저임금좀 그만 올려라...국민들 피 그만 빨아먹어라,18.11.16,15명
40,이게 나라입니까,18.11.16,25명
41,민주노총의 총파업으로 인하여 일어나는 손실액,18.11.16,13명
42,공기업의 공적 기능을 강화 해 주세요.,18.11.16,0명
43,무자격 작가의 작품 활동에 대한 과감한 고발과 바람,18.11.16,0명
44,일좀 하세요,18.11.16,4명
45,장애인들의 잘 살수있는 권리들을 만들어주세요,18.11.16,6명
46,청소년 노동 관련 부당대우 문제 해결을 위해 노동법 위반시 처벌을 강화해주세요,18.11.16,0명
47,엘지전자서비스노조,18.11.16,20명
48,엘지전자서비스 노조,18.11.16,19명
49,외국인 노동자들에게도 관심을 가져주세요,18.11.16,6명
50,중소기업에 일하는 직원들이 죽어납니다...,18.11.16,11명
51,국개의원의 사장은 누구인가?,18.11.15,4명
52,일자리 창출을 위한 신생기업을 육성해 주세요,18.11.15,3명
53,불법 체류자 35만명 빨리 추방하라.1년새 10만명 증가햇다.,18.11.15,13명
54,직업상담사의 현실,18.11.15,72명
55,학원이 필요없는 대한민국은 안되는건가요?,18.11.15,6명
56,택배기사님들에 노동환경을 개선해주세요,18.11.15,7명
57,일자리,18.11.15,1명
58,기어자동차 하청 업체를 비정규직 대우,18.11.15,4명
59,비정규직의 일괄적정규직화의  반대,18.11.15,3명
60,한국지엠 군산공장 매각추진,18.11.15,1명
61,현대자동차를 살리고 싶어요,18.11.15,8명
62,문제인 정권은 제발 북한 보다 대한민국을 걱정해라 서민경제가 최우선이다,18.11.15,18명
63,공공기관과 공기업 채용비리 - 보은•낙하산 인사,18.11.15,9명
64,장애인 활동보조인을 사회복지사나 요양보호사 등의 직업으로 편입시켜주세요,18.11.15,4명
65,카카오택시를(공유택시) 빠른시일내에  활성화 시켜주세요.,18.11.15,1명
66,■ 국민은행 임원 정규직 친인척 채용비리 계열사 하청기업에 임원정규직 청년일자리 약탈이 조선을 망하게한 매관매직보다 심하다 전수조사후 임원정규직 파면하라 은행회장이 손녀채용의 모범을 보이니 임원 정규직 모두 계열사 하청기업 친인척채용비리가 무차별적 으로 자행되었다 일자리 약탈이란 죄의식도없다 더큰 문제는 이들이 원청기업 국민은행 임원정규직 힘을과시하며 직장내 갑질을 자행하고있다는점이다 하청기업 인력구조조정시 제일먼저 나가야마땅할 비리채용직원들이 힘없는 다른직원들을 몰아내는 사악한 갑질을 서슴치않고 이를위해 급조날조한 꼼수제도까지 만들어내다는것이다 대한민국 전공기업대기업에 만연한 이런행위들을 없애기위해 국민은행 비리 임원정규직들을 이번에 반드시 파면하여 한국전체에 본보기를 보여라 조선을 망하게한 매관매직 세습이 현대에 그망령이 되살아나고있다 끔찍한일이다,18.11.15,7명
67,간호사들의 정상적인 듀티(근무표)를 보장해주세요,18.11.15,19명
68,기업이  있어야  일자리도  있는겁니다,18.11.15,14명
69,저는 법을 어겼습니다.,18.11.15,4명
70,52시간제 정말 문제입니다..,18.11.15,9명
71,소득주도성장이라는 거짓말 그만 했으면 좋겠어요,18.11.15,10명
72,사업자를 위한 법인가??노동자를 위한 법인가??,18.11.15,6명
73,국책 공공기관 취준생절망 고용세습 유야무야 안된다.,18.11.15,3명
74,GTA온라인  중국인 접속 못하게 해주세요,18.11.15,3명
75,일자리 증대 및 자영업자 지원 정책의 방향,18.11.15,2명
76,존경하는 대통령님 중소기업 고발합니다.  법좀 만들어주세요,18.11.15,6명
77,체당금 상한선이 왜 나이제한인가요?,18.11.15,1명
78,경찰의 여경할당을 늘리고 여경 상시근무제를 시행해야합니다!,18.11.15,4명
79,일자리,18.11.15,2명
80,모든 기업이 자소서 형식을 하나로 통일하게 해 주세요! 자소서 쓰다가 머리에 쥐 날 거 같습니다.,18.11.15,4명
81,일은 안하고 돈만 탐내는 쓰레기집단 귀족노조를 없애주세요~~,18.11.15,25명
82,IT개발자도 52시간 근로시간 준수 필요,18.11.15,7명
83,국토교통부와 산업인력공단은 29회 공인중개사 응시자에게 사과하라,18.11.15,40명
84,추운 겨울이 오고 있다. 사회주의 정권에서 한번도 경제는 부흥한 적이 없다.,18.11.15,8명
85,공정경제? 국민들이 취업되고 잘사는 게 공정경제다.,18.11.15,5명
86,꼭 읽어봐주세요~~(경주시 **산업),18.11.15,6명
87,알고 있지? 경제 망하면 정권 교체 된다는 거.,18.11.15,15명
88,엘지전자서비스 불법도급.제가 전에올려3000명넘게 동의해주신내용 다시한번 올립니다,18.11.15,67명
89,공인중개사 시험개선촉구,18.11.15,26명
90,대기업이 일할수 있는 환경을 만들어주세요,18.11.15,8명
91,경찰채용비리 검찰이 나서서 수사하도록 해주세요,18.11.15,193명
92,탄력근로제 무조건 반대!!!!!,18.11.15,8명
93,산재,18.11.15,3명
94,●청년일자리약탈범 국민은행회장 집행유예 풀어주면 이나라법은 유전무죄법 걸레법 빤스고무줄법 이다 그런 빤스 고무줄법을 국민들이 지키고 싶겠는가 관련판검사의 업적을 길이 보존하기위해 온국민에  알려야한다 일자리정부는 사기가짜라는 증명이된다 현정부의 도덕성에 치유불가 치명타를 입히고 사기촛불을 뛰어넘는 진짜거대 촛불을 보게될것이다,18.11.15,2명
95,운동선수출신들이 (여)경찰을 희망합니다.,18.11.15,5명
96,LG전자서비스기사입니다.  LG서비스에 대한 특별근로감독을 실시해 주세요!,18.11.15,109명
97,제발 이런데 돈 갖다 버리지 맙시다.,18.11.15,3명
98,제발 국민들 돈으로 일자리 창출 높이려고 쓸데없이 낭비 마시기 바랍니다.,18.11.15,14명
99,산불감시원 불공정 채용심사,18.11.14,3명
100,화물트럭 운전하시는 사장님들의 고충을 들어주세요,18.11.14,15명
101,국가 권력을 농단하는 독과점 대기업들 엄단하라!,18.11.14,1명
102,재건축 시공  건설업체들의 국가농단 엄단하라!,18.11.14,2명
103,취업 난 한국산업인력공단 감독관 갑질,18.11.14,5명
104,서민들 일자리 좀 주세요 서민들 다 굵어 죽어요 어떻게 전 정부 보다 실업률이 높아요 서민들 다 죽겠네요,18.11.14,7명
105,일자리 늘리기,18.11.14,3명
106,사업자 등록증과 의료 보험료를 별개로 해주세요,18.11.14,4명
107,실업급여 과다 지급으로 고용 불안 야기,18.11.14,2명
108,경찰수험시장의 교육기업내 직원들의 댓글조작이 심각합니다,18.11.14,2명
109,베이비 붐 퇴직 세대 일자리 지원,18.11.14,4명
110,주52시간제도 누구를 위한겁니까?,18.11.14,11명
111,청년내일채움공제 ..봐주세요,18.11.14,0명
112,공인중개사시험상대평가하여 1년에 5천명이하로 뽑아주세요,18.11.14,15명
113,강사법에 대학평가 가산점을 부여하고 사립대에도 지원을 바랍니다.,18.11.14,4명
114,"육안 확인이 명백한 하자 차량을 출고, 판매하는 쌍용차(노조)를 고발한다.",18.11.14,4명
115,건설 공제조합에낸 공제금을 받도록 해주세요,18.11.14,2명
116,시급이 오른데신  일자리는 줄어들었습니다. 조치좀 해주세요 /,18.11.14,10명
117,공공기간 계약직에서 정규직전환으로 인한 장년층 근로년한 축소 보완요구,18.11.14,2명
118,"일자리, 출산율 증가 아이디어 제안합니다.",18.11.14,0명
119,상지영서대학교 비정년트랙 전임교원에 대한 부당해고 건,18.11.14,6명
120,광주형 일자리 추진하는 이용섭 시장 탄핵,18.11.14,5명
121,잩이 살자고 하는 정책인가요?,18.11.14,7명
122,귤2만박스,18.11.14,17명
123,일자리 제공 사기,18.11.14,14명
124,두줄서기 도우미,18.11.14,1명
125,"문정부가 대통령된후 공인중개사, 주택관리사 난이도",18.11.14,14명
126,청년적금? 때문에 회사 다니기가...,18.11.14,1명
127,임용절벽 해결책   교사 정년 단축에 있습니다.,18.11.14,4명
128,문재인=4대강 22조이면 일자리100만개 만들수 있어,18.11.14,20명
129,"청소년,여성들에게 담배판매 금지시키고 전자담배도 판매금지 시켜주세요.",18.11.14,4명
130,심각한 경제상황 이런식이면 국가부도가 멀지 않았다.,18.11.14,9명
131,실업해소 방안,18.11.14,0명
132,힘든 서민살이에  관심없는  정부와  청와대,18.11.14,12명
133,힘든 서민살이에  관심없는  정부와  청와대,18.11.14,4명
134,사회복지사나 요양보호사 자격증을 무료로 취득시키게 해주세요,18.11.14,4명
135,광주형 싸구려 일자리창출 아무런 효력도 없습니다.,18.11.14,2명
136,청년 실업률이 너무 심합니다,18.11.14,18명
137,야간증권거래소를개장해주세요,18.11.14,0명
138,15시간 작업에 2시간 수면 전 노예인가요?,18.11.14,9명
139,현대 임금만 줄이지 말고 의사들도 oecd 평균에 맞게 현재 보다 1/3 로 줄여주세요~,18.11.14,9명
140,땀을 흘리고 일을 많이 하는 사람이 돈을 많이 버는 시스템을 원합니다,18.11.14,7명
141,비정규직 문제는 언제 해결 하실건가요? 망설이는 사이 한 가정의 가장이 실업자가 되었습니다.,18.11.14,5명
142,김연명수석은 바보인가 선동가인가?,18.11.13,1명
143,취업하기 너무 어려워요,18.11.13,7명
144,민주노총과  공무원 노조를  제거해주세요,18.11.13,15명
145,수급자들도 일을 하게 해야 합니다,18.11.13,5명
146,광주형 일자리,18.11.13,1명
147,최저시급 도대체 얼마나 더 올리려고 그러십니까..,18.11.13,10명
148,두달째 받지 못하는 월급,18.11.13,9명
149,유은혜 장관님 유치원 폐원한다는데.....,18.11.13,37명
