,단어명,빈도수
0,양심,336
1,거부,305
2,병역,299
3,북한,172
4,국민,151
5,대한민국,98
6,청원,87
7,군대,80
8,문재인,76
9,국가,67
10,대한,67
11,나라,56
12,판결,55
13,일본,54
14,무죄,54
15,종교,49
16,의무,49
17,남북,45
18,복무,43
19,선언,43
20,김정은,40
21,평양,40
22,참전,39
23,관련,38
24,반대,38
25,예비군,37
26,대체복무,37
27,국방,37
28,처벌,33
29,우리,32
30,대해,31
31,양심적병역거부,31
32,대법원,31
33,중국,30
34,사람,30
35,통일,30
36,여호와,29
37,증인,28
38,냉면,27
39,추방,27
40,난민,27
41,폐지,26
42,요청,26
43,훈련,26
44,문제,24
45,보상,24
46,임종석,24
47,비준,24
48,군인,23
49,군복무,23
50,대북,23
51,비핵화,22
52,모두,22
53,인정,22
54,제발,22
55,철회,22
56,합의,22
57,제도,21
58,철수,21
59,이제,21
60,정권,20
61,독도,20
62,제재,19
63,평화,19
64,요원,19
65,탄핵,19
66,필자,19
67,병역기피,19
68,국방부,18
69,지금,18
70,예수,18
71,유공,18
72,대체,18
73,상수,18
74,공청회,18
75,여성,17
76,생각,17
77,하나요,17
78,목구멍,17
79,금지,17
80,군사,17
81,외교,16
82,지원,16
83,강제,16
84,용어,16
85,장관,16
86,우리나라,16
87,국군,16
88,사회,16
89,대법관,16
90,경제,16
91,공개,16
92,미국,16
93,부자,16
94,위해,15
95,세금,15
96,미사일,15
97,조사,15
98,사업,15
99,무죄판결,15
100,해결,14
101,해체,14
102,전쟁,14
103,세계,14
104,판문점,14
105,촉구,14
106,미세먼지,14
107,면제,14
108,기간,13
109,시오,13
110,사건,13
111,제안,13
112,사과,13
113,대하,13
114,파면,13
115,모병제,13
116,정말,13
117,예멘,13
118,대응,12
119,안보,12
120,요구,12
121,참전용사,12
122,보고,12
123,징용,12
124,사용,12
125,남자,12
126,헌법,12
127,조선족,12
128,가요,11
129,회담,11
130,한국인,11
131,예산,11
132,국민투표,11
133,기지,11
134,역사,11
135,변경,11
136,하라,11
137,국회,11
138,정책,11
139,유럽,11
140,명예,11
141,건의,11
142,조명,11
143,실패,11
144,연락,11
145,사무소,11
146,누가,10
147,지뢰,10
148,방안,10
149,방문,10
150,이상,10
151,위원장,10
152,철거,10
153,근무,10
154,취소,10
155,배상,10
156,위반,10
157,지방,10
158,병역의무,10
159,해임,10
160,아들,9
161,입국,9
162,한반도,9
163,여러분,9
164,대변인,9
165,개발,9
166,완화,9
167,관계,9
168,사이판,9
169,공익,9
170,여호와증인,9
171,개선,9
172,전시,9
173,현역,9
174,혜택,9
175,주지,9
176,거리,9
177,지역,9
178,교육,9
179,대책,9
180,방탄소년단,9
181,국방의무,9
182,동결,9
183,징병제,9
184,리비아,9
185,수당,9
186,국제,8
187,월급,8
188,하나,8
189,폐기,8
190,피해,8
191,진행,8
192,가짜,8
193,계속,8
194,방법,8
195,지급,8
196,시간,8
197,제대로,8
198,조롱,8
199,병장,8
200,행위,8
201,장병,8
202,가족,8
203,종전,8
204,당장,8
205,유출,8
206,공동,8
207,이행,8
208,통일부,8
209,북미,7
210,남한,7
211,발전,7
212,철도,7
213,체포,7
214,재판,7
215,방탄,7
216,목숨,7
217,답변,7
218,제거,7
219,태세,7
220,무장,7
221,조선,7
222,외국인,7
223,전환,7
224,특정,7
225,인상,7
226,준비,7
227,민방위,7
228,협상,7
229,위헌,7
230,고발,7
231,명칭,7
232,이집트,7
233,다문화,7
234,발언,7
235,중단,7
236,동의,7
237,국적,7
238,판사,7
239,병무청,7
240,동영상,7
241,사실,7
242,규명,6
243,결정,6
244,차별,6
245,베트남,6
246,허가,6
247,북핵,6
248,진실,6
249,해외,6
250,입장,6
251,이용,6
252,좌파,6
253,인권,6
254,감시,6
255,도입,6
256,강화,6
257,다른,6
258,모든,6
259,경찰,6
260,개혁,6
261,정상,6
262,개인,6
263,우리땅,6
264,제정,6
265,군부,6
266,전용기,6
267,기도,6
268,투표,6
269,이전,6
270,건설,6
271,월남전,6
272,투수,6
273,여권,6
274,평화통일,6
275,유권,6
276,항의,6
277,뭔가,6
278,시설,6
279,유해,6
280,국내,6
281,장교,6
282,해제,6
283,이란,6
284,공식,6
285,기준,6
286,전면,6
287,절대,6
288,무효,6
289,소리,6
290,아마추어,6
291,무장해제,6
292,사단,6
293,사태,6
294,대신,6
295,정신,6
296,로서,6
297,남북관계,6
298,비서실,6
299,부사관,6
300,전재수,6
301,국정감사,6
302,경북,6
303,먼저,6
304,사고,5
305,진상,5
306,부활,5
307,대사관,5
308,작업,5
309,구체,5
310,남북한,5
311,시민,5
312,발표,5
313,대체복무제,5
314,가해자,5
315,필요,5
316,하자,5
317,방송,5
318,지지,5
319,거짓말,5
320,건가,5
321,자격,5
322,불법,5
323,자유,5
324,유승준,5
325,연해주,5
326,박스,5
327,징병,5
328,청구,5
329,적극,5
330,상식,5
331,부대,5
332,현재,5
333,어디,5
334,검토,5
335,초소,5
336,비리,5
337,방어,5
338,대마도,5
339,차라리,5
340,전방,5
341,병력,5
342,장군,5
343,송환,5
344,교류,5
345,출신,5
346,보수,5
347,아이,5
348,수송기,5
349,내용,5
350,활용,5
351,수용,5
352,중지,5
353,의견,5
354,육군,5
355,전부,5
356,얘기,5
357,기밀,5
358,정보,5
359,판단,5
360,김해,5
361,조건,5
362,신청,5
363,조국,5
364,소송,5
365,예비역,5
366,무엇,5
367,남성,5
368,사이비,5
369,관광,5
370,자주포,5
371,라면,5
372,장현수,5
373,특례,5
374,횡포,5
375,코스피,5
376,고립,5
377,이찬호,5
378,이하,4
379,옥류관,4
380,산이,4
381,병사,4
382,자진,4
383,설치,4
384,여자도,4
385,남녀,4
386,법률,4
387,임명,4
388,폭행,4
389,주장,4
390,표현,4
391,시기,4
392,천안함,4
393,이적,4
394,얼른,4
395,외교부,4
396,범죄,4
397,뉴스,4
398,추천,4
399,무슨,4
400,내란,4
401,포기,4
402,칭송,4
403,국외,4
404,여기,4
405,단축,4
406,한번,4
407,간도,4
408,해명,4
409,나이,4
410,언제,4
411,그것,4
412,진짜,4
413,헬기,4
414,생산,4
415,수정,4
416,주기,4
417,살인,4
418,식량,4
419,제제,4
420,처리,4
421,단체,4
422,국정,4
423,국기,4
424,구속,4
425,사하라,4
426,대규모,4
427,연설,4
428,파괴,4
429,트럼프,4
430,연금,4
431,조현,4
432,위기,4
433,협력,4
434,간부,4
435,위원회,4
436,답방,4
437,보호,4
438,학살,4
439,고려,4
440,작전,4
441,규탄,4
442,찬양,4
443,국회의원,4
444,즉시,4
445,인도,4
