,Title,Date,count
0,여학생의 교복바지를 학교선택제가 아닌 학교 의무화 해주세요.,18.11.15,11명
1,손님 갑질에 대한 법률규정은 왜 없나요?,18.11.15,12명
2,중학교 운동회날에 휴대폰을 가져가신 선생님,18.11.15,8명
3,학생들은 자출산인 우리나라의..미래입니다 자신을 꾸밀 권리가 있습니다,18.11.15,4명
4,동성애는 죄악입니다.,18.11.15,59명
5,세상에 공짜는 없죠 ?,18.11.15,1명
6,더이상 여자들의 갑질을 묵과하지 마세요(맘카페 등),18.11.15,45명
7,언더아머 단속반 저지,18.11.15,2명
8,회식문화 제발 없애주세요,18.11.15,10명
9,군대 상근 병사 스트레스 받는 이유,18.11.15,2명
10,성범죄 공소시효 폐지하라.대구 여대생 강간범 스리랑카인들 처벌하라.,18.11.15,32명
11,당연한 것이지만 생리대를 무료로 제공해주세요,18.11.15,6명
12,이재명지사 철저히 조사 해주세요.  아니 땐 굴뚝에 연기 납니까???,18.11.15,10명
13,소방관 체력기준,18.11.15,2명
14,맘카페 폐쇄요청합니다.,18.11.15,180명
15,김포 어린이집교사 자살 관련자처벌 신상털기. 갑질이모및 어린이집원장 수사요청,18.11.15,332명
16,남자 군대 징병제에서 모병제로 전환,18.11.15,8명
17,긴 글이라도 한번만 제발 읽어주세요.,18.11.15,11명
18,아니면 주민번호에 추가로 열자리이상의 개인식변번호 사용 요구,18.11.15,1명
19,김포맘카페사건 관련: 유아교사의 인권보호도 국가가 책임져주세요,18.11.15,"2,257명"
20,보육교사 자살사건,18.11.15,207명
21,맘카페 폐쇄를 청원합니다,18.11.15,225명
22,주민등록번호 개인이 자율변경가능하게 해주세요,18.11.15,2명
23,사이버성폭력 피해자는 국가가 보호해 주세요,18.11.15,29명
24,탈북민을 국민에서 배제하는 조명균은 즉각사퇴하라,18.11.15,277명
25,곰탕집 추행사건에 대해 답했던 여성 청와대 대변인을 해고시키고 다시 답변해주세요,18.11.15,29명
26,개인이 신상을 털기 금지해주세요,18.11.15,40명
27,동성애 연구조사,18.11.15,201명
28,청와대는 왜 함부로 글을 지우는거죠,18.11.15,16명
29,어린이 여교사 자살법 무분별한 마녀사냥 처벌해주세요,18.11.15,116명
30,남녀차별없는 성평등한 징병제를 만들어주세요.,18.11.15,5명
31,"리벤지성희롱, 성추행 막아주세요.",18.11.15,9명
32,김포 맘카페 마녀사냥으로 인한 보육교사의 자살,18.11.15,355명
33,김포맘까페  운영자와  죽은여교사 에게 폭언유언비어한공모자들 처벌 바람니다,18.11.15,228명
34,이혼소송안하고 남편월급에서 생활비를 받을수있게해주세요,18.11.15,6명
35,여자들도 국방의 의무를 하도록 청원드립니다,18.11.15,10명
36,김포 맘카페 가해자들 조사및 엄히 처벌해 주십시오,18.11.15,"3,074명"
37,"김포 맘카페처럼 집단으로 여론몰이,마녀사냥 하는것좀 막아주세요",18.11.15,159명
38,여자들에게 국방세를 걷어야합니다,18.11.15,20명
