,경제단어
4229,"('공연', 8)"
4230,"('고액', 8)"
4231,"('샌드위치', 8)"
4232,"('배추', 8)"
4233,"('엠에스', 8)"
4234,"('전동차', 8)"
4235,"('리뉴얼', 8)"
4236,"('두바이', 8)"
4237,"('항암', 8)"
4238,"('이개', 8)"
4239,"('병용', 8)"
4240,"('암초', 8)"
4241,"('아르헨티나', 8)"
4242,"('고심', 8)"
4243,"('아반떼', 8)"
4244,"('러시', 8)"
4245,"('일만', 8)"
4246,"('상당', 8)"
4247,"('시술', 8)"
4248,"('경감', 8)"
4249,"('생체', 8)"
4250,"('리버', 8)"
4251,"('똘똘', 8)"
4252,"('명칭', 8)"
4253,"('정장', 8)"
4254,"('반드시', 8)"
4255,"('소수', 8)"
4256,"('방치', 8)"
4257,"('가수', 8)"
4258,"('코코', 8)"
4259,"('힐스테이트', 8)"
4260,"('봇', 8)"
4261,"('인증서', 8)"
4262,"('순간', 8)"
4263,"('중재', 8)"
4264,"('모니터', 8)"
4265,"('회피', 8)"
4266,"('컨테이너선', 8)"
4267,"('이내', 8)"
4268,"('중구', 8)"
4269,"('칠레', 8)"
4270,"('공론', 8)"
4271,"('위약금', 8)"
4272,"('가뭄', 8)"
4273,"('출국', 8)"
4274,"('천식', 8)"
4275,"('생건', 8)"
4276,"('상무부', 8)"
4277,"('전문성', 8)"
4278,"('젊은이', 8)"
4279,"('베이', 8)"
4280,"('관절', 8)"
4281,"('조속', 8)"
4282,"('대가', 8)"
4283,"('정정', 8)"
4284,"('공백', 8)"
4285,"('에어백', 8)"
4286,"('발령', 8)"
4287,"('서머', 8)"
4288,"('신영', 8)"
4289,"('카운트', 8)"
4290,"('잔고', 8)"
4291,"('유연', 8)"
4292,"('광교', 8)"
4293,"('심야', 8)"
4294,"('성모', 8)"
4295,"('보조', 8)"
4296,"('캐시', 8)"
4297,"('포레', 8)"
4298,"('고장', 8)"
4299,"('한독', 8)"
4300,"('폴리', 8)"
4301,"('육아휴직', 8)"
4302,"('배임', 8)"
4303,"('명의', 8)"
4304,"('조인트', 8)"
4305,"('카스', 8)"
4306,"('학기', 8)"
4307,"('부행', 8)"
4308,"('조리', 8)"
4309,"('조심', 8)"
4310,"('대사', 8)"
4311,"('손안', 8)"
4312,"('노로바이러스', 8)"
4313,"('로열', 8)"
4314,"('멸종', 8)"
4315,"('탈모', 8)"
4316,"('초코파이', 8)"
4317,"('금토', 8)"
4318,"('물가상승률', 8)"
4319,"('춘천', 8)"
4320,"('양제', 8)"
4321,"('풍산', 8)"
4322,"('모멘텀', 8)"
4323,"('김형', 8)"
4324,"('디스', 8)"
4325,"('끼리', 8)"
4326,"('행렬', 8)"
4327,"('조문', 8)"
4328,"('제네바', 8)"
4329,"('김영란', 8)"
4330,"('힐링', 7)"
4331,"('류마티스', 7)"
4332,"('애널', 7)"
4333,"('커넥티드카', 7)"
4334,"('장외', 7)"
4335,"('기타', 7)"
4336,"('쪽', 7)"
4337,"('수험생', 7)"
4338,"('퀵', 7)"
4339,"('텔', 7)"
4340,"('협주', 7)"
4341,"('마당', 7)"
4342,"('꼬', 7)"
4343,"('제련', 7)"
4344,"('수능', 7)"
4345,"('그랜드', 7)"
4346,"('추억', 7)"
4347,"('일수', 7)"
4348,"('트롬', 7)"
4349,"('논쟁', 7)"
4350,"('비상등', 7)"
4351,"('불사', 7)"
4352,"('협동조합', 7)"
4353,"('시사', 7)"
4354,"('스테이', 7)"
4355,"('삼', 7)"
4356,"('수혈', 7)"
4357,"('수행', 7)"
4358,"('불안감', 7)"
4359,"('퇴임', 7)"
4360,"('겸직', 7)"
4361,"('체외', 7)"
4362,"('훼손', 7)"
4363,"('노키아', 7)"
4364,"('규격', 7)"
4365,"('빌라', 7)"
4366,"('할부', 7)"
4367,"('안경', 7)"
4368,"('윤활유', 7)"
4369,"('종사', 7)"
4370,"('더블유', 7)"
4371,"('반박', 7)"
4372,"('입자', 7)"
4373,"('만원', 7)"
4374,"('합격', 7)"
4375,"('드래곤', 7)"
4376,"('비비고', 7)"
4377,"('플래그', 7)"
4378,"('연말정산', 7)"
4379,"('출품', 7)"
4380,"('초미세먼지', 7)"
4381,"('빈집', 7)"
4382,"('최적', 7)"
4383,"('시스코', 7)"
4384,"('관사', 7)"
4385,"('스마트워치', 7)"
4386,"('유니콘', 7)"
4387,"('강의', 7)"
4388,"('쓴소리', 7)"
4389,"('절약', 7)"
4390,"('패러다임', 7)"
4391,"('블루홀', 7)"
4392,"('몰이', 7)"
4393,"('우승', 7)"
4394,"('부양책', 7)"
4395,"('무대', 7)"
4396,"('취준생', 7)"
4397,"('간판', 7)"
4398,"('활기', 7)"
4399,"('화력발전', 7)"
4400,"('출혈', 7)"
4401,"('직접투자', 7)"
4402,"('고기', 7)"
4403,"('벌', 7)"
4404,"('실감', 7)"
4405,"('측정기', 7)"
4406,"('다양', 7)"
4407,"('투자가', 7)"
4408,"('옥션', 7)"
4409,"('본점', 7)"
4410,"('해당', 7)"
4411,"('삼익', 7)"
4412,"('콜라보', 7)"
4413,"('이크', 7)"
4414,"('피로', 7)"
4415,"('함유', 7)"
4416,"('뒷북', 7)"
4417,"('손상', 7)"
4418,"('컴퓨팅', 7)"
4419,"('혹사', 7)"
4420,"('경질', 7)"
4421,"('현정은', 7)"
4422,"('중증', 7)"
4423,"('대한해운', 7)"
4424,"('블로그', 7)"
4425,"('벨트', 7)"
4426,"('비서실', 7)"
4427,"('사연', 7)"
4428,"('제제', 7)"
4429,"('정기예금', 7)"
4430,"('안주', 7)"
4431,"('전가', 7)"
4432,"('안정화', 7)"
4433,"('주방', 7)"
4434,"('야구', 7)"
4435,"('부패', 7)"
4436,"('태양전지', 7)"
4437,"('초소', 7)"
4438,"('해수부', 7)"
4439,"('금물', 7)"
4440,"('직업', 7)"
4441,"('출석', 7)"
4442,"('비명', 7)"
4443,"('시흥', 7)"
4444,"('자식', 7)"
4445,"('프리미어', 7)"
4446,"('전시관', 7)"
4447,"('부터', 7)"
4448,"('숫자', 7)"
4449,"('공제', 7)"
4450,"('도주', 7)"
4451,"('버', 7)"
4452,"('레볼루션', 7)"
4453,"('관점', 7)"
4454,"('톡신', 7)"
4455,"('가량', 7)"
4456,"('디렉터', 7)"
4457,"('국방', 7)"
4458,"('청사', 7)"
4459,"('사표', 7)"
4460,"('폐점', 7)"
4461,"('어가', 7)"
4462,"('연쇄', 7)"
4463,"('가상화', 7)"
4464,"('청원', 7)"
4465,"('레벨', 7)"
4466,"('감당', 7)"
4467,"('양식', 7)"
4468,"('램프', 7)"
4469,"('마약', 7)"
4470,"('리안', 7)"
4471,"('욱', 7)"
4472,"('묶인', 7)"
4473,"('늪', 7)"
4474,"('가면', 7)"
4475,"('도이치', 7)"
4476,"('입출금', 7)"
4477,"('한마디', 7)"
4478,"('천연가스', 7)"
4479,"('제빵', 7)"
4480,"('표시', 7)"
4481,"('연산', 7)"
4482,"('마크', 7)"
4483,"('맞벌이', 7)"
4484,"('생산자', 7)"
4485,"('언론사', 7)"
4486,"('그랜저', 7)"
4487,"('벼랑', 7)"
4488,"('자가', 7)"
4489,"('메뉴', 7)"
4490,"('회서', 7)"
4491,"('파킨슨병', 7)"
4492,"('날씨', 7)"
4493,"('퓨리', 7)"
4494,"('둥지', 7)"
4495,"('헌혈', 7)"
4496,"('해명', 7)"
4497,"('위상', 7)"
4498,"('아이스', 7)"
4499,"('스킨푸드', 7)"
4500,"('백두산', 7)"
4501,"('재킷', 7)"
4502,"('표정', 7)"
4503,"('고양', 7)"
4504,"('광역', 7)"
4505,"('레이싱', 7)"
4506,"('부합', 7)"
4507,"('관찰', 7)"
4508,"('닷', 7)"
4509,"('바이두', 7)"
4510,"('먹통', 7)"
4511,"('머티리얼즈', 7)"
4512,"('쿠쿠', 7)"
4513,"('행정소송', 7)"
4514,"('이천', 7)"
4515,"('드라이버', 7)"
4516,"('동산', 7)"
4517,"('알뜰', 7)"
4518,"('별개', 7)"
4519,"('금연', 7)"
4520,"('상시', 7)"
4521,"('청량리', 7)"
4522,"('삐', 7)"
4523,"('쑈핑', 7)"
4524,"('상자', 7)"
4525,"('사절단', 7)"
4526,"('약물', 7)"
4527,"('스키', 7)"
4528,"('하드웨어', 7)"
4529,"('제조업체', 7)"
4530,"('김승연', 7)"
4531,"('무장', 7)"
4532,"('레이스', 7)"
4533,"('시네마', 7)"
4534,"('금리인하', 7)"
4535,"('한판', 7)"
4536,"('예능', 7)"
4537,"('유일', 7)"
4538,"('실물', 7)"
4539,"('노크', 7)"
4540,"('다중', 7)"
4541,"('휴업', 7)"
4542,"('풋', 7)"
4543,"('셰프', 7)"
4544,"('말로', 7)"
4545,"('한세상', 7)"
4546,"('출력', 7)"
4547,"('별도', 7)"
4548,"('위장', 7)"
4549,"('총회', 7)"
4550,"('배우자', 7)"
4551,"('삼다수', 7)"
4552,"('서프라이즈', 7)"
4553,"('중진', 7)"
4554,"('차병원', 7)"
4555,"('가득', 7)"
4556,"('고시', 7)"
4557,"('진행중', 7)"
4558,"('명수', 7)"
4559,"('정보화', 7)"
4560,"('한중', 7)"
4561,"('여유', 7)"
4562,"('경주', 7)"
4563,"('사물인터넷', 7)"
4564,"('기어', 7)"
4565,"('국제선', 7)"
4566,"('육아', 7)"
4567,"('승객', 7)"
4568,"('물컵', 7)"
4569,"('신촌', 7)"
4570,"('만성', 7)"
4571,"('우리나라', 7)"
4572,"('중앙대', 7)"
4573,"('한글과컴퓨터', 7)"
4574,"('도나', 7)"
4575,"('도쿄', 7)"
4576,"('둘', 7)"
4577,"('이프', 7)"
4578,"('김준', 7)"
4579,"('유니', 7)"
4580,"('정치권', 7)"
4581,"('빈폴', 7)"
4582,"('본계약', 7)"
4583,"('재배', 7)"
4584,"('여기', 7)"
4585,"('례', 7)"
4586,"('고용노동부', 7)"
4587,"('정복', 7)"
4588,"('경로', 7)"
4589,"('유동성', 7)"
4590,"('라벨', 7)"
4591,"('패', 7)"
4592,"('저커버그', 7)"
4593,"('소요', 7)"
4594,"('매직', 7)"
4595,"('선포', 7)"
4596,"('윤종규', 7)"
4597,"('김용환', 7)"
4598,"('놀이터', 7)"
4599,"('유통업체', 7)"
4600,"('결성', 7)"
4601,"('전액', 7)"
4602,"('인승', 7)"
4603,"('제보', 7)"
4604,"('네이버웹툰', 7)"
4605,"('내비게이션', 7)"
4606,"('턴', 7)"
4607,"('세부', 7)"
4608,"('수두', 7)"
4609,"('아크', 7)"
4610,"('민주', 7)"
4611,"('고화질', 7)"
4612,"('기도', 7)"
4613,"('워싱턴', 7)"
4614,"('아모레', 7)"
4615,"('대의', 7)"
4616,"('마녀', 7)"
4617,"('마치', 7)"
4618,"('자카르타', 7)"
4619,"('도시철도', 7)"
4620,"('전기레인지', 7)"
4621,"('케이크', 7)"
4622,"('투어', 7)"
4623,"('뇌졸중', 7)"
4624,"('이동통신', 7)"
4625,"('가위', 7)"
4626,"('엄격', 7)"
4627,"('모건스탠리', 7)"
4628,"('일터', 7)"
4629,"('강관', 7)"
4630,"('라이', 7)"
4631,"('케냐', 7)"
4632,"('바이럴', 7)"
4633,"('황제', 7)"
4634,"('정제', 7)"
4635,"('항로', 7)"
4636,"('김해', 7)"
4637,"('구청', 7)"
4638,"('도수', 7)"
4639,"('크라운', 7)"
4640,"('기지개', 7)"
4641,"('충북', 7)"
4642,"('당혹', 7)"
4643,"('변', 7)"
4644,"('영토', 7)"
4645,"('꽁꽁', 7)"
4646,"('기흥', 7)"
4647,"('버핏', 7)"
4648,"('어음', 7)"
4649,"('에스원', 7)"
4650,"('엑스', 7)"
4651,"('쿼터', 7)"
4652,"('통행료', 7)"
4653,"('골든타임', 7)"
4654,"('치명', 7)"
4655,"('페트병', 7)"
4656,"('치맥', 7)"
4657,"('죄', 7)"
4658,"('현금화', 7)"
4659,"('초당', 7)"
4660,"('균형', 7)"
4661,"('자립', 7)"
4662,"('인하대병원', 7)"
4663,"('당선', 7)"
4664,"('컬러', 7)"
4665,"('남부', 7)"
4666,"('출격', 7)"
4667,"('합류', 7)"
4668,"('의학', 7)"
4669,"('청문회', 7)"
4670,"('무덤', 7)"
4671,"('뜻', 7)"
4672,"('체인지', 7)"
4673,"('충남', 7)"
4674,"('추세', 7)"
4675,"('양재', 7)"
4676,"('가로수길', 7)"
4677,"('호흡', 7)"
4678,"('효능', 7)"
4679,"('곡물', 7)"
4680,"('여론', 7)"
4681,"('응원', 7)"
4682,"('소화', 7)"
4683,"('휴일', 7)"
4684,"('수령', 7)"
4685,"('전반', 7)"
4686,"('추구', 7)"
4687,"('포트폴리오', 7)"
4688,"('레이크', 7)"
4689,"('옐로', 7)"
4690,"('실증', 7)"
4691,"('경우', 7)"
4692,"('올핸', 7)"
4693,"('꿈틀', 7)"
4694,"('문화센터', 7)"
4695,"('설문', 7)"
4696,"('강변', 7)"
4697,"('냉방', 7)"
4698,"('시각', 7)"
4699,"('악성', 7)"
4700,"('마곡지구', 7)"
4701,"('아이언', 7)"
4702,"('총장', 7)"
4703,"('음식점', 7)"
4704,"('여종', 7)"
4705,"('재선', 7)"
4706,"('안착', 7)"
4707,"('다카', 7)"
4708,"('서초구', 7)"
4709,"('교육부', 7)"
4710,"('페라리', 7)"
4711,"('선착순', 7)"
4712,"('상조', 7)"
4713,"('정원', 7)"
4714,"('메신저', 7)"
4715,"('레고', 7)"
4716,"('햄버거', 7)"
4717,"('휴식', 7)"
4718,"('떡', 7)"
4719,"('야생', 7)"
4720,"('무관', 7)"
4721,"('가즈', 7)"
4722,"('방역', 7)"
4723,"('점화', 7)"
4724,"('소집', 7)"
4725,"('금호아시아나', 7)"
4726,"('박현주', 7)"
4727,"('아래', 7)"
4728,"('다짐', 7)"
4729,"('방한', 7)"
4730,"('기류', 7)"
4731,"('공학', 7)"
4732,"('배양', 7)"
4733,"('고령자', 7)"
4734,"('블랙리스트', 7)"
4735,"('서울역', 7)"
4736,"('지정학적', 7)"
4737,"('클래식', 7)"
4738,"('환경부', 7)"
4739,"('유혹', 7)"
4740,"('버거', 7)"
4741,"('북방', 7)"
4742,"('선전', 7)"
4743,"('오해', 7)"
4744,"('증거', 7)"
4745,"('만회', 7)"
4746,"('발판', 7)"
4747,"('필지', 7)"
4748,"('최희남', 7)"
4749,"('딸기', 7)"
4750,"('봄날', 7)"
4751,"('벚꽃', 7)"
4752,"('두산엔진', 7)"
4753,"('디트로이트', 7)"
4754,"('독소', 7)"
4755,"('톈궁', 7)"
4756,"('척추', 7)"
4757,"('정몽구', 7)"
4758,"('사이드카', 7)"
4759,"('권용', 7)"
4760,"('신년인사', 7)"
4761,"('의학상', 6)"
4762,"('합리', 6)"
4763,"('팬오션', 6)"
4764,"('모양', 6)"
4765,"('토건', 6)"
4766,"('혹', 6)"
4767,"('왕', 6)"
4768,"('스포츠카', 6)"
4769,"('애로', 6)"
4770,"('터널', 6)"
4771,"('활발', 6)"
4772,"('숭숭', 6)"
4773,"('알림', 6)"
4774,"('차입', 6)"
4775,"('사서', 6)"
4776,"('카바', 6)"
4777,"('페루', 6)"
4778,"('상용차', 6)"
4779,"('강성', 6)"
4780,"('감원', 6)"
4781,"('시간제', 6)"
4782,"('인니', 6)"
4783,"('밀착', 6)"
4784,"('수직', 6)"
4785,"('궐기', 6)"
4786,"('스캔들', 6)"
4787,"('집안', 6)"
4788,"('상륙', 6)"
4789,"('레이더스', 6)"
4790,"('시절', 6)"
4791,"('교차', 6)"
4792,"('경제성', 6)"
4793,"('논리', 6)"
4794,"('방해', 6)"
4795,"('디즈니', 6)"
4796,"('훈련기', 6)"
4797,"('전통주', 6)"
4798,"('우리금융', 6)"
4799,"('관람객', 6)"
4800,"('설사', 6)"
4801,"('금융업', 6)"
4802,"('분율', 6)"
4803,"('패딩', 6)"
4804,"('라지', 6)"
4805,"('페이지', 6)"
4806,"('빗장', 6)"
4807,"('음파', 6)"
4808,"('한종', 6)"
4809,"('하방', 6)"
4810,"('보틀', 6)"
4811,"('대작', 6)"
4812,"('비치', 6)"
4813,"('판도', 6)"
4814,"('독서', 6)"
4815,"('엑소', 6)"
4816,"('절', 6)"
4817,"('견조', 6)"
4818,"('메이커', 6)"
4819,"('대중', 6)"
4820,"('업황', 6)"
4821,"('이스라엘', 6)"
4822,"('추대', 6)"
4823,"('팔면', 6)"
4824,"('잭팟', 6)"
4825,"('발길', 6)"
4826,"('인사이트', 6)"
4827,"('무근', 6)"
4828,"('시각장애', 6)"
4829,"('카뱅', 6)"
4830,"('체질', 6)"
4831,"('대상포진', 6)"
4832,"('액션', 6)"
4833,"('임차보증금', 6)"
4834,"('저비용항공사', 6)"
4835,"('스파크', 6)"
4836,"('수협', 6)"
4837,"('단백질', 6)"
4838,"('자신감', 6)"
4839,"('정의', 6)"
4840,"('전형', 6)"
4841,"('후반', 6)"
4842,"('격돌', 6)"
4843,"('분위기', 6)"
4844,"('무릎', 6)"
4845,"('다우', 6)"
4846,"('로고', 6)"
4847,"('하나투어', 6)"
4848,"('압구정', 6)"
4849,"('감기', 6)"
4850,"('커버', 6)"
4851,"('로봇청소기', 6)"
4852,"('식료품', 6)"
4853,"('라디오', 6)"
4854,"('조만간', 6)"
4855,"('블레이드', 6)"
4856,"('압도', 6)"
4857,"('통계청', 6)"
4858,"('안테나', 6)"
4859,"('개량', 6)"
4860,"('오버', 6)"
4861,"('사람과', 6)"
4862,"('남양주', 6)"
4863,"('보이콧', 6)"
4864,"('노래', 6)"
4865,"('거실', 6)"
4866,"('노년', 6)"
4867,"('한라산', 6)"
4868,"('숙면', 6)"
4869,"('상표', 6)"
4870,"('땅콩', 6)"
4871,"('노동자', 6)"
4872,"('니드', 6)"
4873,"('외국어', 6)"
4874,"('가점', 6)"
4875,"('용지', 6)"
4876,"('메카', 6)"
4877,"('외환위기', 6)"
4878,"('소멸', 6)"
4879,"('우수상', 6)"
4880,"('국방부', 6)"
4881,"('능', 6)"
4882,"('문관', 6)"
4883,"('버버리', 6)"
4884,"('외면', 6)"
4885,"('비관', 6)"
4886,"('의향', 6)"
4887,"('삼성동', 6)"
4888,"('유니클로', 6)"
4889,"('기원', 6)"
4890,"('텅', 6)"
4891,"('점진', 6)"
4892,"('힐', 6)"
4893,"('뚜렷', 6)"
4894,"('스노우', 6)"
4895,"('화약', 6)"
4896,"('씨앗', 6)"
4897,"('경비', 6)"
4898,"('무혐의', 6)"
4899,"('에버', 6)"
4900,"('우주개발', 6)"
4901,"('여당', 6)"
4902,"('접경', 6)"
4903,"('대원', 6)"
4904,"('보좌', 6)"
4905,"('솜방망이', 6)"
4906,"('일회용품', 6)"
4907,"('이면', 6)"
4908,"('효준', 6)"
4909,"('서밋', 6)"
4910,"('애드', 6)"
4911,"('중부', 6)"
4912,"('소방', 6)"
4913,"('별내', 6)"
4914,"('모처럼', 6)"
4915,"('교훈', 6)"
4916,"('음주', 6)"
4917,"('아영', 6)"
4918,"('신성', 6)"
4919,"('러블', 6)"
4920,"('한콘진', 6)"
4921,"('하마', 6)"
4922,"('미성년', 6)"
4923,"('제정', 6)"
4924,"('뽀로로', 6)"
4925,"('친구', 6)"
4926,"('반입', 6)"
4927,"('티앤', 6)"
4928,"('팹', 6)"
4929,"('보료', 6)"
4930,"('웨딩', 6)"
4931,"('외화예금', 6)"
4932,"('예치', 6)"
4933,"('보이', 6)"
4934,"('산재', 6)"
4935,"('구인', 6)"
4936,"('은폐', 6)"
4937,"('캠', 6)"
4938,"('카카오페이지', 6)"
4939,"('매트', 6)"
4940,"('서기', 6)"
4941,"('무효', 6)"
4942,"('신의', 6)"
4943,"('종로', 6)"
4944,"('수영장', 6)"
4945,"('이대훈', 6)"
4946,"('띠', 6)"
4947,"('성큼', 6)"
4948,"('푹', 6)"
4949,"('성인', 6)"
4950,"('에어비앤비', 6)"
4951,"('기밀', 6)"
4952,"('봉구', 6)"
4953,"('이력', 6)"
4954,"('안전성', 6)"
4955,"('사비', 6)"
4956,"('악용', 6)"
4957,"('잠재력', 6)"
4958,"('구비', 6)"
4959,"('주일', 6)"
4960,"('서대문구', 6)"
4961,"('송구', 6)"
4962,"('크로스', 6)"
4963,"('맥심', 6)"
4964,"('정지원', 6)"
4965,"('겹', 6)"
4966,"('한국어', 6)"
4967,"('이메일', 6)"
4968,"('여행사', 6)"
4969,"('김범수', 6)"
4970,"('고갈', 6)"
4971,"('다가', 6)"
4972,"('몫', 6)"
4973,"('수액', 6)"
4974,"('범죄', 6)"
4975,"('로드', 6)"
4976,"('쉐이크', 6)"
4977,"('쉑', 6)"
4978,"('점심', 6)"
4979,"('리빙', 6)"
4980,"('자신', 6)"
4981,"('한잔', 6)"
4982,"('머', 6)"
4983,"('소음', 6)"
4984,"('네덜란드', 6)"
4985,"('자존심', 6)"
4986,"('계약서', 6)"
4987,"('물의', 6)"
4988,"('석방', 6)"
4989,"('맑음', 6)"
4990,"('부모님', 6)"
4991,"('대학원', 6)"
4992,"('전부', 6)"
4993,"('구로', 6)"
4994,"('택', 6)"
4995,"('자택', 6)"
4996,"('제국', 6)"
4997,"('하만', 6)"
4998,"('걷기', 6)"
4999,"('참가자', 6)"
5000,"('반사', 6)"
5001,"('후임', 6)"
5002,"('숙박시설', 6)"
5003,"('수납', 6)"
5004,"('국서', 6)"
5005,"('쿠페', 6)"
5006,"('무늬', 6)"
5007,"('로그인', 6)"
5008,"('밀수', 6)"
5009,"('끝내', 6)"
5010,"('이안', 6)"
5011,"('동래', 6)"
5012,"('송파', 6)"
5013,"('소속', 6)"
5014,"('중기', 6)"
5015,"('급속', 6)"
5016,"('작성', 6)"
5017,"('기내', 6)"
5018,"('변곡점', 6)"
5019,"('강국', 6)"
5020,"('복권', 6)"
5021,"('일상', 6)"
5022,"('차트', 6)"
5023,"('휴무', 6)"
5024,"('가이드', 6)"
5025,"('동유럽', 6)"
5026,"('경보', 6)"
5027,"('스켈레톤', 6)"
5028,"('분규', 6)"
5029,"('시청자', 6)"
5030,"('박성택', 6)"
5031,"('비핵화', 6)"
5032,"('이커머스', 6)"
5033,"('청문', 6)"
5034,"('진격', 6)"
5035,"('충족', 6)"
5036,"('테러', 6)"
5037,"('공유경제', 6)"
5038,"('전직', 6)"
5039,"('적폐', 6)"
5040,"('소설', 6)"
5041,"('인포', 6)"
5042,"('축산물', 6)"
5043,"('체육', 6)"
5044,"('유로', 6)"
5045,"('크루즈', 6)"
5046,"('옴부', 6)"
5047,"('수트', 6)"
5048,"('세무', 6)"
5049,"('상어', 6)"
5050,"('북부', 6)"
5051,"('소득세', 6)"
5052,"('라운지', 6)"
5053,"('바르셀로나', 6)"
5054,"('효력', 6)"
5055,"('박카스', 6)"
5056,"('도성', 6)"
5057,"('권평오', 6)"
5058,"('합산', 6)"
5059,"('아이디', 6)"
5060,"('어스', 6)"
5061,"('한진해운', 6)"
5062,"('준법', 6)"
5063,"('괌', 6)"
5064,"('텐센트', 6)"
5065,"('청춘', 6)"
5066,"('구두', 6)"
5067,"('감히', 6)"
5068,"('추진단', 6)"
5069,"('뇌종양', 6)"
5070,"('글쎄', 6)"
5071,"('무급', 6)"
5072,"('베이커리', 6)"
5073,"('소급', 6)"
5074,"('더욱', 6)"
5075,"('드릴', 6)"
5076,"('지고', 6)"
5077,"('가닥', 6)"
5078,"('마음껏', 6)"
5079,"('노원', 6)"
5080,"('액면가', 6)"
5081,"('생기', 6)"
5082,"('수신', 6)"
5083,"('징역', 6)"
5084,"('구형', 6)"
5085,"('강환구', 6)"
5086,"('독식', 6)"
5087,"('전하', 6)"
5088,"('특파원', 6)"
5089,"('국민카드', 6)"
5090,"('알코올', 6)"
5091,"('이부진', 6)"
5092,"('회로', 6)"
5093,"('팝', 6)"
5094,"('화석', 6)"
5095,"('비어', 6)"
5096,"('가전제품', 6)"
5097,"('남편', 6)"
5098,"('안성', 6)"
5099,"('사망자', 6)"
5100,"('매체', 6)"
5101,"('쿠션', 6)"
5102,"('가도', 6)"
5103,"('끈', 6)"
5104,"('입체', 6)"
5105,"('품절', 6)"
5106,"('수상한', 6)"
5107,"('약자', 6)"
5108,"('갈이', 6)"
5109,"('시험대', 6)"
5110,"('입김', 6)"
5111,"('취향', 6)"
5112,"('미달', 6)"
5113,"('협동', 6)"
5114,"('남용', 6)"
5115,"('목돈', 6)"
5116,"('주시', 6)"
5117,"('통일', 6)"
5118,"('블라인드', 6)"
5119,"('도출', 6)"
5120,"('뮤', 6)"
5121,"('관계자', 6)"
5122,"('보존', 6)"
5123,"('추', 6)"
5124,"('조원태', 6)"
5125,"('폭주', 6)"
5126,"('불티', 6)"
5127,"('삼진', 6)"
5128,"('쑥대밭', 6)"
5129,"('음', 6)"
5130,"('애니메이션', 6)"
5131,"('아일랜드', 6)"
5132,"('해치백', 6)"
5133,"('놀란', 6)"
5134,"('로비', 6)"
5135,"('사단', 6)"
5136,"('유용', 6)"
5137,"('부분파업', 6)"
5138,"('학술지', 6)"
5139,"('육', 6)"
5140,"('달리', 6)"
5141,"('잡음', 6)"
5142,"('냉면', 6)"
5143,"('중개업', 6)"
5144,"('내시경', 6)"
5145,"('델타', 6)"
5146,"('부도', 6)"
5147,"('무더위', 6)"
5148,"('정재훈', 6)"
5149,"('간식', 6)"
5150,"('수주량', 6)"
5151,"('재민', 6)"
5152,"('이어폰', 6)"
5153,"('상계', 6)"
5154,"('생수', 6)"
5155,"('웹젠', 6)"
5156,"('성명', 6)"
5157,"('전문점', 6)"
5158,"('전이', 6)"
5159,"('부고', 6)"
5160,"('서울시장', 6)"
5161,"('장학', 6)"
5162,"('일자', 6)"
5163,"('신기록', 6)"
5164,"('귀농', 6)"
5165,"('도어', 6)"
5166,"('선수단', 6)"
5167,"('유화', 6)"
5168,"('중개사', 6)"
5169,"('빅히트', 6)"
5170,"('상실', 6)"
5171,"('소장', 6)"
5172,"('시안', 6)"
5173,"('문화재단', 6)"
5174,"('예외', 6)"
5175,"('스피드', 6)"
5176,"('특별법', 6)"
5177,"('삼척', 6)"
5178,"('마스터플랜', 6)"
5179,"('테이', 6)"
5180,"('롤러코스터', 6)"
5181,"('김밥', 6)"
5182,"('낙관', 6)"
5183,"('아리아', 6)"
5184,"('뭘', 6)"
5185,"('과자', 6)"
5186,"('오락가락', 6)"
5187,"('역류성', 6)"
5188,"('식도염', 6)"
5189,"('소유', 6)"
5190,"('화이자', 6)"
5191,"('낫다', 6)"
5192,"('우정', 6)"
5193,"('보석', 6)"
5194,"('중순', 6)"
5195,"('가의', 6)"
5196,"('갈수록', 6)"
5197,"('써밋', 6)"
5198,"('횟수', 6)"
5199,"('화재보험', 6)"
5200,"('안갯속', 6)"
5201,"('장성', 6)"
5202,"('학', 6)"
5203,"('실행', 6)"
5204,"('점거', 6)"
5205,"('바텐더', 6)"
5206,"('복병', 6)"
5207,"('포착', 6)"
5208,"('신장암', 6)"
5209,"('전원주택', 6)"
5210,"('무풍', 6)"
5211,"('검색어', 6)"
5212,"('상담사', 6)"
5213,"('해피', 6)"
5214,"('람보르기니', 6)"
5215,"('칼로리', 6)"
5216,"('대형주', 6)"
5217,"('카이스트', 6)"
5218,"('베리', 6)"
5219,"('주택조합', 6)"
5220,"('사각', 6)"
5221,"('지대', 6)"
5222,"('성향', 6)"
5223,"('포스코켐텍', 6)"
5224,"('점령', 6)"
5225,"('태아', 6)"
5226,"('주로', 6)"
5227,"('노무', 6)"
5228,"('평행선', 6)"
5229,"('골드만삭스', 6)"
5230,"('풀무원식품', 6)"
5231,"('망고', 6)"
5232,"('랠리', 6)"
5233,"('막걸리', 6)"
5234,"('유연성', 6)"
5235,"('고용보', 6)"
5236,"('핵연료', 6)"
5237,"('익산', 6)"
5238,"('영기획', 6)"
5239,"('토대', 6)"
5240,"('비주', 6)"
5241,"('드루', 6)"
5242,"('넥센', 6)"
5243,"('웍스', 6)"
5244,"('야근', 6)"
