,경제단어
263,"('분', 151)"
264,"('국민', 151)"
265,"('인', 150)"
266,"('가능', 150)"
267,"('안전', 150)"
268,"('효과', 149)"
269,"('상품', 148)"
270,"('제품', 148)"
271,"('최', 147)"
272,"('활용', 147)"
273,"('전쟁', 147)"
274,"('율', 146)"
275,"('집값', 146)"
276,"('쇼핑', 146)"
277,"('면세점', 145)"
278,"('업무', 145)"
279,"('연', 145)"
280,"('화학', 144)"
281,"('인공', 144)"
282,"('의', 144)"
283,"('폭', 144)"
284,"('부담', 144)"
285,"('종', 143)"
286,"('일본', 143)"
287,"('위기', 142)"
288,"('공동', 141)"
289,"('셀트리온', 141)"
290,"('통신', 141)"
291,"('일', 140)"
292,"('지능', 140)"
293,"('공략', 139)"
294,"('설립', 139)"
295,"('스타트업', 139)"
296,"('협회', 139)"
297,"('구글', 139)"
298,"('이', 139)"
299,"('거래소', 138)"
300,"('경쟁', 138)"
301,"('행사', 137)"
302,"('하이닉스', 137)"
303,"('계', 137)"
304,"('달러', 137)"
305,"('구축', 137)"
306,"('조선', 137)"
307,"('주주', 136)"
308,"('전기차', 136)"
309,"('연구', 136)"
310,"('비즈', 136)"
311,"('전기', 136)"
312,"('서울시', 135)"
313,"('수입', 135)"
314,"('창업', 135)"
315,"('상장', 134)"
316,"('운영', 134)"
317,"('관련', 134)"
318,"('제공', 133)"
319,"('자동차', 133)"
320,"('부진', 133)"
321,"('집', 133)"
322,"('피해', 132)"
323,"('대책', 132)"
324,"('이후', 131)"
325,"('듯', 131)"
326,"('신약', 131)"
327,"('대표이사', 131)"
328,"('자산', 131)"
329,"('제약', 130)"
330,"('최종', 129)"
331,"('평가', 129)"
332,"('태양광', 129)"
333,"('최저', 129)"
334,"('계획', 129)"
335,"('포럼', 129)"
336,"('유통', 128)"
337,"('건', 128)"
338,"('협상', 128)"
339,"('의료', 127)"
340,"('갤럭시', 127)"
341,"('다시', 126)"
342,"('금호', 126)"
343,"('교수', 125)"
344,"('급등', 125)"
345,"('편의점', 125)"
346,"('운용', 125)"
347,"('발전', 125)"
348,"('완화', 125)"
349,"('스', 124)"
350,"('건강', 124)"
351,"('가능성', 124)"
352,"('국', 124)"
353,"('마트', 124)"
354,"('기대', 124)"
355,"('기아차', 123)"
356,"('디스플레이', 123)"
357,"('청약', 123)"
358,"('예상', 123)"
359,"('장', 122)"
360,"('사용', 122)"
361,"('교육', 122)"
362,"('부산', 122)"
363,"('중소기업', 121)"
364,"('법', 121)"
365,"('수상', 120)"
366,"('사고', 120)"
367,"('구', 119)"
368,"('현장', 119)"
369,"('호텔', 119)"
370,"('속도', 119)"
371,"('회복', 119)"
372,"('결제', 118)"
373,"('국토부', 118)"
374,"('환자', 118)"
375,"('속', 118)"
376,"('성공', 118)"
377,"('수익', 118)"
378,"('적자', 117)"
379,"('대통령', 117)"
380,"('애플', 117)"
381,"('층', 116)"
382,"('추석', 115)"
383,"('급락', 114)"
384,"('법인', 114)"
385,"('인터넷', 114)"
386,"('자', 113)"
387,"('클라우드', 113)"
388,"('못', 113)"
389,"('주목', 113)"
390,"('금', 113)"
391,"('마케팅', 112)"
392,"('인기', 112)"
393,"('개편', 112)"
394,"('이유', 112)"
395,"('치', 112)"
396,"('소비자', 112)"
397,"('산', 111)"
398,"('배당', 111)"
399,"('안정', 110)"
400,"('연금', 110)"
401,"('관세', 110)"
402,"('지수', 109)"
403,"('급증', 109)"
404,"('조정', 109)"
405,"('테크', 109)"
406,"('물가', 109)"
407,"('전략', 109)"
408,"('불', 109)"
409,"('중공업', 108)"
410,"('뱅크', 108)"
411,"('유지', 108)"
412,"('내달', 108)"
413,"('신청', 108)"
414,"('수준', 108)"
415,"('모델', 106)"
416,"('위원장', 106)"
417,"('부문', 106)"
418,"('열사', 106)"
419,"('문제', 106)"
420,"('참여', 106)"
421,"('데이터', 106)"
422,"('쇼크', 106)"
423,"('프리미엄', 106)"
424,"('취업', 106)"
425,"('철강', 106)"
426,"('대형', 105)"
427,"('남북', 105)"
428,"('지속', 105)"
429,"('말', 105)"
430,"('대감', 105)"
431,"('시티', 105)"
432,"('료', 105)"
433,"('한전', 104)"
434,"('국가', 104)"
435,"('설', 104)"
436,"('두산', 104)"
437,"('온라인', 104)"
438,"('주행', 104)"
439,"('인하', 104)"
440,"('중단', 104)"
441,"('인도', 104)"
442,"('자회사', 103)"
443,"('이주열', 103)"
444,"('배터리', 103)"
445,"('수수료', 102)"
446,"('흑자', 101)"
447,"('평균', 101)"
448,"('줄', 101)"
449,"('스타', 101)"
450,"('조성', 100)"
451,"('하루', 100)"
452,"('손', 100)"
453,"('임금', 99)"
454,"('마련', 99)"
455,"('통합', 99)"
456,"('진단', 99)"
457,"('기자', 99)"
458,"('기준', 99)"
459,"('확보', 99)"
460,"('비트코인', 99)"
461,"('신한', 98)"
462,"('특허', 98)"
463,"('가동', 98)"
464,"('환경', 98)"
465,"('대신', 98)"
466,"('점검', 98)"
467,"('합의', 98)"
468,"('전문', 98)"
469,"('신설', 98)"
470,"('필요', 97)"
471,"('디지털', 97)"
472,"('트럼프', 96)"
473,"('출범', 96)"
474,"('젠', 95)"
475,"('대응', 95)"
476,"('논의', 95)"
477,"('기반', 95)"
478,"('수요', 95)"
479,"('분쟁', 95)"
480,"('변경', 95)"
481,"('농협', 94)"
482,"('집중', 94)"
483,"('경매', 94)"
484,"('당국', 94)"
485,"('콘텐츠', 94)"
486,"('뉴', 94)"
487,"('대우', 94)"
488,"('선물', 94)"
489,"('가치', 93)"
490,"('생활', 93)"
491,"('갈등', 93)"
492,"('인증', 93)"
493,"('총재', 92)"
494,"('요구', 92)"
495,"('지주', 92)"
496,"('과', 92)"
497,"('주년', 92)"
498,"('검사', 92)"
499,"('한미', 92)"
500,"('준비', 91)"
501,"('신동빈', 91)"
502,"('호', 91)"
503,"('화재', 91)"
504,"('도시', 91)"
505,"('가장', 90)"
506,"('코', 90)"
507,"('삼바', 90)"
508,"('스케', 90)"
509,"('이용', 90)"
510,"('손실', 90)"
511,"('통상', 90)"
512,"('지정', 90)"
513,"('지급', 89)"
514,"('가입', 89)"
515,"('상승세', 89)"
516,"('방안', 89)"
517,"('제도', 89)"
518,"('개인', 89)"
519,"('폰', 88)"
520,"('탈', 88)"
521,"('년비', 88)"
522,"('수첩', 88)"
523,"('왜', 88)"
524,"('모집', 88)"
525,"('전세', 87)"
526,"('홈쇼핑', 87)"
527,"('분석', 87)"
528,"('산업부', 87)"
529,"('부품', 87)"
530,"('회의', 87)"
531,"('비리', 87)"
532,"('창', 87)"
533,"('합병', 86)"
534,"('시행', 86)"
535,"('화장품', 86)"
536,"('전력', 86)"
537,"('대우건설', 86)"
538,"('확정', 86)"
539,"('출발', 86)"
540,"('공인', 85)"
541,"('초', 85)"
542,"('민간', 85)"
543,"('기재부', 85)"
544,"('시', 85)"
545,"('텍', 85)"
546,"('원장', 85)"
547,"('혜택', 85)"
548,"('실', 85)"
549,"('폭탄', 85)"
550,"('폭염', 85)"
551,"('맥주', 84)"
552,"('항공', 84)"
553,"('착수', 84)"
554,"('기능', 84)"
555,"('유가', 84)"
556,"('체제', 84)"
557,"('직접', 84)"
558,"('매장', 84)"
559,"('확인', 83)"
560,"('약세', 83)"
561,"('상향', 83)"
562,"('채권', 83)"
563,"('헬', 83)"
564,"('시간', 83)"
565,"('복합', 83)"
566,"('세대', 82)"
567,"('시설', 82)"
568,"('모두', 82)"
569,"('허가', 82)"
570,"('여행', 82)"
571,"('노사', 82)"
572,"('물산', 82)"
573,"('사업자', 82)"
574,"('대한항공', 81)"
575,"('리스크', 81)"
576,"('하향', 81)"
577,"('승인', 81)"
578,"('과학', 81)"
579,"('유치', 81)"
580,"('추천', 81)"
581,"('인천공항', 81)"
582,"('중소', 81)"
583,"('이재용', 81)"
584,"('소송', 81)"
585,"('주도', 80)"
586,"('전문가', 80)"
587,"('소식', 80)"
588,"('공유', 80)"
589,"('전용', 80)"
590,"('연장', 80)"
591,"('입', 79)"
592,"('오픈', 79)"
593,"('비중', 79)"
594,"('지방', 79)"
595,"('임원', 79)"
596,"('땐', 79)"
597,"('핵심', 79)"
598,"('문화', 79)"
599,"('효성', 79)"
600,"('해결', 79)"
601,"('과징금', 79)"
602,"('기부', 78)"
603,"('순이익', 78)"
604,"('솔루션', 77)"
605,"('식품', 77)"
606,"('보고서', 77)"
607,"('방문', 77)"
608,"('나', 76)"
609,"('희망', 76)"
610,"('이사', 76)"
611,"('제주', 76)"
612,"('보안', 76)"
613,"('소비', 76)"
614,"('반등', 76)"
615,"('단축', 76)"
616,"('무료', 75)"
617,"('달성', 75)"
618,"('후보', 75)"
619,"('넷마블', 75)"
620,"('가스', 75)"
621,"('날', 75)"
622,"('발', 75)"
623,"('톡톡', 75)"
624,"('발행', 75)"
625,"('보증', 74)"
626,"('투입', 74)"
627,"('차량', 74)"
628,"('장비', 74)"
629,"('빅데이터', 74)"
630,"('단', 74)"
631,"('동기', 74)"
632,"('물', 73)"
633,"('누적', 73)"
634,"('대한민국', 73)"
635,"('인력', 73)"
636,"('현금', 73)"
637,"('특별', 73)"
638,"('권', 73)"
639,"('페이', 72)"
640,"('케미칼', 72)"
641,"('가계', 72)"
642,"('미세먼지', 72)"
643,"('눈', 72)"
644,"('투자자', 72)"
645,"('두', 72)"
646,"('부사', 72)"
647,"('강', 72)"
648,"('비상', 72)"
649,"('감사', 71)"
650,"('인프라', 71)"
651,"('재단', 71)"
652,"('아이', 71)"
653,"('앞', 71)"
654,"('지배구조', 71)"
655,"('아시아', 71)"
656,"('분할', 71)"
657,"('협의', 70)"
658,"('가전', 70)"
659,"('절반', 70)"
660,"('이번', 70)"
661,"('제조업', 70)"
662,"('참가', 70)"
663,"('우리은행', 70)"
664,"('통해', 70)"
665,"('사이언스', 70)"
666,"('인천', 70)"
667,"('경쟁력', 70)"
668,"('반대', 70)"
669,"('스피커', 70)"
670,"('비용', 69)"
671,"('신라', 69)"
672,"('기록', 69)"
673,"('때문', 69)"
674,"('통화', 69)"
675,"('쇼', 69)"
676,"('아시아나', 69)"
677,"('번', 69)"
678,"('상선', 69)"
679,"('장기', 69)"
680,"('외인', 69)"
681,"('론', 69)"
682,"('공시', 69)"
683,"('근로시간', 69)"
684,"('일부', 69)"
685,"('근로자', 68)"
686,"('교체', 68)"
687,"('이사회', 68)"
688,"('주간', 68)"
689,"('메', 68)"
690,"('월', 68)"
691,"('공식', 68)"
692,"('길', 68)"
693,"('위험', 68)"
694,"('완료', 68)"
695,"('사외이사', 68)"
696,"('장사', 68)"
697,"('전월', 68)"
698,"('판매량', 68)"
699,"('여성', 68)"
700,"('체험', 68)"
701,"('부', 68)"
702,"('러시아', 67)"
703,"('세상', 67)"
704,"('지구', 67)"
705,"('가맹', 67)"
706,"('압박', 67)"
707,"('푸드', 67)"
708,"('달라', 67)"
709,"('한수원', 67)"
710,"('유', 67)"
711,"('군산', 67)"
712,"('개시', 66)"
713,"('마감', 66)"
714,"('직스', 66)"
715,"('기금', 66)"
716,"('큐', 66)"
717,"('페이스북', 66)"
718,"('제한', 66)"
719,"('식약처', 66)"
720,"('가지', 66)"
721,"('취임', 66)"
722,"('재개', 66)"
723,"('전달', 66)"
724,"('드론', 66)"
725,"('매도', 66)"
726,"('수익률', 66)"
727,"('구조조정', 66)"
728,"('기간', 65)"
729,"('녹십자', 65)"
730,"('방송', 65)"
731,"('기회', 65)"
