,Title,Date,count
0,◈◈ 우리 대통령이 세계에서 반대하는 북한제재를 풀어주자니 ?,18.10.17,50명
1,국민청원에 조금이라도 귀를 기울여주세요,18.10.17,10명
2,자 계속 퍼준다 퍼준다 얘기가 많아요,18.10.17,1명
3,조명균을 처벌해야 합니다.,18.10.17,13명
4,임신 기간과 같은 군 복무 기간,18.10.17,2명
5,예비군 입소시간을 10시로 변경해주세요,18.10.17,1명
6,남북 비행금지 지역 문제점,18.10.17,3명
7,통일부장관 파면,18.10.17,3명
8,획기적인 군 복무 기간에 대해 간청하나이다,18.10.17,1명
9,백여만에달하는.국민청원 도무시하고.법무부는 339명예먼놈들.인도적체류허가해준다고한다.,18.10.17,23명
10,통일부 장관 사퇴하라,18.10.17,22명
11,부부싸움,18.10.17,3명
12,국보법 집시법 위반자가 dmz 가나요?,18.10.17,1명
13,예멘 체류 절대 안됩니다. 곧 테러국가가 될 것입니다.,18.10.17,36명
14,여군 지원시 나이제한,18.10.17,7명
15,남북군사합의 재고요청,18.10.17,8명
16,제주 예멘인 인도적 체류허가를 적극 반대합니다,18.10.17,51명
17,미세먼지 대책,18.10.17,12명
18,제주 예맨인 인도적체류허가.국민이 심판합니다.,18.10.17,128명
19,대통령님 참전유공자 보상이 30만원이라니 세계적 조롱거리 아닙니까?,18.10.17,12명
20,난민들을 더 많이 수용하여주시고 그들에게 온정을 베풀어 주십시소,18.10.17,21명
21,제주 예멘 난민 신청자 339명의 인도적 체류 허가에 반대합니다,18.10.17,93명
22,전상수당이 고작 2만3천원   애들 과자값도 아니고.,18.10.17,1명
23,전쟁을 피해온 외국 난민들에게 대체복무 시켜라,18.10.17,26명
24,제주 난민신청자 339 체류  허가 반대합니다.,18.10.17,135명
25,국방부 병무청 군대 등등 관련 적폐청산 부탁드립니다.,18.10.17,7명
26,대통령님 참전유공자 보상이 30만원이라니 세계적 조롱거리 아닙니까?,18.10.17,13명
27,시리아 예멘 난민들 같은 아랍국가으로 지금 당장 보내라 그리고 한국에 있는 다른 난민들 전부다 다 본국으로 송환하라,18.10.17,70명
28,비무장내 감시장비철거건,18.10.17,4명
29,전상수당이 애들 과자값 입니까?,18.10.17,4명
30,2019년 참전명예수당이 동결이라고 합니다.,18.10.17,1명
31,참전유공자 연세가 90세가 넘어갑니다.,18.10.17,6명
32,"피, 눈물, 땀, 목숨의 댓가인 전투수당을 아직도 받지 못했습니다.",18.10.17,7명
33,이제 월남전투수당을 참전용사들에게 돌려주세요.,18.10.17,5명
34,난민 인도척체류 허가를 몇명을 허가했다고?? 미친 정부야?,18.10.17,74명
35,독도의 날 공휴일로 채택 일본의 독도 망언에 쐐기를 박고  독도의 소중함과 역사를 재 인식하는 날이 될수  있도록 공휴일로 채택해주시면 좋겠습니다.,18.10.17,53명
